sira,sure,ayet,metin,hoca
1,1,1,"Rahmân, Rahîm[1] olan Allah'ın adıyla.[2]",Mehmet Okuyan
2,1,2,"(2, 3, 4) Hamd[1] (övgü); Rahmân, Rahîm, hesap gününün sahibi, âlemlerin de Rabbi[2] olan Allah içindir.",Mehmet Okuyan
3,1,3,"(2, 3, 4) Hamd[1] (övgü); Rahmân, Rahîm, hesap gününün sahibi, âlemlerin de Rabbi[2] olan Allah içindir.",Mehmet Okuyan
4,1,4,"(2, 3, 4) Hamd[1] (övgü); Rahmân, Rahîm, hesap gününün sahibi, âlemlerin de Rabbi[2] olan Allah içindir.",Mehmet Okuyan
5,1,5,(Rabbimiz)! Yalnız sana kulluk ederiz ve yalnız senden yardım dileriz.,Mehmet Okuyan
6,1,6,"(6, 7) Bizi doğru yola, nimet verdiklerinin[1] yoluna ulaştır; gazaba uğratılmışların ve sapkınların yoluna değil.[2]",Mehmet Okuyan
7,1,7,"(6, 7) Bizi doğru yola, nimet verdiklerinin[1] yoluna ulaştır; gazaba uğratılmışların ve sapkınların yoluna değil.[2]",Mehmet Okuyan
8,2,1,Elif. Lâm. Mîm.[1],Mehmet Okuyan
9,2,2,O kitap (Kur'an); onda asla şüphe yoktur. Muttakîler[1] (duyarlı olanlar) için bir yol göstericidir.,Mehmet Okuyan
10,2,3,Onlar gayba (bilinemeyenlere) inanır; namaz kılar ve kendilerine rızık olarak verdiklerimizden infak ederler (verirler).,Mehmet Okuyan
11,2,4,"Sana indirilene ve senden önce indiri­len(ler)e iman eder, ahiret gününe de kesin bir şekilde inanırlar.",Mehmet Okuyan
12,2,5,İşte onlar Rableri tarafından doğru yol üzerindedir ve onlar kurtulanların ta kendileridir.[1],Mehmet Okuyan
13,2,6,"Şüphesiz ki kâfir olanları uyarsan da uyarmasan da onlar için birdir, iman etmezler.[1]",Mehmet Okuyan
14,2,7,(Bu nedenle) Allah onların kalplerini ve işitme (duyu)larını mühürlemiştir.[1] Gözlerinde de (manevi) perde vardır; onlar için büyük bir azap vardır.,Mehmet Okuyan
15,2,8,"İnsanlardan öylesi vardır ki asla inanmadıkları hâlde ""Allah'a ve ahiret gününe inandık."" derler.",Mehmet Okuyan
16,2,9,Onlar Allah'ı ve müminleri (güya) aldatırlar.[1] (Oysa) onlar kendilerinden başkasını aldatamazlar ve (bunun) farkına da varmazlar.,Mehmet Okuyan
17,2,10,Kalplerinde bir hastalık[1] vardır. Allah da (bu nedenlerle) onların hastalığını artırmıştır. Yalanlamaları sebebiyle onlar için elem verici bir azap vardır.[2],Mehmet Okuyan
18,2,11,"Onlara ""Yeryüzünde bozgunculuk çıkarmayın!"" dendiği zaman, ""Biz ancak ıslah edicileriz."" derler.",Mehmet Okuyan
19,2,12,Dikkat edin! Onlar bozguncuların ta kendileridir fakat farkına varmazlar.,Mehmet Okuyan
20,2,13,"Onlara ""(Şu) insanların iman ettiği gibi siz de iman edin."" dendiği zaman ""Biz hiç (o) beyinsizlerin iman ettiği gibi iman eder miyiz!"" derler. Dikkat edin! Beyinsizler sadece kendileridir fakat (bunu bile) bilmezler.",Mehmet Okuyan
21,2,14,"(Bu münafıklar) müminlerle karşılaştıklarında ""(Biz de) iman ettik."" derler.[1] Şeytanları (kafadarları) ile baş başa kaldıklarındaysa ""Biz sizinle beraberiz; biz onlarla (müminlerle) sadece alay ediyoruz."" derler.",Mehmet Okuyan
22,2,15,(Oysa) Allah onlarla alay eder;[1] (fakat) onlara fırsat vermektedir. Azgınlıkları içinde bocalayıp durmaktadırlar.[2],Mehmet Okuyan
23,2,16,İşte onlar hidayet karşılığında sapkınlığı satın alanlardır.[1] Onların (bu) ticareti kazançlı olmamış ve kendileri de doğru yola girmemiştir.[2],Mehmet Okuyan
24,2,17,"Onların (münafıkların) durumu, (karanlıkta) ateş tutuşturan kişi gibidir. (Ateş), etrafını aydınlattığında Allah onların aydınlığını hemen giderir ve onları karanlıklar içinde bırakır; (hiçbir şey) göremezler.[1]",Mehmet Okuyan
25,2,18,"(Bu gibiler) sağırdır, dilsizdir, kördürler;[1] onlar (gerçeğe) dönmezler.",Mehmet Okuyan
26,2,19,"Veya (onların durumu) gökten boşanan, içinde karanlıklar, gök gürültüsü ve şimşek bulunan sağanağa (tutulmuş kişilerin durumu) gibidir. Onlar (münafıklar), yıldırımlardan kaynaklanan ölüm korkusuyla parmaklarını kulaklarına tıkarlar. Allah kâfirleri çepeçevre kuşatandır.",Mehmet Okuyan
27,2,20,"(O esnada) şimşek, neredeyse gözlerini alacakmış (gibi çakar). (Şimşek) onlar için (etrafı) aydınlatınca orada (birazcık) yürürler; üzerlerine karanlık çökünce de oldukları yerde kala kalırlar. Allah dileseydi elbette onların işitme (duyu)larını ve gözlerini giderirdi. Şüphesiz ki Allah her şeye gücü yetendir.",Mehmet Okuyan
28,2,21,Ey insanlar! Sizi ve sizden öncekileri yaratan Rabbinize kulluk ediniz! Umulur ki böylece takvâlı[1] (duyarlı) olursunuz.,Mehmet Okuyan
29,2,22,"O (Allah) ki yeri sizin için bir döşek, göğü de bir bina (güçlü bir tavan) yapmıştır. Gökten su indirip onunla size rızık olarak (çeşitli) meyveler çıkarmıştır. Artık (bu gerçeği) bilerek Allah'a ortaklar koşmayın!",Mehmet Okuyan
30,2,23,"Kulumuza indirdiklerimizden şüphe içindeyseniz, onun (Kur'an'ın) benzeri herhangi bir sure getirin![1] Doğruysanız Allah'tan başka şahitlerinizi (yardımcılarınızı) da çağırın!",Mehmet Okuyan
31,2,24,"(Bunu) yapamazsanız -ki asla yapamayacaksınız-, yakıtı insanlar ve taş olan, kâfirler için hazırlanmış (olacak) ateşten korunun![1]",Mehmet Okuyan
32,2,25,"İman edip iyi işler yapanlara, altlarından ırmaklar akan cennetler olduğunu müjdele! Oradan (cennetlerdeki) herhangi bir meyveden kendilerine her ne zaman rızık verilirse, ""Bu, bize daha önce verilmişti."" demiş (olacaklar)dır. Bu (rızık)lar onlara (dünyadakine) benzer olarak verilecektir.[1] Onlar için orada (cennetlerde) tertemiz eşler[2] de vardır ve onlar orada ebedî[3] kalıcıdır.",Mehmet Okuyan
33,2,26,"Şüphesiz ki Allah (gerçeği açıklamak için) sivrisinek ve onun da ötesinde herhangi bir varlığı örnek vermekten çekinmez.[1] İman edenler bunun (örneklerin) Rablerinden (gelen) bir gerçek olduğunu bilirler. Kâfir olanlar ise ""Allah böyle örnek vermekle ne kastetmiştir ki?"" derler. (Allah) onunla birçoğunu saptırır; birçoğunu da doğru yola ulaştırır. (Allah) bununla (verdiği örneklerle zaten) yoldan çıkmış olanlardan başkasını saptırmaz.[2]",Mehmet Okuyan
34,2,27,"Allah'a verdikleri sözü sözleştikten sonra bozanlar,[1] Allah'ın birleştirilmesini (gözetilmesini) emrettiği şeyleri kesenler (terk edenler) ve yeryüzünde bozgunculuk çıkaranlar var ya, işte onlar kaybedenlerin ta kendileridir.",Mehmet Okuyan
