kelime,arapca_harfler,anlam
a’dâ,اﺪﻋا,düşmanlar.
a’dâd,داﺪﻋا,sayılar.
â’ik,ﻖﺋﺎﻋ,engel.
a’lâ,ﯽﻠﻋا,"en yüksek, en yüce."
a’lâf,فﻻﺁ,otlar.
a’lâl,لﻼﻋا,1.hastalıklar. 2.sebepler.
a’lâm,مﻼﻋا,1.bayraklar. 2.özel isimler.
a’lem,ﻢﻠﻋا,en iyi bilen.
a’mâ,ﯽﻤﻋا,kör.
a’mâk,قﺎﻤﻋا,derinlikler.
a’mâl,لﺎﻤﻋا,"işler, ameller, davranışlar."
a’mâr,رﺎﻤﻋا,1.ömürler. 2.yaşlar.
a’nî,ﯽﻨﻋا,yani.
a’râb,باﺮﻋا,"Araplar, çöl arapları."
a’râbî,ﯽﺑاﺮﻋا,çöl arabı.
a’râz,ضاﺮﻋا,belirtiler.
a’sâb,بﺎﺼﻋا,sinirler.
a’sâr,رﺎﺼﻋا,yüz yıllar.
a’şâr,رﺎﺸﻋا,"öşür vergileri, onda birler."
a’şârî,یرﺎﺸﻋا,ondalık.
a’vec,جﻮﻋا,"yamuk, eğri büğrü."
a’ver,رﻮﻋا,tek gözlü.
a’yâd,دﺎﻴﻋا,bayramlar.
a’yân,نﺎﻴﻋا,"1.ileri gelenler, eşraf, sosyete. 2.gözler."
a’yün,ﻦﻴﻋا,1.gözler. 2.pınarlar.
a’zâ,ﺎﻀﻋا,1.üyeler. 2.organlar.
a’zam,ﻢﻈﻋا,en büyük.
ab’âb,بﺎﻌﺒﻋ,vantrolog.
abâ,ﺎﺒﻋ,1.kaba yün kumaş. 2.aba.
âbâ’,ءﺎﺑﺁ,1.babalar. 2.gezegenler.
âbâd,دﺎﺑﺁ,ebedler.
âbâl,لﺎﺑﺁ,develer.
âbâr,رﺎﺑﺁ,kuyular.
abd,ﺪﺒﻋ,1.kul. 2.köle.
abes,ﺚﺒﻋ,"saçma, abes."
abher,ﺮﻬﺒﻋ,1.nergis. 2.zerrinkadeh çiçeği. 3.yasemin.
âbid,ﺪﺑﺎﻋ,1.ibadet eden. 2.erkek adı.
abîd,ﺪﻴﺒﻋ,1.kullar. 2.köleler.
âbide,ﻩﺪﺑﺁ,anıt.
âbidevî,یوﺪﺑﺁ,anıtsal.
âbir,ﺮﺑﺎﻋ,yaya.
abraş,شﺮﺑا,alacalı.
abûs,سﻮﺒﻋ,somurtkan.
âc,جﺎﻋ,fildişi.
