sira,sure,ayet,metin,hoca
1,1,1,"In the name of Allah, the Merciful, the Compassionate[1]",Abul A'la Maududi
2,1,2,"Praise[1] be to Allah, the Lord[2] of the entire universe.",Abul A'la Maududi
3,1,3,"The Merciful, the Compassionate[1]",Abul A'la Maududi
4,1,4,The Master of the Day of Recompense[1].,Abul A'la Maududi
5,1,5,"You alone do we worship[1], and You alone do we turn for help[2]",Abul A'la Maududi
6,1,6,"Direct us on to the Straight Way[1],",Abul A'la Maududi
7,1,7,"The way of those whom You have favoured[1], who did not incur Your wrath, who are not astray[2].",Abul A'la Maududi
8,2,1,"Alif, Lam, Mim.[1]",Abul A'la Maududi
9,2,2,"This is the Book of Allah, there is no doubt in it;[1] it is a guidance for the pious,[2]",Abul A'la Maududi
10,2,3,"for those who believe in the existence of that which is beyond the reach of perception,[1] who establish Prayer[2] and spend out of what We have provided them,[3]",Abul A'la Maududi
11,2,4,"who believe in what has been revealed to you and what was revealed before you,[1] and have firm faith in the Hereafter.[2]",Abul A'la Maududi
12,2,5,Such are on true guidance from their Lord; such are the truly successful.,Abul A'la Maududi
13,2,6,"As for those who have rejected (these truths),[1] it is all the same whether or not you warn them, for they will not believe.",Abul A'la Maududi
14,2,7,"Allah has sealed their hearts[1] and their hearing, and a covering has fallen over their eyes. They deserve severe chastisement.",Abul A'la Maududi
15,2,8,"There are some who say: ""We believe in Allah and in the Last Day,"" while in fact they do not believe.",Abul A'la Maududi
16,2,9,"They are trying to deceive Allah and those who believe, but they do not realize that in truth they are only deceiving themselves.[1]",Abul A'la Maududi
17,2,10,There is a disease in their hearts and Allah has intensified this disease.[1] A painful chastisement awaits them for their lying.,Abul A'la Maududi
18,2,11,"Whenever they are told: ""Do not spread mischief on earth,"" they say: “Why! We indeed are the ones who set things right.”",Abul A'la Maududi
19,2,12,"They are the mischief makers, but they do not realize it.",Abul A'la Maududi
20,2,13,"Whenever they are told: ""Believe as others believe,""[1] they answer: “Shall we believe as the fools have believed?”[2] Indeed it is they who are the fools, but they are not aware of it.",Abul A'la Maududi
21,2,14,"When they meet the believers, they say: ""We believe,"" but when they meet their evil companions (in privacy),[1] they say: “Surely we are with you; we were merely jesting.”",Abul A'la Maududi
22,2,15,"Allah jests with them, leaving them to wander blindly on in their rebellion.",Abul A'la Maududi
23,2,16,These are the ones who have purchased error in exchange for guidance. This bargain has brought them no profit and certainly they are not on the Right Way.[1],Abul A'la Maududi
24,2,17,"They are like him who kindled a fire, and when it lit up all around him, Allah took away the light (of their perception) and left them in utter darkness where they can see nothing.",Abul A'la Maududi
25,2,18,"They are deaf, they are dumb, they are blind;[1] they will never return (to the Right Way).",Abul A'la Maududi
26,2,19,"Or they are like those who encounter a violent rainstorm from the sky, accompanied by pitch-dark clouds, thunder-claps and flashes of lightning: on hearing thunder-claps they thrust their fingers into their ears in fear of death. Allah encompasses these deniers of the Truth.[1]",Abul A'la Maududi
27,2,20,"It is as if the lightning would snatch their sight; whenever it gleams a while for them they walk a little, and when darkness covers them they halt.[1] If Allah so willed, He could indeed take away their hearing and their sight.[2] Surely Allah is All-Powerful.",Abul A'la Maududi
28,2,21,"O mankind,[1] serve your Lord Who has created you as well as those before you; do so that you are saved.[2]",Abul A'la Maududi
29,2,22,"It is He Who has made the earth a resting-place for you, and the sky a canopy, and sent down water from above wherewith He brought forth fruits for your sustenance. Do not, then, set up rivals[1] to Allah when you know (the Truth).",Abul A'la Maududi
30,2,23,"If you are in any doubt whether it is We Who have revealed this Book to Our servant, then produce just a surah like it, and call all your supporters and seek in it the support of all others save Allah. Accomplish this if you are truthful.[1]",Abul A'la Maududi
31,2,24,But if you fail to do this – and you will most certainly fail – then have fear of the Fire whose fuel is men and stones[1] and which has been prepared for those who deny the Truth.,Abul A'la Maududi
32,2,25,"(O Prophet), announce glad tidings to those who believe in this Book and do righteous deeds (in accordance with its teachings), that for them are gardens beneath which rivers flow. Their fruits will have such resemblance to those of the earth that whenever they will be provided with those fruits they will say: ""It was this which was granted to us on earth before.""[1] For them there shall be pure spouses,[2] and there they shall abide forever.",Abul A'la Maududi
33,2,26,"Behold! Allah is not ashamed to propound the parable of a gnat, or even of something more lowly.[1] On hearing these parables the believers know that it is the truth from their Lord, while those bent on denying the Truth say: ""What does Allah mean by these parables?"" Thus He causes many to go astray just as He directs many to the Right Way.[2] And He thereby causes to go astray only the transgressors,[3]",Abul A'la Maududi
34,2,27,"who break the covenant of Allah after its firm binding,[1] and cut asunder what Allah has commanded to be joined,[2] and spread mischief on earth.[3] They are the utter losers.",Abul A'la Maududi
35,2,28,"How can you be ungrateful to Allah Who bestowed life upon you when you were lifeless, then He will cause you to die and will again bring you back to life so that you will be returned to Him.",Abul A'la Maududi
36,2,29,It is He Who created for you all that is on earth and then turned above and fashioned it into seven heavens.[1] He knows all things.[2],Abul A'la Maududi
37,2,30,"Just think[1] when your Lord said to the angels:[2] ""Lo! I am about to place a vicegerent[3] on earth,"" they said: “Will You place on it one who will spread mischief and shed blood[4] while we celebrate Your glory and extol Your holiness?”[5] He said: “Surely I know what you do not know.”[6]",Abul A'la Maududi
38,2,31,"Then Allah taught Adam the names of all things[1] and presented them to the angels and said: ""If you are right (that the appointment of a vicegerent will cause mischief) then tell Me the names of these things.""",Abul A'la Maududi
39,2,32,"They said. ""Glory to You! We have no knowledge except what You taught us.[1] You, only You, are All-Knowing, All-Wise.""",Abul A'la Maududi
40,2,33,"Then Allah said to Adam: ""Tell them the names of these things.""[1] And when he had told them the names of all things, Allah said: “Did I not say to you that I know everything about the heavens and the earth which are beyond your range of knowledge and I know all that you disclose and also all that you hide?”",Abul A'la Maududi
41,2,34,"And when We ordered the angels: ""Prostrate yourselves before Adam,"" all of them fell prostrate,[1] except Iblis.[2] He refused, and gloried in his arrogance and became one of the defiers.[3]",Abul A'la Maududi
42,2,35,"And We said: ""O Adam, live in the Garden, you and your wife, and eat abundantly of whatever you wish but do not approach this tree[1] or else you will be counted among the wrong-doers.""[2]",Abul A'la Maududi
43,2,36,"But Satan caused both of them to deflect from obeying Our command by tempting them to the tree and brought them out of the state they were in, and We said: ""Get down all of you; henceforth, each of you is an enemy of the other,[1] and on earth you shall have your abode and your livelihood for an appointed time.""",Abul A'la Maududi
44,2,37,"Thereupon Adam learned from his Lord some words and repented[1] and his Lord accepted his repentance for He is Much-Relenting, Most Compassionate.[2]",Abul A'la Maududi
45,2,38,"We said: ""Get you down from here,[1] all of you, and guidance shall come to you from Me: then, whoever will follow My guidance need have no fear, nor shall they grieve.",Abul A'la Maududi
46,2,39,"But those who refuse to accept this (guidance) and reject Our Signs as false[1] are destined for the Fire where they shall abide for ever.""[2]",Abul A'la Maududi
47,2,40,"Children of Israel![1] Recall My favour which I had bestowed on you, and fulfil your covenant with Me and I shall fulfil My covenant with you, and fear Me alone.",Abul A'la Maududi
48,2,41,"And believe in the Book which I have revealed and which confirms the Scripture you already have, and be not foremost among its deniers. Do not sell My signs for a trifling gain, [1]and beware of My wrath.",Abul A'la Maududi
49,2,42,"Do not confound Truth by overlaying it with falsehood, nor knowingly conceal the Truth.[1]",Abul A'la Maududi
50,2,43,Establish Prayer and dispense Zakah (the Purifying Alms)[1] and bow in worship with those who bow.,Abul A'la Maududi
51,2,44,Do you enjoin righteousness on people and forget your own selves even though you recite the Scripture? Have you no sense?,Abul A'la Maududi
52,2,45,"And resort to patience and Prayer for help.[1]  Truly Prayer is burdensome for all except the devout,",Abul A'la Maududi
53,2,46,who realize that ultimately they will have to meet their Lord and that to Him they are destined to return.[1],Abul A'la Maududi
54,2,47,"Children of Israel! Recall My favour which I bestowed upon you, exalting you above all nations.[1]",Abul A'la Maududi
55,2,48,"Fear the Day when no one shall avail another, when no intercession will be accepted, when no one will be ransomed, and no criminal will receive any help.[1]",Abul A'la Maududi
56,2,49,"And recall[1] when We rescued you from the slavery of Pharaoh’s people[2] who had afflicted you with dreadful suffering, slaying your males and sparing your females. That was a tremendous trial for you from your Lord.[3]",Abul A'la Maududi
57,2,50,"And recall when We split the sea, providing passage for you, and thus saved you and caused Pharaoh’s people to drown before your very eyes.",Abul A'la Maududi
58,2,51,"And recall when We summoned Moses for a term of forty nights,[1] and then you set up the calf as your god in his absence.[2] You indeed committed a grave wrong.",Abul A'la Maududi
59,2,52,Yet We pardoned you that you might be grateful.,Abul A'la Maududi
60,2,53,And recall (that while you were committing this wrong) We gave Moses the Scripture[1] and the Criterion that you are guided to the Right Way.,Abul A'la Maududi
61,2,54,"And recall when (on returning with this favour) Moses said to his people: ""My people! You have wronged yourselves by taking the calf for an object of worship, so turn in repentance to your Creator and kill yourselves.[1] This will be best for you in your Creator’s sight."" Thereupon He accepted your repentance. Indeed He is Much-Relenting, Most Compassionate.",Abul A'la Maududi
62,2,55,"And recall when you said: ""O Moses, we will not believe in you until we clearly see Allah (speaking to you)."" Thereupon a tremendous thunderbolt struck you before your very eyes.",Abul A'la Maududi
63,2,56,"Then We revived you after your extinction, that you might be grateful.[1]",Abul A'la Maududi
64,2,57,"And We caused a cloud to comfort you with shade,[1] and We sent down upon you manna and the quails,[2] (saying): ""Eat of the good wherewithal that We have provided you as sustenance."" And by their sinning (your forefathers) did not wrong Us: it is they themselves whom they wronged.",Abul A'la Maududi
65,2,58,"And recall when We said: ""Go into this town[1] and eat abundantly of its food; but enter the gate prostrate, saying, “Repentance"".[2]We will forgive you your sins and shall bestow more favour on the doers of good.”",Abul A'la Maududi
66,2,59,Then the wrong-doers substituted another saying for that which had been given them; and so We sent down a scourge upon the wrong-doers from the heavens for their transgression.,Abul A'la Maududi
67,2,60,"And recall when Moses prayed for water for his people and We replied: ""Strike the rock with your staff."" And there gushed out from it twelve springs[1] and each tribe knew its drinking-place. (Then you were directed): “Eat and drink of the sustenance provided by Allah, and do not go about acting wickedly on earth, spreading mischief.”",Abul A'la Maududi
68,2,61,"And recall when you said: ""O Moses, surely we cannot put up with one sort of food, so pray to your Lord to bring out for us what the earth produces – its herbs and its cucumbers and its corn and its lentils and its garlic and its onions."" Then Moses said: “Will you take a meaner thing in exchange for what is better?[1] Go down to some city and there you shall get what you ask for.” And ignominy and wretchedness were pitched upon them and they were laden with the burden of Allah’s wrath. This was because they denied the Signs of Allah[2] and slew the Prophets unrightfully.[3] All this, because they disobeyed and persistently exceeded the limits (of the Law).",Abul A'la Maududi
69,2,62,"Whether they are the ones who believe (in the Arabian Prophet), or whether they are Jews, Christians or Sabians – all who believe in Allah and the Last Day, and do righteous deeds – their reward is surely secure with their Lord; they need have no fear, nor shall they grieve.[1]",Abul A'la Maududi
70,2,63,"And recall when We made a covenant with you and caused the Mount Sinai to tower above you,[1] (saying): ""Hold fast to the Book that We have given you, and remember the directives and commandments in it, that you be pious.""",Abul A'la Maududi
71,2,64,"Then you turned away from your covenant, and had it not been for Allah’s grace and mercy upon you, you would have long been utter losers.",Abul A'la Maududi
72,2,65,"And you know the case of those of you who broke the Sabbath,[1] how We said to them: ""Become apes, despised and hated.""[2]",Abul A'la Maududi
73,2,66,"And thus We made their end a warning for the people of their own time and for the succeeding generations, and an admonition to the God-fearing.",Abul A'la Maududi
74,2,67,"And then recall when Moses said to his people: ""Behold, Allah commands you to slaughter a cow."" They said: “Are you jesting with us?” Moses answered: “I seek refuge in Allah that I should behave in the manner of the ignorant.”",Abul A'la Maududi
75,2,68,"They said: ""Pray to your Lord that He make clear to us what she is like."" Moses answered: “He says, she is a cow, neither old nor immature, but of an age in between the two. Do, then, what you have been commanded.”",Abul A'la Maududi
76,2,69,"They said: ""Pray to your Lord that He make clear to us of what colour she is."" Moses answered: “He says, she is a yellow cow, with a bright colour which is pleasing to those who see!”",Abul A'la Maududi
