sira,sure,ayet,metin,hoca
1,1,1,"(""B"" işareti kapsamı itibarıyla) Esma'sıyla varlığımı yaratan ismi Allah olanın Rahmaniyeti ve Rahıymiyeti ile. . .",Ahmed Hulusi
2,1,2,"""Hamd"" (Esma'sıyla yarattığı alemleri her an dilediğince değerlendirmek), alemlerin Rabbi olan Allah'a aittir. . .",Ahmed Hulusi
3,1,3,Rahman ve Rahıym'dir. (Rahmaniyetiyle Esma alemini meydana getiren ve Rahıymiyetiyle Esma alemindeki manalar ile her an alemleri yaratandır. ),Ahmed Hulusi
4,1,4,Din hükümlerinin (Sünnetullah) yaşanmakta olduğu sonsuz sürecin Malik - Melik'idir.,Ahmed Hulusi
5,1,5,Sadece sana kulluk ederiz ve bunun farkındalığı için yardımını niyaz ederiz. (El Esma ül Hüsna anlamlarını açığa çıkarmak suretiyle tüm yaratılmışlar olarak sana kulluk etmekteyiz ve bunun farkındalığına ermemiz için yardımını isteriz. ),Ahmed Hulusi
6,1,6,Bizi sırat-ı müstakime (Hakikate erdiren yola) hidayet et.,Ahmed Hulusi
7,1,7,"Ki o, in'amda bulunduklarının (nefslerinin hakikati olan Allah Esma'sına iman edip, ondaki kuvvelerin farkındalığını yaşayanların) yoluna. . . Gazabına uğrayanların (alemlerin ve nefsinin hakikatini göremeyip benlikleriyle kayıtlananların) Ve (Hakikatten - Vahid-ül AHAD üs Samed olan Allah ismiyle işaret edilen, anlayışından) saparak şirk koşanların yoluna değil.",Ahmed Hulusi
8,2,1,"Eliif, Laaam, Miiim.",Ahmed Hulusi
9,2,2,"Hakkında şüphe edilmesi mümkün olmayan o Hakikat ve Sünnetullah BİLGİsi (KİTAP), korunmak isteyenlere gerçeği idrak etme kaynağıdır.",Ahmed Hulusi
10,2,3,"İşte onlar gayblarındaki (algılayamadıkları) hakikate (Nefslerinin Allah Esma'sının anlamlarının bir terkip - bileşimi şeklinde meydana geldiğine) iman ederler, salatı ikame ederler (fiilen eda yanı sıra anlamını yaşarlar) ve kendilerine verdiğimiz maddi - manevi yaşam gıdasından Allah adına karşılıksız paylaşırlar.",Ahmed Hulusi
11,2,4,Onlar hakikatinden sana (boyutsal geçişle) inzal olunana ve öncekilere inzal olmuşlara iman ederler; geleceklerindeki sonsuz yaşam süreçlerine de ikan (kesin idrakten kaynaklanan kabul) halindedirler.,Ahmed Hulusi
12,2,5,"İşte onlar, Rablerinden (nefslerini oluşturan Esma bileşiminden kaynaklanan) HÜDA (hakikati idrak) halindedirler ve onlar kurtuluşa ermişlerdir.",Ahmed Hulusi
13,2,6,"Hakikati örten - inkar edenleri uyarsan da uyarmasan da fark etmez, iman etmezler!",Ahmed Hulusi
14,2,7,"Allah, onların, beyinlerindeki hakikat algılamasını kilitlemiştir; basiretleri perdelidir. Yaptıklarının sonucu olarak feci bir azabı hak etmişlerdir.",Ahmed Hulusi
15,2,8,"İnsanlardan bir kısmı ""B"" işareti kapsamınca (varlıklarını Allah Esma'sının oluşturduğu inancıyla) Allah'a ve ahiret süreçlerine (sonsuzluk içinde, kendilerinden açığa çıkanın sonuçlarını yaşayarak yer alacaklarına) iman ettiklerini söylerler; ne var ki imanları gerçekte bu kapsamda değildir!",Ahmed Hulusi
16,2,9,"(Lafta ""'B' anlamı kapsamınca iman ettik"" diyerek) hakikatleri olan Allah'ı ve iman etmişleri aldatmaya çalışırlar; halbuki kendilerini aldatırlar da bunun şuurunda değiller!",Ahmed Hulusi
17,2,10,Onların şuurlarında (hakikati hissetme işlevinde) sağlıklı düşünememe hali vardır; Allah da bunu arttırmıştır. Yalanladıkları hakikatleri yüzünden feci bir azap yaşayacaklardır.,Ahmed Hulusi
18,2,11,"Onlara, arzda (yeryüzünde ve bedende) fesat çıkarmayın (varoluş amacına uygun olmayan şekilde hareket etmeyin), denildiğinde: ""Biz ıslahçılarız (yerli yerinde kullananlarız)"" dediler.",Ahmed Hulusi
19,2,12,"Biline ki, kesinlikle onlar ifsat edenlerdir (olayı olması gerekenden saptıranlar); ne var ki bunun şuurunda değillerdir.",Ahmed Hulusi
20,2,13,"Onlara, iman eden insanlar gibi iman edin, denildiğinde: ""Süfeha (aklı sınırlı, düşünmeden yaşayanlar) gibi mi iman edelim"" derler. Kesinlikle biline ki, esas süfeha (aklı sınırlı, düşünemeyenler) kendileridir ama bunu fark etmiyorlar, anlayamıyorlar!",Ahmed Hulusi
21,2,14,"İman edenlerle beraberken ""Amenna - kabul ettik"" derler, şeytanlarıyla (vehimlerine tabi olarak onları saptıranlarla) başbaşa olduklarında ise: ""Biz sizinle aynı fikirdeyiz, onlarla alay ediyoruz"" derler.",Ahmed Hulusi
22,2,15,(Hakikatleri olan Allah'ı anlamamakta ısrarları dolayısıyla) Allah kendileriyle alay ediyor ve basiretsizlikleri dolayısıyla azgınlıklarına müsaade ediyor!,Ahmed Hulusi
23,2,16,"İşte onlar hakikatlerini oluşturan gerçeğe (bilhüda) karşılık, dalaleti (kendi hakikatini fark edememe) satın almışlardır! Oysa bu ticaret onlara kar getirmedi; gerçeğe de erdirmez!",Ahmed Hulusi
24,2,17,"Onların misali ateş yakana benzer, ki yakılan ateş çevreyi aydınlatır. Ne varki kendi hakikatlerinden gelen nur açığa çıkmadığı için, karanlığa terkedilir; artık göremez!",Ahmed Hulusi
25,2,18,"Sağırdırlar (algılamaları kilitlenmiştir), dilsizdirler (hakikati dillendirmezler), kördürler (apaçık hakikati algılayamazlar); onlar hakikatlerine dönemezler!",Ahmed Hulusi
26,2,19,"Ya da semadan (gökyüzü - düşünsel boyuttan) inen yağmur (fikirler), zulmet (karanlığın bilinmezliği) gökgürültüsü (doğru - yanlış çatışması) ve şimşek (bir an için akla düşen hakikat bilgisi) içindedirler! Yıldırımlara, ölüm korkusu (hakikatin açığa çıkmasıyla benliklerinin yok olması) düşüncesiyle kulaklarını tıkarlar (hakikat bilgisine kendilerini kapatırlar). Allah, hakikati inkar edenlerin de varlığını meydana getiren Muhiyt'tir (ihata etmektedir).",Ahmed Hulusi
27,2,20,"O şimşek (hakikat ışığı) neredeyse göze dayalı müşahedelerini kapsayacak. Onlara her aydınlık geldiğinde, o hakikat ışığıyla birkaç adım ilerler, hakikat ışığı kesilince de içine düştükleri karanlıkta kalakalırlar. Allah dilemiş olsaydı Semi' ve Basıyr isminin onlarda açığa çıkmasını kısardı. Kesinlikle Allah her şeye Kaadir'dir.",Ahmed Hulusi
28,2,21,"Ey insanlar, sizi ve sizden öncekileri yaratmış olan Rabbinize (hakikatinizi oluşturan Esma mertebesine) kulluğunuzun farkındalığına erin. Ki böylece korunanlardan olursunuz.",Ahmed Hulusi
29,2,22,"O sizin için arzı (bedeni) döşek (araç), semayı (şuuru - beyni) yaşanılan mekan olarak oluşturdu ve semadan bir su (ilim) inzal etti (boyutsal açığa çıkış) ve bunun sonucu olarak da size türlü (düşünsel - bedensel) yaşam gıdası verdi. Hal böyleyken artık ötede bir ilah edinerek O'na şirk koşmayın!",Ahmed Hulusi
30,2,23,"Kulumuza inzal ettiğimizden (hakikatinden - Esma mertebesinden bilincine açığa çıkandan) şüpheniz varsa, onun benzeri bir sure ortaya koyun. Eğer (sözünüzde) sadıksanız, Allah (adıyla işaret edilen Uluhiyetin) dununda (Allah adıyla işaret edilenin misli veya benzeri olması mümkün olmadığı içindir ki, edinilen veya tahayyül edilen tanrılar ancak onun ""dunu""nda olabilir; onların da ne gayrılığından ne denkliğinden ne eş değerinden ne de kapsamından sözedilebilir. ""Dunu"" kelimesiyle işaret edilen varlık vücudunu Allah Esma'sının işaret ettiği özelliklerden alır ama asla varlığı Allah adıyla işaret edilene kıyasla denk tutulamaz. Bu yüzdendir ki birimin düşündüğü ya da tahayyül ettiği hiçbir şey Mutlak hakikati itibarıyla Allah adıyla işaret edileni tanımlayamaz. İleride görülecek ""leyse kemislihi şey'a - misli olacak şey yoktur"" uyarısı Allah adıyla işaret edilene hiçbir kavramın yaklaşmasının mümkün olmadığını vurgulamaktadır. Tüm bunlar yazdığımız ""dunu"" kelimesiyle anlatılmaktadır. Çalışmamızda sık sık göreceğiniz ""dunu"" kelimesinin Türkçe'de karşılığı olmadığı içindir ki mecburen bu kelimeyi muhafaza ettik. A. H. ) şahitlerinizi getirin!",Ahmed Hulusi
31,2,24,"Bunu yapamazsanız, ki yapamazsınız; yananı insanlar ve taşlar (bilinç yapı olarak ruhani insan ve taş, yani o ortama göre yaratılmış olan maddesi. . . Allahu alem!) olan o ateşten korunun; zira hakikati inkar edenleri yakar o ateş.",Ahmed Hulusi
32,2,25,"İman edip hakikati yaşamayı sağlayacak fiiller ortaya koyanları müjdele, ki onlar için altlarından ırmaklar akan cennetler (Allah Esma'sının açığa çıkışının seyredildiği ortamda sürekli oluşan ilimler) vardır. Bu rızıktan rızıklandıkça (bu müşahede içinde): ""Bu daha önceden de tattığımız gibi bir şey"" derler. Bu önce tattıklarına benzer. Orada, sonsuza dek şirk kirinden arınmış eşleri iledirler!",Ahmed Hulusi
33,2,26,"Allah kesinlikle bir sivrisinek kanadı veya ondan da ufak bir şeyi misal vermekten kaçınmaz. İmanın gereğini yaşayanlar bunun Rablerinden kaynaklanan bir Hak olduğunu bilirler. Bu gerçeği inkar edenler ise, (misali anlatımları değerlendirmeyip) ""Allah, acaba bununla ne demek istedi"" derler. Bu anlatım, çoğunun (fıtratlarının elvermemesinden dolayı) sapmasına yol açar; bir kısmını da gerçeğe hidayet eder. Allah, onunla (bu tür anlatımla) safiyetini yitirmişlerden başkasını saptırmaz!",Ahmed Hulusi
34,2,27,"Onlar, Allah ahdini (Esma'sını açığa çıkarmanın farkındalığıyla yaşama istidadının gereğini) dünyaya geldikten sonra yerine getirmezler. Birleştirilmesini emrettiğini (Esma hakikati müşahedesini) keserler ve arzda (bedensel yaşam boyutunda) fesat çıkarırlar (bedensel arzular {karındaki ikinci beyin dürtüleri - komutları/nefsi emmare} peşinde ömür tüketirler). İşte bunlar hüsrana uğrayanların ta kendileridir.",Ahmed Hulusi
35,2,28,"Nasıl da varlığınızın hakikatinin Allah Esma'sı (B işareti kapsamında) olduğunu inkar ediyorsunuz? Ölüydünüz (hakikatinizin ne olduğunu bilmeden yaşıyordunuz), O sizi diriltti (inzal ettiği ilimle size hayat verdi); sizi yine öldürecek (kendini sırf bedenmiş gibi kabul halinden), yine diriltecek (kendini beden sanma halinden arındırarak bilinç boyutu haliyle yaşam). . . Nihayet sonunda hakikatinizi göreceksiniz!",Ahmed Hulusi
36,2,29,"""HU"" (O işaretini boyutsal derinlikli düşünmek gerekir) yarattı sizin için arzda olanların (bedeninizdeki özelliklerin) tümünü; sonra da şuur (beyin) boyutunuza yönelip onu yedi kat (yedi idrak kapasitesi - Nefs mertebesi) olarak düzenledi. O her şeyi bizatihi kendinden yarattığı içindir ki her şeyi bilendir.",Ahmed Hulusi
37,2,30,"Rabbin meleklere: ""Ben arzda (bedende) bir halife (Esma mertebesinin farkındalığıyla yaşayan şuur sahibi) meydana getireceğim"" dedi. Onlar da: ""Orada fesat çıkarıp kan döken birini mi meydana getireceksin; biz seni hamdinle (bizde açığa çıkardığın varlığını değerlendirme haliyle) tespih (her an yeni hale dönüşen isteğine kulluk ederek) ve kudsiyetini (her türlü eksiklikten beri oluşunu) dillendirmiyor muyuz?"" dediler. (Buyurdu): ""BEN sizin bilmediklerinizin Aliymiyim!. . """,Ahmed Hulusi
38,2,31,"Sonra Adem'e (Esma'nın programlanışı, Esma bileşiminin açığa çıkışıyla yoktan var edilene) bütün Esma'yı (Esma ül Hüsna'sının anlamlarını açığa çıkarmayı ve kavramayı) talim etti (programladı). Sonra melaikeye: ""Eğer dediğinizde ısrarlı iseniz bana (Adem'in) varlığındaki Esma'nın (özelliklerinin) neler olduğunu anlatın"" dedi.",Ahmed Hulusi
39,2,32,"(Bunu değerlendiremeyen melaike): ""Subhaneke (her an yeni bir şey yaratıp bunlarla da asla kayıtlanmayan ve sınırlanmayansın)! Bizde açığa çıkarttığın ilimden başkasını bilmemiz asla mümkün değil! Şüphesiz ki sen, Mutlak İlim (Aliym) ve bunu bir sistem içinde (Hakiym) açığa çıkaransın!""",Ahmed Hulusi
40,2,33,"(Hitap etti): ""Ya Adem (yoktan var olmuş, Esma ile hayat bulmuş) varlığındaki isimlerin hakikatinden onlara söz et. "" Adem onlara (varlığını oluşturan Allah) isimlerinin işaret ettiği manalardan haber verince (yani bu isimlerin özellikleri kendisinde açığa çıkınca); Allah onlara fark ettirdi: ""Demedim mi size ben, muhakkak ki bilirim semalar (şuur boyutu) ve arz (beden) boyutunun gaybını (açığa çıkmamış sırlarını, özelliklerini). . . Ve ben bilirim gizlediklerinizi ve açıkladıklarınızı!""",Ahmed Hulusi
41,2,34,"Meleklere: ""Secde edin Adem'e"" dediğimizde secde ettiler (yoktan varolmuştaki Esma'dan meydana gelmiş varlığa - Esma mertebesine). . . Ancak İblis, benliğinin yüceliğinden (enfüsünde gördüğüyle afaktaki hakikatten perdelenerek) inkar etti. Hakikati inkar edenlerden (kafir) oldu.",Ahmed Hulusi
