sira,sure,ayet,metin,hoca
1,1,1,Rahman ve Rahim olan Allah'ın adıyla,Ali Bulaç
2,1,2,Hamd Alemlerin Rabbi'nedir.,Ali Bulaç
3,1,3,Rahman ve Rahimdir.,Ali Bulaç
4,1,4,Din gününün malikidir.,Ali Bulaç
5,1,5,Biz yalnızca Sana ibadet eder ve yalnızca Sen'den yardım dileriz.,Ali Bulaç
6,1,6,Bizi doğru yola ilet;,Ali Bulaç
7,1,7,"Kendilerine nimet verdiklerinin yoluna, gazaba uğrayanların ve sapmışlarınkine değil.",Ali Bulaç
8,2,1,"Elif, Lam, Mim,",Ali Bulaç
9,2,2,"Bu, kendisinde şüphe olmayan, muttakiler için yol gösterici olan bir kitaptır.",Ali Bulaç
10,2,3,"Onlar, gaybe inanırlar, namazı dosdoğru kılarlar ve kendilerine rızık olarak verdiklerimizden infak ederler.",Ali Bulaç
11,2,4,"Ve onlar, sana indirilene, senden önce indirilenlere iman ederler ve ahirete de kesin bir bilgiyle inanırlar.",Ali Bulaç
12,2,5,"İşte bunlar, Rablerinden olan bir hidayet üzeredirler ve kurtuluşa erenler bunlardır.",Ali Bulaç
13,2,6,"Şüphesiz, inkar edenleri uyarsan da, uyarmasan da, onlar için farketmez; inanmazlar.",Ali Bulaç
14,2,7,"Allah, onların kalplerini ve kulaklarını mühürlemiştir; gözlerinin üzerinde perdeler vardır. Ve büyük azab onlaradır.",Ali Bulaç
15,2,8,"İnsanlardan öyleleri vardır ki: ""Biz Allah'a ve ahiret gününe iman ettik"" derler; oysa inanmış değillerdir.",Ali Bulaç
16,2,9,"(Sözde) Allah'ı ve iman edenleri aldatırlar. Oysa onlar, yalnızca kendilerini aldatıyorlar ve şuurunda değiller.",Ali Bulaç
17,2,10,"Kalplerinde hastalık vardır. Allah da hastalıklarını arttırmıştır. Yalan söylemekte olduklarından dolayı, onlar için acı bir azab vardır.",Ali Bulaç
18,2,11,"Kendilerine: ""Yeryüzünde fesat çıkarmayın"" denildiğinde: ""Biz sadece ıslah edicileriz"" derler.",Ali Bulaç
19,2,12,"Bilin ki; gerçekten, asıl fesatçılar bunlardır, ama şuurunda değildirler.",Ali Bulaç
20,2,13,"Ve (yine) kendilerine: ""İnsanların iman ettiği gibi siz de iman edin"" denildiğinde: ""Düşük akıllıların iman ettiği gibi mi iman edelim?"" derler. Bilin ki, gerçekten asıl düşük akıllılar kendileridir; ama bilmezler.",Ali Bulaç
21,2,14,"İman edenlerle karşılaştıkları zaman: ""İman ettik"" derler. Şeytanlarıyla başbaşa kaldıklarında ise, derler ki: ""Şüphesiz, sizinle beraberiz. Biz (onlarla) yalnızca alay ediyoruz.""",Ali Bulaç
22,2,15,(Asıl) Allah onlarla alay eder ve taşkınlıkları içinde şaşkınca dolaşmalarına (belli bir) süre tanır.,Ali Bulaç
23,2,16,"İşte bunlar, hidayete karşılık sapıklığı satın almışlardır; fakat bu alışverişleri bir yarar sağlamamış; hidayeti de bulmamışlardır.",Ali Bulaç
24,2,17,"Bunların örneği, ateş yakan adamın örneğine benzer; (ki onun ateşi) çevresini aydınlattığı zaman, Allah onların aydınlığını giderir ve göremez bir şekilde karanlıklar içinde bırakıverir.",Ali Bulaç
25,2,18,"Sağırdırlar, dilsizdirler, kördürler. Bundan dolayı dönmezler.",Ali Bulaç
26,2,19,"Ya da (bunlar) karanlıklar, gök gürültüsü ve şimşek(ler)le yüklü, gökten şiddetli bir yağmur fırtınasına tutulmuş gibidirler ki, yıldırımların saldığı dehşetle; ölüm korkusundan parmaklarıyla kulaklarını tıkarlar. Oysa Allah kafirleri çepeçevre kuşatıcıdır.",Ali Bulaç
27,2,20,"Çakan şimşek neredeyse gözlerini kapıverecek; önlerini her aydınlattığında (biraz) yürürler, üzerlerine karanlık basıverince de kalakalırlar. Allah dileseydi, işitmelerini de görmelerini de gideriverirdi. Şüphesiz Allah, herşeye güç yetirendir.",Ali Bulaç
28,2,21,"Ey insanlar, sizi ve sizden öncekileri yaratan Rabbinize kulluk edin ki sakınasınız.",Ali Bulaç
29,2,22,"O, sizin için yeryüzünü bir döşek, gökyüzünü bir bina kıldı. Ve gökten yağmur indirerek bununla sizin için (çeşitli) ürünlerden rızık çıkardı. Öyleyse (bütün bunları) bile bile Allah'a eşler koşmayın.",Ali Bulaç
30,2,23,"Eğer kulumuza indirdiğimiz (Kur'an)'den şüphedeyseniz, bu durumda, siz de bunun benzeri bir sure getirin. Ve eğer doğru sözlüyseniz, Allah'tan başka şahitlerinizi (kendilerine güvendiğiniz yardımcılarınızı) çağırın.",Ali Bulaç
31,2,24,Ama yapamazsanız -ki kesin olarak yapamayacaksınız- bu durumda kafirler için hazırlanmış ve yakıtı insanlar ile taşlar olan ateşten sakının.,Ali Bulaç
32,2,25,"(Ey Muhammed) iman edip salih amellerde bulunanları müjdele. Gerçekten onlar için altlarından ırmaklar akan cennetler vardır. Kendilerine rızık olarak bu ürünlerden her yedirildiğinde: ""Bu daha önce de rızıklandığımızdır"" derler. Bu, onlara, (dünyadakine) benzer olarak sunulmuştur. Orada, onlar için tertemiz eşler vardır ve onlar orada süresiz kalacaklardır.",Ali Bulaç
33,2,26,"Şüphesiz Allah, bir sivrisineği de, ondan üstün olanı da, (herhangi bir şeyi) örnek vermekten çekinmez. Böylece iman edenler, kuşkusuz bunun Rablerinden gelen bir gerçek olduğunu bilirler; inkar edenler ise, ""Allah, bu örnekle neyi amaçlamış?"" derler. (Oysa Allah,) Bununla birçoğunu saptırır, birçoğunu da hidayete erdirir. Ancak O, fasıklardan başkasını saptırmaz.",Ali Bulaç
34,2,27,"Ki (bunlar) Allah'ın ahdini, onu kesin olarak onayladıktan sonra bozarlar, Allah'ın kendisiyle birleştirilmesini emrettiği şeyi keserler ve yeryüzünde bozgunculuk çıkarırlar. Kayba uğrayanlar, işte bunlardır.",Ali Bulaç
35,2,28,"Nasıl oluyor da Allah'ı inkar ediyorsunuz? Oysa ölü iken sizi O diriltti; sonra sizi yine öldürecek, yine diriltecektir ve sonra O'na döndürüleceksiniz.",Ali Bulaç
36,2,29,"Sizin için yerde olanların tümünü yaratan O'dur. Sonra göğe yönelip (istiva edip) de onları yedi gök olarak düzenleyen O'dur. Ve O, herşeyi bilendir.",Ali Bulaç
37,2,30,"Hani Rabbin, Meleklere: ""Muhakkak ben, yeryüzünde bir halife var edeceğim"" demişti. Onlar da: ""Biz seni şükrünle yüceltir ve (sürekli) takdis ederken, orada bozgunculuk çıkaracak ve kanlar akıtacak birini mi var edeceksin?"" dediler. (Allah:) ""Şüphesiz sizin bilmediğinizi ben bilirim"" dedi.",Ali Bulaç
38,2,31,"Ve Adem'e isimlerin hepsini öğretti. Sonra onları meleklere yöneltip: ""Eğer doğru sözlüyseniz, bunları bana isimleriyle haber verin"" dedi.",Ali Bulaç
