sira,sure,ayet,metin,hoca
1,1,1,"""Bağışlayan; Merhametli Allah'ın İsmiyle!""[9]",Ali Rıza Safa
2,1,2,"""Evrenlerin Efendisi Allah'a övgüler olsun!""[10]",Ali Rıza Safa
3,1,3,"""Bağışlayan; Merhametli!""",Ali Rıza Safa
4,1,4,"""Yargı Günü'nün Egemeni!""",Ali Rıza Safa
5,1,5,"""Yalnızca Sana hizmet ederiz ve yalnızca Senden yardım dileriz!""",Ali Rıza Safa
6,1,6,"""Dosdoğru yola eriştir bizi!""",Ali Rıza Safa
7,1,7,"""Nimet verdiklerinin yoluna... Öfkeye uğrayanların ve sapkınların değil!""",Ali Rıza Safa
8,2,1,A. L. M.[11],Ali Rıza Safa
9,2,2,İşte Kitap! Onda kuşku yoktur. Sorumluluk bilinci taşıyanlar için yol gösterendir.,Ali Rıza Safa
10,2,3,"Onlar, gizli gerçeklere inanırlar, namazı dosdoğru kılarlar; kendilerine geçimlik olarak verdiklerimizden de yardımlaşmak amacıyla paylaşırlar.",Ali Rıza Safa
11,2,4,"Ayrıca, hem sana indirilene hem de senden önce indirilene inanırlar. Sonsuz yaşama da kesin olarak inanırlar.",Ali Rıza Safa
12,2,5,"İşte onlar, Efendilerinin doğru yolu üzerindedir. Kurtuluşa erişenler, işte onlardır.",Ali Rıza Safa
13,2,6,"Aslında, nankörlük edenleri uyarsan da uyarmasan da değişmez; inanmazlar.",Ali Rıza Safa
14,2,7,"Allah, onların yüreklerine ve kulaklarına damga vurmuş, gözlerine de perde çekmiştir. Üstelik onlar için, büyük bir ceza vardır.",Ali Rıza Safa
15,2,8,"Ayrıca, insanlar arasında öyleleri vardır ki, ""Allah'a ve Sonsuz Yaşam Günü'ne inandık!"" derler; oysa inanmazlar.",Ali Rıza Safa
16,2,9,Allah'ı ve inanca çağırılanları aldatmak için uğraşırlar. Oysa kendilerinden başkasını aldatamazlar; üstelik ayırdında değiller.,Ali Rıza Safa
17,2,10,"Yüreklerinde sayrılık vardır. Allah da sayrılıklarını artırmıştır. Yalanları yüzünden, onlar için, acı bir ceza vardır.",Ali Rıza Safa
18,2,11,"""Yeryüzünde bozgunculuk yapmayın!"" denildiğinde, şöyle derler: ""Yalnızca düzeni sağlıyoruz!""",Ali Rıza Safa
19,2,12,"İyi bilin ki, gerçek bozguncular onlardır; fakat ayırdında değiller.",Ali Rıza Safa
20,2,13,"Üstelik ""İnsanların inandıkları gibi siz de inanın!"" denildiğinde, şöyle derler: ""Akılsızların inandığı gibi inanalım; öyle mi?"" İyi bilin ki, gerçek akılsızlar onlardır; fakat bilmezler.",Ali Rıza Safa
21,2,14,"İnananlarla karşılaştıklarında, ""İnandık!"" derler. Oysa şeytanlarıyla baş başa kaldıklarında, şöyle derler: ""Aslında, sizinle birlikteyiz; yalnızca alay ediyoruz!""",Ali Rıza Safa
22,2,15,"Allah, onlarla alay eder ve azgınlıkları içinde şaşkın dolaşmaları için süre verir.[12]",Ali Rıza Safa
23,2,16,"İşte onlar, doğru yol karşılığında, sapkınlığı satın almışlardır. Fakat bu alışverişleri bir yarar sağlamamış; doğru yolu da bulamamışlardır.",Ali Rıza Safa
24,2,17,"Onların durumu, ateş yakan kimselerin durumunun tıpkısıdır. Çevrelerini aydınlattığı zaman, Allah, onların aydınlıklarını alır ve göremez durumda karanlıklar içinde bırakır.",Ali Rıza Safa
25,2,18,"Onlar, sağırdır, dilsizdir, kördür; artık dönmezler.",Ali Rıza Safa
26,2,19,"Veya karanlıklar, gök gürlemesi ve şimşekle yüklü gökten boşanan bir yağmura tutulmuş gibilerdir. Yıldırımlardan ölmek korkusuyla, parmaklarını kulaklarına tıkarlar. Çünkü Allah, nankörlük edenleri Kuşatandır.",Ali Rıza Safa
27,2,20,"Çakan şimşek, neredeyse gözlerini çıkaracak. Önlerini aydınlattıkça yürürler; üzerlerine karanlık çökünce de çakılıp kalırlar. Oysa Allah dileseydi, duymalarını ve görmelerini kesinlikle yok ederdi. Kuşkusuz, Allah, her şeye Gücü Yetendir.",Ali Rıza Safa
28,2,21,"Ey insanlar! Sizi ve sizden öncekileri yaratan Efendinize hizmet edin; böylece, belki sorumluluk bilincine erişirsiniz.",Ali Rıza Safa
29,2,22,"O, yeryüzünü yaşamaya elverişli ovalar ve gökyüzünü bir yapı yapmıştır. Ve gökten su indirerek, size geçimlik olması için, her türlü ürünü onunla çıkarmıştır. Artık, bilerek Allah'a ortaklar koşmayın.",Ali Rıza Safa
30,2,23,"Ve kulumuza indirdiğimizden kuşku duyuyorsanız, Onun benzeri bir sure getirin. Allah'tan başka ayrıca edindiğiniz tanıklarınızı da çağırın; eğer doğruyu söylüyorsanız?",Ali Rıza Safa
31,2,24,"Eğer yapamazsanız -zaten asla yapamayacaksınız- nankörlük edenler için hazırlanmış, yakıtı insanlar ve taşlar olan ateşten artık sakının.",Ali Rıza Safa
32,2,25,"İnanmış olarak erdemli edimler yapanlara, sevinçli haberi ver; onlar için, altlarından ırmaklar akan cennetler vardır. Onlara sunulan bu ürünlerin her verilişinde, ""Daha önce tattığımız şey!"" derler. Çünkü benzer biçimde, bu onlara verilmişti. Onlar için, orada tertemiz eşler vardır ve sürekli orada kalacaklardır.",Ali Rıza Safa
33,2,26,"Kuşkusuz, Allah, bir dişi sivrisineği, üstelik ondan da küçük olanı örnek vermekten çekinmez. Nitekim inananlar, bunun, Efendilerinden bir gerçek olduğunu bilirler. Oysa nankörlük edenler, şöyle derler: ""Allah, bu örnekle ne demek istiyor?"" Onunla, birçoğunu saptırır, birçoğunu da doğru yola eriştirir. Zaten onunla, yoldan çıkanlardan başkasını saptırmaz.[13]",Ali Rıza Safa
34,2,27,"Allah'a verdikleri sözü güçlendirdikten sonra bozanlar, Allah'ın birleştirilmesini buyruk verdiği şeyi kesenler ve yeryüzünde bozgunculuk yapanlar; yitime uğrayanlar, işte onlardır.",Ali Rıza Safa
35,2,28,"Allah'a nasıl nankörlük edersiniz? Oysa sizler ölüydünüz. Ardından size yaşam verdi. Sonra sizi öldürecek; sonra size yeniden yaşam verecek. Sonra, O'na döndürüleceksiniz.",Ali Rıza Safa
36,2,29,"O, yeryüzünde olanların tümünü sizin için yarattı. Sonra gökyüzüne yönelerek, yedi gök olarak onları düzenledi. Çünkü O, her şeyi Bilendir.",Ali Rıza Safa
37,2,30,"Efendin, meleklere, şöyle demişti: ""Aslında, yeryüzünün yeni yöneticisi olacak birisini atayacağım!"" Dediler ki: ""Orada bozgunculuk yapacak ve kan akıtacak birisini mi atayacaksın? Oysa biz, övgülerle Seni yüceltiyoruz ve kutsuyoruz!"" Dedi ki: ""Kuşkusuz, Ben, sizin bilmediklerinizi bilirim!""",Ali Rıza Safa
38,2,31,"Ve Âdem'e, tüm isimleri öğretti. Sonra, onları meleklerin önüne koyarak, şöyle dedi: ""Bunları, isimleriyle Bana bildirin; eğer doğruyu söylüyorsanız?""",Ali Rıza Safa
39,2,32,"Dediler ki: ""Sen, tüm yakıştırmalardan ayrıksın. Bize öğrettiğinden başka bilgimiz yoktur. Kuşkusuz, Sen, Bilensin; Bilgelik ve Adaletle Yönetensin!""",Ali Rıza Safa
40,2,33,"""Ey Âdem! Bunları, isimleriyle onlara bildir!"" dedi. İsimleriyle onlara bildirince, şöyle dedi: ""Size söylemedim mi? Kuşkusuz, göklerin ve yeryüzünün gizli gerçeklerini bilirim. Açıkladıklarınızı da gizlediklerinizi de bilirim!""",Ali Rıza Safa
41,2,34,"Meleklere; ""Âdem'e secde edin!"" dediğimizde, İblis dışında secde ettiler; büyüklük taslayarak kaçındı ve nankörlük etti.",Ali Rıza Safa
42,2,35,"Ve şöyle dedik: ""Ey Âdem! Sen ve eşin cennette yerleşin ve istediğiniz yerden bol bol yiyin. Ama şu ağaca yaklaşmayın; kendinize yazık edersiniz!""[14]",Ali Rıza Safa
43,2,36,"Bunun üzerine, şeytan ayaklarını kaydırarak, bulundukları yerden çıkardı. Biz de şöyle dedik: ""Birbirinize düşman olarak inin! Belirli bir zamana dek, yeryüzünde sizin için bir yerleşim ve geçinme vardır!""",Ali Rıza Safa
44,2,37,"Sonunda, Âdem'in, Efendisinden öğrendiği sözler sayesinde, Onun pişmanlığını kabul etti. Kuşkusuz, O, Pişmanlıkları Kabul Edendir; Merhametlidir.[15]",Ali Rıza Safa
45,2,38,"""İkiniz de oradan inin!"" dedik; ""Bundan böyle, Benden size bir yol gösteren geldiğinde, Benim yoluma kim bağlı kalırsa, artık onlara korku yoktur ve onlar üzülmezler!""",Ali Rıza Safa
46,2,39,"Nankörlük edenler ve ayetlerimizi yalanlayanlar; ateşin yoldaşları, işte onlardır. Sürekli orada kalacaklardır.",Ali Rıza Safa
47,2,40,"Ey İsrailoğulları! Sizi nimetlendirdiğim o nimetimi hatırlayın ve Bana verdiğiniz sözü tutun ki, Ben de size verdiğim sözü tutayım. Ve yalnızca Benden korkun.",Ali Rıza Safa
48,2,41,"Yanınızda olanı doğrulayan, Benim indirdiğime inanın. Onu inkar edenlerin öncüsü siz olmayın. Benim ayetlerimi az bir değere satmayın. Ve yalnızca Bana karşı sorumluluk bilinci taşıyın.",Ali Rıza Safa
49,2,42,"Gerçeği, gerçeğe aykırı olanla karıştırmayın. Çünkü siz biliyorsunuz.",Ali Rıza Safa
50,2,43,"Namazı dosdoğru kılın, zekatı verin ve eğilenlerle birlikte eğilin.[16]",Ali Rıza Safa
51,2,44,"İnsanlara erdemli olmaları öğüdünü verirken, kendinizi unutuyor musunuz? Üstelik Kitap'ı da okuyorsunuz. Yine de aklınızı kullanmayacak mısınız?",Ali Rıza Safa
52,2,45,"Dirençli olarak ve namazla yardım dileyin. Aslında, derin saygı duyanlardan başkasına böylesi zor gelir.",Ali Rıza Safa
53,2,46,"Onlar, Efendilerine kesinlikle kavuşacaklarını ve O'na kesinlikle döneceklerini bilirler.",Ali Rıza Safa
54,2,47,"Ey İsrailoğulları! Sizi nimetlendirdiğim o nimetimi hatırlayın. Aslında, sizi, evrenlere üstün kılmıştım.[17]",Ali Rıza Safa
55,2,48,"Ve kimsenin, kimse adına bir şey ödeyemeyeceği, kimsenin ara buluculuğunun kabul edilmeyeceği, kimseden kurtulmalık alınmayacağı ve onlara yardım da edilmeyeceği günden sakının.",Ali Rıza Safa
56,2,49,"Firavun ailesinden sizi kurtardığımızda, size dayanılmaz acılar çektiriyor; oğullarınızı öldürüp, kadınlarınızı da sağ bırakıyorlardı. İşte bunda, Efendinizden, sizin için büyük bir sınav vardı.",Ali Rıza Safa
