sira,sure,ayet,metin,hoca
1,1,1,Rahmet ve merhametin kaynağı olan Allah'ın adıyla.,Bayraktar Bayraklı
2,1,2,"Bütünüyle övgü, alemlerin rabbi Allah'a aittir.",Bayraktar Bayraklı
3,1,3,"O, rahmet ve merhametin kaynağıdır.",Bayraktar Bayraklı
4,1,4,Din/ceza ve ödül gününün sahibidir.,Bayraktar Bayraklı
5,1,5,Yalnız sana kulluk eder ve yalnız senden yardım dileriz.,Bayraktar Bayraklı
6,1,6,"Bizi doğru yola,yani kendilerini nimetlendirdiklerinin yoluna ilet;",Bayraktar Bayraklı
7,1,7,gazaba uğramışların ve sapıkların yoluna değil!,Bayraktar Bayraklı
8,2,1,"Elif, lam, mim.",Bayraktar Bayraklı
9,2,2,"Kendisinde hiç şüphe olmayan bu kitap, sakınanlar için bir rehberdir.",Bayraktar Bayraklı
10,2,3,"Onlar, gayba inanırlar, namazı kılarlar, kendilerine verdiklerimizden Allah yolunda harcarlar.",Bayraktar Bayraklı
11,2,4,Sana indirilene ve senden önce indirilene de iman ederler; ahiret gününe kesinlikle inanırlar.,Bayraktar Bayraklı
12,2,5,"İşte onlar, Rablerinden gelen bir hidayet üzeredirler ve işte onlar kurtuluşa erenlerin ta kendileridirler.",Bayraktar Bayraklı
13,2,6,"İnkar edenleri uyarsan da uyarmasan da, onlar için aynıdır; iman etmezler.",Bayraktar Bayraklı
14,2,7,Bu nedenle Allah onların kalplerini ve kulaklarını mühürlemiştir. Onların gözlerine de bir perde çekilmiştir. Onlar için büyük bir azap vardır.,Bayraktar Bayraklı
15,2,8,"İnsanlardan bazıları inanmadıkları halde,""Allah'a ve ahiret gününe inandık"" derler.",Bayraktar Bayraklı
16,2,9,Allah'ı ve iman edenleri aldatmaya çalışıyorlar. Halbuki onlar kendilerini aldatıyorlar da bunun farkında değillerdir.,Bayraktar Bayraklı
17,2,10,"Onların kalplerinde bir hastalık vardır. Allah da onların hastalığını arttırmıştır. Yalan söylediklerinden dolayı, onlara acı veren bir azap vardır.",Bayraktar Bayraklı
18,2,11,"Onlara, ""Yeryüzünde bozgunculuk yapmayın!"" denildiğinde, ""Biz ancak ıslah edici kimseleriz""  derler.",Bayraktar Bayraklı
19,2,12,Onların bozguncu olduklarını iyi bilin. Lakin onlar bunun farkında değillerdir.,Bayraktar Bayraklı
20,2,13,"Onlara, ""İnsanların iman ettiği gibi siz de iman edin!"" dendiğinde, ""Biz hiç beyinsizlerin iman ettikleri gibi iman eder miyiz!"" derler. Biliniz ki, beyinsizler ancak kendileridir, fakat bunu bilmezler.",Bayraktar Bayraklı
21,2,14,"Müminlerle karşılaştıklarında, ""İman ettik"" derler, reisleriyle başbaşa kaldıklarında ise, ""Biz sizinle beraberiz; biz sadece alay ediyoruz"" derler.",Bayraktar Bayraklı
22,2,15,Allah onlarla alay ediyor ve taşkınlıkları içinde şaşkınca dolaşmalarına süre tanıyor.,Bayraktar Bayraklı
23,2,16,"İşte onlar, doğru yola karşılık sapıklığı satın alanlardır. Onların bu ticareti kazançlı olmayacakve doğru yolu da bulamayacaklardır.",Bayraktar Bayraklı
24,2,17,"Onların durumu, bir ateş yakan kimseye benzer. O ateş yanıp etrafını aydınlattığında, Allah hemen onların aydınlığını giderir ve onları hiçbir şey göremeyecekleri karanlıklar içinde bırakır.",Bayraktar Bayraklı
25,2,18,"Onlar manen sağır, dilsiz ve kördür; gerçeğe dönmezler.",Bayraktar Bayraklı
26,2,19,"Yahut onların durumu, gökten sağanak halinde boşalan, içinde yoğun karanlıklar, gök gürültüsü ve şimşekler bulunan fırtınaya tutulmuş insana benzer. O münafıklar yıldırımlardan gelecek ölüm korkusuyla parmaklarını kulaklarına tıkarlar. Halbuki Allah, kafirleri çepeçevre kuşatmıştır.",Bayraktar Bayraklı
27,2,20,"Neredeyse gözlerini kapıverecek olan şimşek önlerini aydınlattığında onun ışığında yürürler; üzerlerine karanlık çökünce dikilip kalırlar. Allah dileseydi, elbette onların kulaklarını sağır, gözlerini kör ederdi. Şüphesiz Allah, her şeye gücü yetendir.",Bayraktar Bayraklı
28,2,21,"Ey insanlar! Sizi ve sizden öncekileri yaratan Rabbinize kulluk ediniz ki, ruh olgunluğuna eresiniz.",Bayraktar Bayraklı
29,2,22,"O Allah ki, yeryüzünü sizin için bir döşek, gökyüzünü bir bina yaptı. O, gökten su indirip onunla çeşit çeşit meyveleri size rızık olarak çıkardı. O halde, bile bile Allah'a eşler koşmayınız.",Bayraktar Bayraklı
30,2,23,"Eğer kulumuza indirdiğimiz Kur'an'dan şüphe ediyorsanız, siz de onun bir suresinin benzerini getiriniz ve eğer sözünüzün eri iseniz Allah'tan başka tapındıklarınızı da yardıma çağırınız.",Bayraktar Bayraklı
31,2,24,Kur'an'ın veya on suresinin benzerini getiremediniz; bir suresinin benzerini de asla getiremeyeceksiniz. O halde yakıtı insanlar ile taşlar olan ve kafirler için hazırlanmış bulunan ateşten korkun!,Bayraktar Bayraklı
32,2,25,"İman edip de yararlı iş yapanları,içinden ırmaklar akan cennetlerle  müjdele! Kendilerine cennette meyve nimeti verildiğinde,""Bu, daha önce de dünyada yediğimize benziyor; bunun benzeri bize verilmişti"" diyecekler. Orada onların, her türlü pislikten arınmış tertemiz eşleri olacak ve orada süreli olarak kalacaklardır.",Bayraktar Bayraklı
33,2,26,"Allah, bir sivri sineği, hatta ondan daha küçük bir şeyi örnek vermekten çekinmez. İnananlar, bu örneğin Rabblerinden bir gerçek olduğunu bilirler. Kafirler ise, ""Allah bu örnekle ne demek istedi?"" derler. ""Allah bu örnekle birçoğunu saptırır, birçoğunu da doğruya yöneltir; bu örnekle, fasıklardan başkasını saptırmaz.""",Bayraktar Bayraklı
