sira,sure,ayet,metin,hoca
1,1,1,"Lord; the Most Forgiving, the Most Merciful.",Bijan Moeinian
2,1,2,"Thank you Lord, the Creator of the entire universe",Bijan Moeinian
3,1,3,"You are the Most Forgiving, the Most Merciful",Bijan Moeinian
4,1,4,We acknowledge You as the Master of the Day of Judgment,Bijan Moeinian
5,1,5,You (and no body else) are the One that we worship and You (and no one else) are the One that we ask for help,Bijan Moeinian
6,1,6,Guide us to the straight path,Bijan Moeinian
7,1,7,The path paved by those who received your blessings and not the ones who (deserved) your anger and lost (forever) in darkness.,Bijan Moeinian
8,2,1,ALM.,Bijan Moeinian
9,2,2,"This book [which in its entirety is <u>the</u> word of God] without any doubt, is the guidance for God-fearing people.",Bijan Moeinian
10,2,3,"[God fearing people are] Those Who believe in the existence of the unseen [beings and phenomena that man can not perceive with his senses such as microbes, atoms, angles, etc. ], worship God [five times a day as established by Islamic laws] and give to charity a part of their income/ provisions [which God has provided for them at first place.]",Bijan Moeinian
11,2,4,The above mentioned people are those who believe in this book (Qur’an) that I (God) have revealed to you (Mohammad) as well as the (original) Books that I had revealed to the prophets before you [which do not exist any more as they have been tampered with or partially/ totally lost] and firmly believe in the (existence of) Hereafter.,Bijan Moeinian
12,2,5,"The above mentioned people are on the right course (as shown by God) and are [""the real”] successful ones.",Bijan Moeinian
13,2,6,"As far as the disbelievers are concerned, in spite of your (Mohammad’s) warning, they do not care at all and they will never believe [in submission to the will of God. ]",Bijan Moeinian
14,2,7,"(In account of their disobedience and disbelief) God seals their minds, their hearing and their eyes and they will be subject to a great punishment.",Bijan Moeinian
15,2,8,There are (a third group of people known as hypocrites) who (verbally and not from the bottom of their hearts) proclaim that they believe in God and the day of judgment; but they are not true believers.,Bijan Moeinian
16,2,9,They (hypocrites) think that by a simple declaration (of submitting themselves to the will of God) they can deceive God and the believers; in fact they do not deceive anyone but themselves and simply do not get it.,Bijan Moeinian
17,2,10,These hypocrites have a disease in their hearts and [as they are not looking for a cure] God intensifies their disease and there is painful doom for them in store in account of their lies (attitude. ),Bijan Moeinian
18,2,11,"And when they are told, ""Do not to make mischief on the earth,"" they reply: “[Our actions are meant with the best intentions]/ we are indeed the righteous ones. ”",Bijan Moeinian
19,2,12,"The fact of the matter is: they are corrupt, but they do not realize it.",Bijan Moeinian
20,2,13,"And when they are told: ""Believe as the people believe"", they say : “You are asking us to believe like those fools?” In fact it is they who are fools, but they do not realize it.",Bijan Moeinian
21,2,14,"And when they meet the believers, they say: ""We believe,"" but when they get together with their devil peers, they say: “We are indeed with you; we were just kidding. ”",Bijan Moeinian
22,2,15,God will pay them back their mockery and let them wonder like blinds (for a while. ),Bijan Moeinian
23,2,16,"These hypocrites buy the ""darkness"" paying the “light for it”; what a bargain! They have indeed lost the right path and God will not give them any guidance at all.",Bijan Moeinian
24,2,17,"Their case may be compared to the case of those who started a fire in the darkness. As soon as they started to see around themselves, God [in account of their mockery] took their light away and left them in absolute darkness; unable to see.",Bijan Moeinian
25,2,18,"Now they are deaf, dumb, blind and without guidance; naturally they can not find their way back to the right path.",Bijan Moeinian
26,2,19,"Their case may also be compared to the case of the people caught up in a frightening thunder storm. Whenever they see/ hear a thunder, their only reaction to overcome the fear of death is to put their fingers in their ears! Indeed unbelievers are overpowered by God.",Bijan Moeinian
27,2,20,"The lightening makes them almost blind but provides them with a few second of insight so that they take a few steps forward. If God decides to deprive them even of this favor (a few second of light), he can make them completely deaf and blind as he is capable of doing anything that he wishes.",Bijan Moeinian
28,2,21,"O mankind, worship no one but your Lord. The one who created you and people who lived before you; so that you may become righteous and get salvation.",Bijan Moeinian
29,2,22,"Lord is the one who has made the earth habitable for you. He has created the sky as a canopy [a thin ozone layer covering the earth’s atmosphere like a canopy, without which we all die almost immediately]. He sends down from the sky water which causes the vegetations to grow [and create a food chain] as your provision. Do not then set up idols [in different forms and shapes] to rival God while you know that he is the only creator.",Bijan Moeinian
30,2,23,"And if you have any (sincere) doubt about the source of this book that I (God) have revealed to My servant (Mohammad), I challenge you to get together with whoever you wish and do your best to compose a chapter like one of the chapters of Qur’an",Bijan Moeinian
31,2,24,"But if you fail—and there is no doubt that you will fail--, then beware of the Hell fire which is being fueled by (guilty) men and burning stones prepared for the unbelievers.",Bijan Moeinian
32,2,25,"And give good news to those who believe and do good deeds that they will live in gardens in which rivers flow. Anytime they are served with fruits (and other provisions), they will say: ""These are similar [though superior in quality] to what God was providing for us in earth"". The believers will have pure spouses and live in paradise forever.",Bijan Moeinian
33,2,26,"God is definitely not ashamed to refer to a tiny mosquito—or a bigger creature of his own—as an example to make a point. The believers get the message from the example; the unbelievers (on the other hand) will say: ""What does God mean by these stupid examples?"" Many are misled and many are lead by these examples to the right path; only the wicked ones are misled [as they do not get the message in account of their attitude.]",Bijan Moeinian
34,2,27,"Those who break a covenant that they have made with God, break apart what God has ordered to be joined and commit evil on earth, they are the losers.",Bijan Moeinian
35,2,28,"How can you reject the faith in God, knowing that you were dead and he brought you to life? Then He puts you to death and then He brings you back to life; and again to Him ultimately you will return.",Bijan Moeinian
36,2,29,God is the one Who created for you everything on earth. Then He directed His attention to the heaven and perfected seven universes therein; and He is fully aware of everything.,Bijan Moeinian
37,2,30,"Your Lord said to the angles: ""I am going to place man as my representative on earth. "" They said: “Will you place on earth the one who will make mischief and shed blood? You know that we sing Your praises and glorify You [would you kindly explain the rational behind this decision of yours?]",Bijan Moeinian
38,2,31,"[Once God created Adam, in order to answer the Angles’ question,] He taught Adam every possible subject and then asked questions about those subjects from the angles [making his points that in spite of the man’s shortcoming, he is given a higher level of learning capacity than the angles (who do not shed blood or make mischief) do not possess]",Bijan Moeinian
39,2,32,"The angles replied: ""Glory being worthy of You, we do not know nothing more than what You have taught us. You are the one who knows everything and You are the Wise.""",Bijan Moeinian
40,2,33,"Then God said: "" O Adam, answer the questions that I asked the angles"". When Adam answered those questions, God said: “Did I not tell you That I know the secrets of heaven and earth as well as what you disclose and what you hide.” [Do you now realize why I want to put such a mischief making creature as my representative on earth in spite of all his shortcomings?]",Bijan Moeinian
41,2,34,"And I (God) said to the angles: ""Fall prostrate before Adam, "" which they did except Satan who refused; he was too arrogant of a disobedient.",Bijan Moeinian
42,2,35,"Then God said: ""O Adam, live with your wife in Paradise and eat freely every fruit and enjoy every provision but do not approach this given tree (as a test of your obedience. "")",Bijan Moeinian
43,2,36,"But [as it was expected] Adam and Eve fell prey to Satan’s temptation and [lost their as they disobeyed God and thus committed the first sin of the human being. ] Then God said: ""Go down to earth as enemies [a curse and punishment for disobedience.] You will stay there for a while with an appointed provision.""",Bijan Moeinian
44,2,37,"[Out of mercy] Adam received from his Lord some words of supplication. [Once he returned to his Lord with those words of supplication, ] God forgave Adam as He is the most forgiving and merciful.",Bijan Moeinian
45,2,38,"Then I (God) said: ""Get out all of you from the paradise. There will come guidance to you from me. Those who follow my guidance, will have no fear and no grief.",Bijan Moeinian
46,2,39,"""But those who disbelieve and reject My revelations, they will be dwellers of Hell living therein forever. """,Bijan Moeinian
47,2,40,"O’ Children of Israel! Remember how I showered you with My blessings; then fulfill your part of our covenant, that I fulfill My part of it, and respect none with awe but Me.",Bijan Moeinian
48,2,41,Believe in what I have revealed in Qur’an which confirms the Divine source of your own Scriptures. Do not be the first who reject Qur’anic revelations. Do not trade away my revelations for small profits and be at awe with none but Me.,Bijan Moeinian
49,2,42,And do not mix up the truth with lies; nor hide the truth knowingly.,Bijan Moeinian
50,2,43,"Worship Me on regular basis, devote a part of your income to charity, and join those who worship Me by bowing down before me.",Bijan Moeinian
51,2,44,"How is that you invite others to follow the Right path, while forgetting to follow it yourself? And this (hypocrisy) in spite of the fact that you read the Scriptures in which you are ordered to practice the righteousness! [Why are not you consistent?]",Bijan Moeinian
52,2,45,God’s help and salvation is achieved through patience and worship. They are surely difficult tasks but not for those who respect God with an awe.,Bijan Moeinian
53,2,46,The latter are those who firmly believe that at last they will meet with their Lord and that eventually they will return to Him.,Bijan Moeinian
54,2,47,"O’ Children of Israel, remember how I showered you with my blessings and appointed you above all the peoples of the world.",Bijan Moeinian
55,2,48,"Beware of the day that no one can be of help to anyone else, no intercession will be accepted, no ransom can be paid for the guilty one nor is any help available.",Bijan Moeinian
56,2,49,And remember that We saved you from the slavery of Pharaoh’s people who subjected you to the worse persecution. They were killing your sons; sparing your daughters (for their pleasures.) That persecution was the most difficult test imposed upon you by your Lord [so that you may learn valuable lessons through hardship.],Bijan Moeinian
57,2,50,And remember that we saved you by opening the (red) sea and let you pass safely through it while we drowned Pharaoh’s army [who were charging after you] before your very own eyes.,Bijan Moeinian
58,2,51,Also remember the shameful incidence of the time that you took advantage of days’ absence of Moses [while Torah was being revealed to him in Mat. Sinai] and started to worship the statue of a cow as your creator! How unjust of you.,Bijan Moeinian
59,2,52,In spite of committing such a shameful sin I [God] forgave you so that you may become thankful.,Bijan Moeinian
60,2,53,Also remember My favor to you as I gave Moses Scripture and the Criterion [to distinguish between right and wrong] so that you may be guided [to the right path].,Bijan Moeinian
61,2,54,"Also remember that when Moses [returned from Mt. Sinai] said to his people: ""O my people, you have betrayed your souls by worshiping the statue of a cow. Ask your Creator to forgive you and slay the guilty ones among you."" Then God forgave you as He is the one Who accepts repentance and is the most merciful.",Bijan Moeinian
62,2,55,"Then [having an argumentative attitude] you said: ""You know Moses’ we will not believe you unless God directly appears and talk to us!"" At that very moment a thunderbolt struck you all and you died.",Bijan Moeinian
63,2,56,Then I [God] brought you back to life so that you might become grateful for this favor.,Bijan Moeinian
64,2,57,"Remember also when we sent the cloud to cast shadow over you and fed you with <i>manna</i> [falling on the ground like dew-drops] and <i>salva</i> [flying in thousands like quails], saying: ""Eat of these clean and pure provisions. "" All their rebellions did not hurt Us but harmed their own souls.",Bijan Moeinian
65,2,58,"Remember also when I said: ""[Fight with the unjust habitants of Jerusalem, conquer and] Enter into the town [Jerusalem] where you will find as many provisions as you want. Enter the gate (of the town) bowing down with humility invoking God’s name and granting general amnesty (to the inhabitants after the conquest.) Then I will forgive your sins and reward you generously."" [They replied: “Moses, you and your God go fight for us and once you conquer the town we will join you!]”",Bijan Moeinian
66,2,59,"But the unjust among them did not obey God’s commands. Due to their disobedience, We sent down upon them a sever punishment from the sky.",Bijan Moeinian
67,2,60,"I (God) would like to remind you of the occasion when Moses prayed for water for his (thirsty) people. I answered his prayer saying: ""Strike the rock with your staff."" Then springs gushed from the rock; the people of every tribe knew their drinking place.” [Then God said:] “Eat and drink of what God has provided for you and do no evil nor mischief on the earth.",Bijan Moeinian
68,2,61,"Remember [instead of being grateful for receiving <i>mann</i> and <i>salva</i> from heaven] you grumbled: ""O Moses, we can not stand this monotonous food ask “your"" Lord to give us a variety of earthly 11crops such herbs, cucumbers, garlic, lentils, onions [etc]. Moses said: “Do you wish to substitute the worse for the best? Then follow the order of God and go conquer the town [Jerusalem] wherein God will give you whatever you want. [In account of this ungrateful attitude], little by little, God sent upon them his wrath, humiliation and misery. That was the consequence of their disobedience, rejecting God’s revelations and killing God’s Messengers for no good reason.",Bijan Moeinian
69,2,62,"[God’s wrath is sent upon unjust people. ] Rest assured that any Muslim, Jew, Christian or Sabean who believes in God, the Day of Judgment, and does good things will not have fear, grief or sorrow.",Bijan Moeinian
70,2,63,"[O’ Children of Israel;] I would like to remind you more: When I raised Mt. Sinai on top of your head and (while you were at awe) you promised Me that you will carry my order: ""Hold up to the book that I have revealed to you and make it a part of your daily life and refer to it frequently"" so that you may become successful.",Bijan Moeinian
71,2,64,"After that [and in spite of such an impress event] you broke your promise! Nevertheless, I did not deprive you of My grace and mercy. Had I done so, you would have certainly been included among the losers.",Bijan Moeinian
72,2,65,"You know well how some of you disobeyed God’s Sabbatical law (Exodus, 12-17); I told them: ""Be apes, resented by all. """,Bijan Moeinian
73,2,66,"In this manner, I made them an example for God respecting people of their time, as well as for the generations to come",Bijan Moeinian
74,2,67,"[In another incident, ] Moses asked his people to [follow the order of God and to] sacrifice a cow [to put its flesh upon a slaughtered man to bring him to life so that he introduce his killer]. Their response was: ""You are kidding!"" Moses said: “I seek refuge in God from these ignorant people.”",Bijan Moeinian
75,2,68,"They [jokingly] said: ""Ask <u>your</u> Lord what kind of cow it should be. "" Moses responded: “God says that a middle aged cow is good enough. Now that you have your response, follow the Lord’s order.”",Bijan Moeinian
76,2,69,"They [continued sporting and] said: ""Ask <u>your</u> Lord about its color. "" Moses said: “God says that it should be a bright and jazzy yellow colored cow.”",Bijan Moeinian
77,2,70,"They [continued their jokes and] said: ""Ask <u>your</u> Lord to be more specific as there are so many cows with these characteristics! then <u>God willing</u>, we will find it. """,Bijan Moeinian
78,2,71,"Moses said: ""God says that this cow has never been used for plowing the land or watering the crops; an absolutely healthy cow. "" Finally they [realized that they are playing with the fire and] said: “Now we know exactly which cow it is.” Then they sacrificed the cow though still not convinced!",Bijan Moeinian
79,2,72,Remember when you killed a person and then started to accuse each other. It was the will of God to reveal what you were trying to hide.,Bijan Moeinian
80,2,73,I ordered to strike [the victim’s corps] with the flesh of the sacrificed cow. Thus God performed another miracle by bringing a dead person to life so that you may realize [His power and that the resurrection is a fact.],Bijan Moeinian
81,2,74,"In spite of seeing all these miracles [with your own eyes], your heart became as hard as a rock. Your heart became even harder than a rock; after all, there are rocks that are pierced by water and become the source of a spring, being split so that a river pass through and even melt down when they feel the presence of the Lord. Know that [such awesome] God is not unaware of what you are doing.",Bijan Moeinian
82,2,75,"How do you expect these people to join you in belief? These are the same people who listened to the revelations of God, got the message and then, some of them, knowingly altered the words of God [to fit their purposes. ]",Bijan Moeinian
83,2,76,"When they (Jews) meet with the believers they say: ""We believe [in what you believe. ]"" When they get together in private, they say: “Do you not have any sense when you reveal to them what Got has revealed to us? They may present the same proofs against us in front of God.”",Bijan Moeinian
84,2,77,Do they not realize that God is fully aware of what they hide and what they reveal?,Bijan Moeinian
85,2,78,"Then some of them, who are illiterate and have not studied the Scriptures, rely upon false rumors and fabrications [thinking that what they say is written in the Scriptures. ]",Bijan Moeinian
86,2,79,"Shame and pity on the learned ones of them who fabricate some verses and then say: ""These are the words of God. "" They do so in order to make some money. They do not realize that they are digging their own grave with those hands [who fabricate lies against the Lord] and that what their earnings in this manner will lead to their ruins.",Bijan Moeinian
87,2,80,"They say: ""If the Fire of Hell has to touch us, it will be for a short period of time!"" Ask them: “Has God promised this to you? God never breaks His promise. ” Know that their sayings are baseless.",Bijan Moeinian
88,2,81,Indeed the one who commits sins and is surrounded by wrongdoings will find himself in the Hell and has to stay there forever.,Bijan Moeinian
89,2,82,"Those who believe and do good deeds, will end up in the heaven and live there forever.",Bijan Moeinian
90,2,83,"I (God) took a pledge from (you) the children of Israel to worship none but God, be good to your parents, near ones, the orphans and the poor, say good words to people, worship God on regular basis and be charitable. However, except a few, most of you broke your promises and became rebellious.",Bijan Moeinian
91,2,84,I also took a solemn pledge from you that you should not shed your own people’s blood and deport each other from their land. You promised and bore witness.,Bijan Moeinian
92,2,85,"Now here you are: killing each other, driving your own brothers out of their homes and gang up against each other. Even if the other side surrenders, you demand ransom for them in spite of the fact that the aggression against them was wrong at first place. You believe in a part of your book and disregard the other! What other punishment such people deserve except a miserable life in this world and a sever punishment in Hereafter. God is not unaware of what you do.",Bijan Moeinian
93,2,86,These are the people who have sold their [everlasting] Hereafter for [a small price of a few day of] this world. I will certainly not reduce their sentence and they will not find anyone to help them.,Bijan Moeinian
94,2,87,"I gave the Scriptures to Moses and send many prophets after him. I strengthened [the position of] Jesus, son of Mary [the last prophet sent to the Jews] by many miracles and supported him with the Holy Spirit. What a shame that when a prophet came to you, and relayed those Messages of Mine that you did not like, you showed arrogance; some of them you denied and some of them you killed!",Bijan Moeinian
95,2,88,"They say: ""Our minds are made up (and nothing can change our beliefs. ) The fact of the matter is they are cursed by God [in account of their disbelief] and only a few will [be blessed with the faculty of accepting the belief and] believe.",Bijan Moeinian
96,2,89,"Now that God has sent them this Book, which confirms their Scriptures, they deny it! Are these not the same people who were praying for a mean of victory over the disbelievers? Yet when it was sent to them, they recognized it and chose to disbelieve in it! The disbelievers are cursed by God.",Bijan Moeinian
97,2,90,What a shame when someone decides to sell his own soul by choosing to disbelieve in the guidance sent by God; and what for? That God has [not revealed it to whom they wished and that He has] revealed it to the one that He has chosen out of His Grace! In this way they have earned curse upon curse and there is an awful punishment in reserve for the disbelievers.,Bijan Moeinian
98,2,91,"When they are told: ""Believe in what God has sent to you, "" they reply: “We [choose to] believe only in what is revealed to us (the prophets of our own race) and deny any [additional] revelations. ” This in spite of the fact that it is the truth; confirming what is with them. If it is so, ask them: “Then how come you killed the prophets of God who were chosen from among yourselves, if you consider yourselves as believers?”",Bijan Moeinian
99,2,92,Moses came with such undeniable miracles (such as splitting the sea that you witnessed yourselves); then you chose to worship a cow! How unjust of you.,Bijan Moeinian
100,2,93,"I took a solemn pledge from you while raising the Mount Sinai over your heads: ""Follow my revelations to the point and be obedient. "" They promised to believe but they rebelled. They were such phonies that they worshipped a cow! Tell them (O Mohammad): “If yours is belief, it is indeed a strange belief that makes you to do such evil things.”",Bijan Moeinian
101,2,94,"Tell them [the Jews]: ""If you sincerely believe that the Paradise of God is reserved only for you (who claim to be the chosen people), then ask for death (so that you go directly to the Paradise and get rid of this miserable earthly life. )""",Bijan Moeinian
102,2,95,But they will never make such a prayer as they are well aware of their disobediences. God is well aware of what the evil doers are up to.,Bijan Moeinian
103,2,96,"You (Mohammad) will find them (the Jews), of all the people, the most in love with this worldly life. They are in love with this world even more than the idol worshippers are in love with. They all wish to be given a thousand years life. [What they do not realize is that] Even if their wish is granted, they can not escape the punishment of God as He observes what they are doing.",Bijan Moeinian
104,2,97,"Say: ""Anyone who resents (makes fun of) Angel Gabriel should know that [this high ranked Angel has a unique position as] he is commissioned to reveal the words of God (Qur’an) to you. Qur’an confirms the (original) Scriptures, provides guidance and gives you the good news [of the continuation of life after death in Paradise] for the believers.",Bijan Moeinian
105,2,98,"Those who show animosity toward God, His messengers, His Angels [in general] and Angel Gabriel and Angel Michael should know that God is their enemy.",Bijan Moeinian
106,2,99,Indeed I (God) have revealed to you the most convincing verses. Only the low lives will oppose My revelations.,Bijan Moeinian
107,2,100,"It is amazing how, after having made a pledge (with God), most of them disregard it. [This clearly indicated that] Most of them are disbelievers [although they pretend to be the believers.]",Bijan Moeinian
108,2,101,"Now that a Messenger of God has come to them, who confirms what is with them (the original Scriptures), a group of the people of the Scriptures (Jews and Christians) choose to deny him. By doing so, they deny their own Scriptures",Bijan Moeinian
