sira,sure,ayet,metin,hoca
1,1,1,Bismillahirrahmanirrahim.,Diyanet İşleri
2,1,2,"(2-4) Hamd, Alemlerin Rabbi, Rahman, Rahim, hesap ve ceza gününün (ahiret gününün) maliki Allah'a mahsustur.",Diyanet İşleri
3,1,3,"(2-4) Hamd, Alemlerin Rabbi, Rahman, Rahim, hesap ve ceza gününün (ahiret gününün) maliki Allah'a mahsustur.",Diyanet İşleri
4,1,4,"(2-4) Hamd, Alemlerin Rabbi, Rahman, Rahim, hesap ve ceza gününün (ahiret gününün) maliki Allah'a mahsustur.",Diyanet İşleri
5,1,5,(Allahım!) Yalnız sana ibadet ederiz ve yalnız senden yardım dileriz.,Diyanet İşleri
6,1,6,"(6-7) Bizi doğru yola, kendilerine nimet verdiklerinin yoluna ilet; gazaba uğrayanlarınkine ve sapıklarınkine değil.",Diyanet İşleri
7,1,7,"(6-7) Bizi doğru yola, kendilerine nimet verdiklerinin yoluna ilet; gazaba uğrayanlarınkine ve sapıklarınkine değil.",Diyanet İşleri
8,2,1,Elif Lam Mim.,Diyanet İşleri
9,2,2,"Bu, kendisinde şüphe olmayan kitaptır. Allah'a karşı gelmekten sakınanlar için yol göstericidir.",Diyanet İşleri
10,2,3,"Onlar gaybe inanırlar, namazı dosdoğru kılarlar, kendilerine rızık olarak verdiğimizden de Allah yolunda harcarlar.",Diyanet İşleri
11,2,4,"Onlar sana indirilene de, senden önce indirilenlere de inanırlar. Ahirete de kesin olarak inanırlar.",Diyanet İşleri
12,2,5,İşte onlar Rab'lerinden (gelen) bir doğru yol üzeredirler ve kurtuluşa erenler de işte onlardır.,Diyanet İşleri
13,2,6,"Küfre saplananlara gelince, onları uyarsan da, uyarmasan da, onlar için birdir, inanmazlar.",Diyanet İşleri
14,2,7,"Allah, onların kalplerini ve kulaklarını mühürlemiştir. Gözleri üzerinde de bir perde vardır. Onlar için büyük bir azap vardır.",Diyanet İşleri
15,2,8,"İnsanlardan, inanmadıkları halde, ""Allah'a ve ahiret gününe inandık"" diyenler de vardır.",Diyanet İşleri
16,2,9,Bunlar Allah'ı ve mü'minleri aldatmaya çalışırlar. Oysa sadece kendilerini aldatırlar da farkında değillerdir.,Diyanet İşleri
17,2,10,Kalplerinde münafıklıktan kaynaklanan bir hastalık vardır. Allah da onların hastalıklarını artırmıştır. Söyledikleri yalana karşılık da onlara elem dolu bir azap vardır.,Diyanet İşleri
18,2,11,"Bunlara, ""Yeryüzünde fesat çıkarmayın"" denildiğinde, ""Biz ancak ıslah edicileriz!"" derler.",Diyanet İşleri
19,2,12,"İyi bilin ki, onlar bozguncuların ta kendileridir. Fakat farkında değillerdir.",Diyanet İşleri
20,2,13,"Onlara, ""İnsanların inandıkları gibi siz de inanın"" denildiğinde ise, ""Biz de akılsızlar gibi iman mı edelim?"" derler. İyi bilin ki, asıl akılsızlar kendileridir, fakat bilmezler.",Diyanet İşleri
21,2,14,"İman edenlerle karşılaştıkları zaman, ""İnandık"" derler. Fakat şeytanlarıyla (münafık dostlarıyla) yalnız kaldıkları zaman, ""Şüphesiz, biz sizinle beraberiz. Biz ancak onlarla alay ediyoruz"" derler.",Diyanet İşleri
22,2,15,Gerçekte Allah onlarla alay eder (alaylarından dolayı onları cezalandırır); azgınlıkları içinde bocalayıp dururlarken onlara mühlet verir.,Diyanet İşleri
23,2,16,"İşte onlar, hidayete karşılık sapıklığı satın almış kimselerdir. Bu yüzden alışverişleri onlara kar getirmemiş ve (sonuçta) doğru yolu bulamamışlardır.",Diyanet İşleri
24,2,17,"Onların durumu, (geceleyin) ateş yakan kimsenin durumuna benzer: Ateş tam çevresini aydınlattığı sırada Allah ışıklarını yok ediverir de onları göremez bir şekilde karanlıklar içinde bırakıverir.",Diyanet İşleri
25,2,18,"Onlar, sağırdırlar, dilsizdirler, kördürler. Artık (hakka) dönmezler.",Diyanet İşleri
26,2,19,"Yahut onların durumu, gökten yoğun karanlıklar içinde gök gürültüsü ve şimşekle sağanak halinde boşanan yağmura tutulmuş kimselerin durumu gibidir. Ölüm korkusuyla, yıldırım seslerinden parmaklarını kulaklarına tıkarlar. Oysa Allah, kafirleri çepeçevre kuşatmıştır.",Diyanet İşleri
27,2,20,"Şimşek neredeyse gözlerini alıverecek. Önlerini her aydınlatışında ışığında yürürler. Karanlık çökünce dikilip kalırlar. Allah dileseydi, elbette onların işitme ve görme duyularını giderirdi. Şüphesiz Allah, her şeye hakkıyla gücü yetendir.",Diyanet İşleri
28,2,21,"Ey insanlar! Sizi ve sizden öncekileri yaratan Rabbinize ibadet edin ki, Allah'a karşı gelmekten sakınasınız.",Diyanet İşleri
29,2,22,"O, yeri sizin için döşek, göğü de bina yapan, gökten su indirip onunla size rızık olarak çeşitli ürünler çıkarandır. Öyleyse siz de bile bile Allah'a ortaklar koşmayın.",Diyanet İşleri
30,2,23,"Eğer kulumuza (Muhammed'e) indirdiğimiz (Kur'an) hakkında şüphede iseniz, haydin onun benzeri bir sure getirin ve eğer doğru söyleyenler iseniz, Allah'tan başka şahitlerinizi çağırın (ve bunu ispat edin).",Diyanet İşleri
31,2,24,"Eğer, yapamazsanız -ki hiçbir zaman yapamayacaksınız- o halde yakıtı insanlarla taşlar olan ateşten sakının. O ateş kafirler için hazırlanmıştır.",Diyanet İşleri
32,2,25,"İman edip salih ameller işleyenlere, kendileri için; içinden ırmaklar akan cennetler olduğunu müjdele. Cennetlerin meyvelerinden kendilerine her rızık verilişinde, ""Bu (tıpkı) daha önce (dünyada iken) bize verilen rızık!"" diyecekler. Halbuki bu rızık onlara (dünyadakine) benzer olarak verilmiştir. Onlar için orada tertemiz eşler de vardır. Onlar orada ebedi kalacaklardır.",Diyanet İşleri
33,2,26,"Allah, bir sivrisineği, ondan daha da ötesi bir varlığı örnek olarak vermekten çekinmez. İman edenler onun, Rablerinden (gelen) bir gerçek olduğunu bilirler. Küfre saplananlar ise, ""Allah, örnek olarak bununla neyi kastetmiştir?"" derler. (Allah) onunla birçoklarını saptırır, birçoklarını da doğru yola iletir. Onunla ancak fasıkları saptırır.",Diyanet İşleri
34,2,27,"Onlar, Allah'a verdikleri sözü, pekiştirilmesinden sonra bozan, Allah'ın korunmasını emrettiği bağları (iman, akrabalık, beşeri ve ahlaki bütün ilişkileri) koparan ve yeryüzünde bozgunculuk yapan kimselerdir. İşte onlar ziyana uğrayanların ta kendileridir.",Diyanet İşleri
35,2,28,"Siz cansız (henüz yok) iken sizi dirilten (dünyaya getiren) Allah'ı nasıl inkar ediyorsunuz? Sonra sizleri öldürecek, sonra yine diriltecektir. En sonunda O'na döndürüleceksiniz.",Diyanet İşleri
36,2,29,"O, yeryüzünde olanların hepsini sizin için yaratan, sonra göğe yönelip onları yedi gök halinde düzenleyendir. O, her şeyi hakkıyla bilendir.",Diyanet İşleri
37,2,30,"Hani, Rabbin meleklere, ""Ben yeryüzünde bir halife yaratacağım"" demişti. Onlar, ""Orada bozgunculuk yapacak, kan dökecek birini mi yaratacaksın? Oysa biz sana hamdederek daima seni tesbih ve takdis ediyoruz."" demişler. Allah da, ""Ben sizin bilmediğinizi bilirim"" demişti.",Diyanet İşleri
38,2,31,"Allah, Adem'e bütün varlıkların isimlerini öğretti. Sonra onları meleklere göstererek, ""Eğer doğru söyleyenler iseniz, haydi bana bunların isimlerini bildirin"" dedi.",Diyanet İşleri
39,2,32,"Melekler, ""Seni bütün eksikliklerden uzak tutarız. Senin bize öğrettiklerinden başka bizim hiçbir bilgimiz yoktur. Şüphesiz her şeyi hakkıyla bilen, her şeyi hikmetle yapan sensin"" dediler.",Diyanet İşleri
40,2,33,"Allah, şöyle dedi: ""Ey Adem! Onlara bunların isimlerini söyle."" Adem, meleklere onların isimlerini bildirince Allah, ""Size, göklerin ve yerin gaybını şüphesiz ki ben bilirim, yine açığa vurduklarınızı da, gizli tuttuklarınızı da ben bilirim demedim mi?"" dedi.",Diyanet İşleri
41,2,34,"Hani meleklere, ""Adem için saygı ile eğilin"" demiştik de İblis hariç bütün melekler hemen saygı ile eğilmişler, İblis (bundan) kaçınmış, büyüklük taslamış ve kafirlerden olmuştu.",Diyanet İşleri
42,2,35,"Dedik ki: ""Ey Adem! Sen ve eşin cennete yerleşin. Orada dilediğiniz gibi bol bol yiyin, ama şu ağaca yaklaşmayın, yoksa zalimlerden olursunuz.""",Diyanet İşleri
