sira,sure,ayet,metin,hoca
1,1,1,"In the name of God, the Gracious, the Compassionate.",Edip-Layth
2,1,2,"Praise is to God, Lord of the worlds.",Edip-Layth
3,1,3,"The Gracious, the Compassionate.",Edip-Layth
4,1,4,Master of the day of judgment.,Edip-Layth
5,1,5,You alone we serve; you alone we ask for help.,Edip-Layth
6,1,6,Guide us to the straight way;,Edip-Layth
7,1,7,"the way of those whom you blessed; not of those who received anger, nor of the strayers.",Edip-Layth
8,2,1,A1L30M40,Edip-Layth
9,2,2,"This is the book in which there is no doubt, a guide for the conscientious.",Edip-Layth
10,2,3,"Those who acknowledge the unseen, and observe the contact prayer (sala), and from Our provisions to them, they spend.",Edip-Layth
11,2,4,"Those who acknowledge what was sent down to you, and what was sent down before you, and regarding the Hereafter they are certain.",Edip-Layth
12,2,5,"These are the ones guided by their Lord, and these are the winners.",Edip-Layth
13,2,6,"As for those who do not appreciate, whether you warn them or do not warn them, they will not acknowledge.",Edip-Layth
14,2,7,God has sealed their hearts and their ears; and over their eyes are covers. They will incur a great retribution.,Edip-Layth
15,2,8,"Among the people are those who say, ""We acknowledge God and the Last day,"" but they do not acknowledge.",Edip-Layth
16,2,9,"They seek to deceive God and those who acknowledge, but they only deceive themselves without noticing.",Edip-Layth
17,2,10,"In their hearts is a disease, so God increases their disease, and they will have a painful retribution for what they have denied.",Edip-Layth
18,2,11,"If they are told ""Do not make evil in the land,"" they say, ""But we are the reformers!""",Edip-Layth
19,2,12,"No, they are the evildoers, but they do not perceive.",Edip-Layth
20,2,13,"If they are told, ""acknowledge as the people have acknowledged,"" they say, ""Shall we acknowledge as the fools have acknowledged?"" No, they are the fools but they do not know.",Edip-Layth
21,2,14,"If they come across those who have acknowledged, they say, ""We acknowledge,"" and when they are alone with their devils they say, ""We are with you, we were only mocking.""",Edip-Layth
22,2,15,"God mocks them, and leaves them prolonged in their transgression.",Edip-Layth
23,2,16,"These are those who have purchased straying for guidance; their trade did not profit them, nor were they guided.",Edip-Layth
24,2,17,"Their example is like one who lights a fire, so when it illuminates what is around him, God takes away his light and leaves him in the darkness not seeing.",Edip-Layth
25,2,18,"Deaf, dumb, and blind, they will not revert.",Edip-Layth
26,2,19,"Or like a storm from the sky, in it are darkness, thunder, and lightning. They place their fingers in their ears from stunning noises out of fear of death; and God is aware of the ingrates.",Edip-Layth
27,2,20,"The lightning nearly snatches away their sight, whenever it lights the path, they walk in it, and when it becomes dark for them, they stand. Had God willed, He would have taken away their hearing and their sight. God is capable of all things.",Edip-Layth
28,2,21,"O people, serve your Lord who has created you and those before you that you may be conscientious.",Edip-Layth
29,2,22,"The One who made the land a habitat, and the sky a structure, and He sent down from the sky water with which He brought out fruit as a provision for you. So do not make any equals with God while you now know.",Edip-Layth
30,2,23,"If you are in doubt as to what We have sent down to Our servant, then bring a chapter like this, and call upon your witnesses other than God if you are truthful.",Edip-Layth
31,2,24,If you cannot do this -- and you will not be able to do this -- then beware of the fire whose fuel is people and stones; it has been prepared for the ingrates.,Edip-Layth
32,2,25,"Give good news to those who acknowledge and promote reforms, that they will have gardens with rivers flowing beneath. Every time they receive of its fruit, they say, ""This is what we have been provisioned before,"" and they are given its likeness/allegories. Moreover, there they will have pure spouses, and there they will abide.",Edip-Layth
33,2,26,"God does not shy away from citing the example of a mosquito, or anything above it. As for those who acknowledge, they know that it is the truth from their Lord. As for the unappreciative, they say, ""What does God want with this example?"" He lets many stray by it, and He guides many, but He only lets stray the evildoers.",Edip-Layth
34,2,27,"The ones who break their pledge to God after making the covenant, and they sever what God had ordered to be joined. Moreover, they make corruption on earth; these are the losers.",Edip-Layth
35,2,28,"How can you not appreciate God when you were dead and He brought you to life? Then He makes you die, then He brings you to life, then to Him you return.",Edip-Layth
36,2,29,"He is the One who created for you all that is in the earth. Moroever, He attended to the universe and made it seven heavens, and He is aware of all things.",Edip-Layth
37,2,30,"Your Lord said to the controllers, ""I am placing a successor on earth."" They said, ""Would You place in it he who would corrupt it, and shed blood, while we sing Your glory, and praise You?"" He said, ""I know what you do not know.""",Edip-Layth
38,2,31,"He taught Adam the description of all things, and then He displayed them to the controllers and said, ""Inform Me the descriptions of these things if you are truthful.""",Edip-Layth
39,2,32,"They said, ""Glory be to You, we have no knowledge except what You have taught us, You are the Knowledgeable, the Wise.""",Edip-Layth
40,2,33,"He said, ""O Adam, inform them of the descriptions of these."" When he informed them of their descriptions, He said, ""Did I not tell you that I know the unseen of the heavens and the earth, and that I know what you reveal and what you were hiding?""",Edip-Layth
41,2,34,"We said to the controllers, ""Submit to Adam,"" so they submitted except for the Despaired, he refused and became arrogant, and became of the ingrates.",Edip-Layth
42,2,35,"We said, ""O Adam, reside you and your mate in the paradise, and eat from it bountifully as you both wish, and do not approach this tree, else you will be of those who did wrong.""",Edip-Layth
43,2,36,"So, the devil tricked both and he brought both of them out from what they were in, and We said, ""Descend, you are all enemies of one another. In the land shall be stability for you and luxury for a while.""",Edip-Layth
44,2,37,"Adam then received words from His Lord, so He forgave him; He is the Forgiver, the Compassionate.",Edip-Layth
45,2,38,"We said, ""Descend from it all of you, so when the guidance comes from Me, then whoever follows My guidance, they will have nothing to fear, nor will they grieve.""",Edip-Layth
46,2,39,"Those who do not appreciate and deny Our signs, they are the dwellers of fire, in it they will abide.",Edip-Layth
47,2,40,"O Children of Israel, remember My blessings that I had blessed you with, and fulfill your pledge to Me that I may fulfill My pledge to you, and revere Me alone.",Edip-Layth
48,2,41,"Acknowledge what I have sent down, authenticating what is already with you, and do not be the first to reject it! Moreover, do not purchase with My signs a cheap gain; and of Me you shall be conscientious.",Edip-Layth
49,2,42,"Do not obscure the truth with falsehood, nor keep the truth secret while you know.",Edip-Layth
50,2,43,"Observe the Contact prayer, and contribute towards betterment, and bow with those who bow.",Edip-Layth
51,2,44,"Do you order the people to do goodness, but forget yourselves, while you are reciting the book? Do you not reason?",Edip-Layth
52,2,45,"Seek help through patience, and the Contact prayer. It is a difficult thing, but not so for the humble.",Edip-Layth
53,2,46,The ones who conceive that they will meet their Lord and that to Him they will return.,Edip-Layth
54,2,47,"O Children of Israel, remember My blessings that I had blessed you with, and that I had preferred you to all the worlds!",Edip-Layth
55,2,48,"Beware of a day where no person can avail another person, nor will any intercession be accepted from it, nor will any ransom be taken, nor will they have supporters.",Edip-Layth
56,2,49,"We saved you from the people of Pharaoh; they were punishing you with severe retribution, killing your children, and shaming your women. In that was a great trial from your Lord.",Edip-Layth
57,2,50,"We parted the sea for you, thus We saved you and drowned the people of Pharaoh while you were watching.",Edip-Layth
58,2,51,"We appointed a meeting time for Moses of forty nights, but then you took the calf after him while you were wicked.",Edip-Layth
59,2,52,Then We forgave you after so that perhaps you would be thankful.,Edip-Layth
60,2,53,We gave Moses the book and the criterion so that perhaps you would be guided.,Edip-Layth
61,2,54,"Moses said to his people, ""O my people, you have wronged yourselves by taking the calf, so repent to your Maker, and face yourselves. That is better for you with your Maker, so He would forgive you. He is the Forgiving, the Compassionate.""",Edip-Layth
62,2,55,"When you said, ""O Moses, we will not acknowledge you until we see God openly!"" the lightning bolt took you while you were still staring.",Edip-Layth
63,2,56,Then We resurrected you after your death that you may be appreciative.,Edip-Layth
64,2,57,"We shaded you with clouds, and sent down to you manna and quails, ""Eat from the goodness of the provisions We have provided you."" They did not wrong Us, but they wronged themselves.",Edip-Layth
65,2,58,"We said, ""Enter this town, and eat from it as plentifully as you wish; and enter the gate humbly, and talk amicably, We will then forgive your mistakes, and We will increase for the good-doers.""",Edip-Layth
66,2,59,"But the wicked altered what was said to them into a different saying, thus We sent down upon the wicked an affliction from the sky because they had transgressed.",Edip-Layth
67,2,60,"Moses was seeking water for his people, so We said, ""Strike the rock with your staff."" Thus, twelve springs burst out of it; each tribe then knew from where to drink. ""Eat and drink from God's provisions, and do not roam the earth as corruptors.""",Edip-Layth
68,2,61,"You said, ""O Moses, we will not be patient to one type of food, so call for us your Lord that He may bring forth what the earth grows of its beans, cucumbers, garlic, lentils, and onions."" He said, ""Would you trade what is lowly with what is good?"" Descend to Egypt, there you will find what you want. They were thus stricken with humiliation and disgrace, and they remained under God's wrath for they were not appreciating God's signs, and killing the prophets with no justification. This is for what they have disobeyed and transgressed.",Edip-Layth
69,2,62,"Surely those who acknowledge, and those who are Jewish, and the Nazarenes, and those who follow other religions, any one of them who acknowledge God and the Last day, and promote reforms, they will have their reward with their Lord, with no fear over them, nor will they grieve.",Edip-Layth
70,2,63,"We took your covenant, and raised the mount above you, ""Take what We have given you with strength, and remember what is in it that you may be conscientious.""",Edip-Layth
71,2,64,"Then you turned away after this. Had it not been for God's favor upon you and His mercy, you would have been of the losers.",Edip-Layth
72,2,65,"You have come to know who it was amongst you that transgressed the Sabbath, We said to them, ""Be despicable apes!""",Edip-Layth
73,2,66,"We did this as a punishment for what they had done on it and afterwards, and a reminder to the righteous.",Edip-Layth
74,2,67,"Moses said to his people, ""God orders you to slaughter a heifer."" They said, ""Do you mock us?"" He said, ""I seek refuge with God lest I be of the ignorant ones.""",Edip-Layth
75,2,68,"They said, ""Call upon your Lord for us that He may clarify which it is."" He said, ""He says it is a heifer neither too old nor too young, an age between that. So now do as you are commanded.""",Edip-Layth
76,2,69,"They said, ""Call upon your Lord for us that He may clarify what color it is."" He said, ""He says it is a yellow heifer with a bright color, pleasing to those who see it.""",Edip-Layth
77,2,70,"They said, ""Call upon your Lord for us that He may clarify which one it is, for the heifers all look alike to us and we will, God willing, be guided.""",Edip-Layth
78,2,71,"He said, ""He says it is a heifer which was never subjugated to plough the land, or water the crops, free from any blemish."" They said, ""Now you have come with the truth."" They slaughtered it, though they had nearly not done so.",Edip-Layth
