sira,sure,ayet,metin,hoca
1,1,1,Rahman ve Rahim olan Allah'ın adıyla.,Elmalılı (sadeleştirilmiş)
2,1,2,"Hamd o alemlerin Rabbi,",Elmalılı (sadeleştirilmiş)
3,1,3,"O Rahman, Rahim,",Elmalılı (sadeleştirilmiş)
4,1,4,O din gününün maliki Allah'ın!,Elmalılı (sadeleştirilmiş)
5,1,5,"Sade Sana ederiz kulluğu, ibadeti; sade Senden dileriz yardımı, inayeti Yarab!",Elmalılı (sadeleştirilmiş)
6,1,6,Hidayet eyle bizi doğru yola!,Elmalılı (sadeleştirilmiş)
7,1,7,O kendilerine nimet verdiğin mesutların yoluna! Ne o gazap olunanların ne de sapkınların!,Elmalılı (sadeleştirilmiş)
8,2,1,"Elif, Lam, Mim.",Elmalılı (sadeleştirilmiş)
9,2,2,"İşte o Kitap, bunda şüphe yok; korunacaklar için hidayetin ta kendisi.",Elmalılı (sadeleştirilmiş)
10,2,3,"Onlar ki, gayba iman edip namazı dürüst kılarlar, kendilerine rızık olarak verdiğimiz şeylerden infak ederler.",Elmalılı (sadeleştirilmiş)
11,2,4,"Ve onlar ki, hem sana indirilene iman ederler, hem senden evvel indirilene. Ahirete kesin inancı da bunlar edinirler.",Elmalılı (sadeleştirilmiş)
12,2,5,Bunlar işte Rablerinden bir hidayet üzerindedir ve bunlar işte o murada eren kurtulmuşlar.,Elmalılı (sadeleştirilmiş)
13,2,6,"Küfre saplananlara gelince, onları uyarsan da uyarmasan da onlarca aynıdır. İman etmezler.",Elmalılı (sadeleştirilmiş)
14,2,7,"Allah, kalplerini ve kulaklarını mühürlemiş; gözlerine de bir perde inmiştir. Bunların hakkı pek büyük bir azaptır.",Elmalılı (sadeleştirilmiş)
15,2,8,"İnsanların içinde kimi de vardır ki: ""Allah'a ve ahiret gününe inandık"" derler; halbuki iman etmiş değillerdir.",Elmalılı (sadeleştirilmiş)
16,2,9,Allah'ı ve müminleri aldatmaya çalışırlar. Halbuki sadece kendilerini aldatırlar da farkına varmazlar.,Elmalılı (sadeleştirilmiş)
17,2,10,Kalplerinde bir hastalık vardır. Allah hastalıklarını artırmıştır ve yalancılık ettikleri için bunlara pek acı bir azap vardır.,Elmalılı (sadeleştirilmiş)
18,2,11,"Onlara: ""Yeryüzünde bozgunculuk yapmayın!"" denildiği zaman: ""Biz ancak düzelticileriz"" derler.",Elmalılı (sadeleştirilmiş)
19,2,12,Ha! Doğrusu bunlar ortalığı karıştıranlardır. Fakat şuurları olmadığından farkında değillerdir.,Elmalılı (sadeleştirilmiş)
20,2,13,"Yine bunlara: ""İnsanların inandıkları gibi inanın."" dendiği zaman: ""Biz de o budalaların inandıkları gibi mi inanalım?"" derler. Doğrusu budala kendileridir, fakat bilmezler.",Elmalılı (sadeleştirilmiş)
