sira,sure,ayet,metin,hoca
1,1,1,"Rahman, Rahim Allahın ismiyle",Elmalılı Hamdi Yazır
2,1,2,"Hamd, o rabbialemin,",Elmalılı Hamdi Yazır
3,1,3,"o rahman, rahim,",Elmalılı Hamdi Yazır
4,1,4,o din gününün maliki Allah'ın.,Elmalılı Hamdi Yazır
5,1,5,"Sade sana ederiz kulluğu, ibadeti ve sade senden dileriz avni, inayeti yarab!",Elmalılı Hamdi Yazır
6,1,6,Hidayet eyle bizi doğru yola,Elmalılı Hamdi Yazır
7,1,7,O kendilerine in'am ettiğin mes'utların yoluna. Ne o gadap olunanların ne de sapgınların,Elmalılı Hamdi Yazır
8,2,1,"Elif, Lam, Mim.",Elmalılı Hamdi Yazır
9,2,2,"İşte o kitap, bunda şüphe yok, ayni hidayet, korunacaklar için",Elmalılı Hamdi Yazır
10,2,3,Onlar ki gaybe iman edip namazı dürüst kılarlar ve kendilerine merzuk kıldığımız şeylerden infak ederler.,Elmalılı Hamdi Yazır
11,2,4,"Ve onlar ki hem sana indirilene iman ederler hem senden evvel indirilene, ahırete yakini de bunlar edinirler.",Elmalılı Hamdi Yazır
12,2,5,Bunlar işte rablarından bir hidayet üzerindedir ve bunlar işte bunlar o murada eren müflihin,Elmalılı Hamdi Yazır
13,2,6,"Amma o küfre saplananlar, ha inzar etmişin bunları ha etmemişin onlarca müsavidir, imana gelmezler",Elmalılı Hamdi Yazır
14,2,7,Allah kalblerini ve kulaklarını mühürlemiş ve gözlerine bir perde inmiştir ve bunların hakkı azim bir azaptır,Elmalılı Hamdi Yazır
15,2,8,İnsanlar içinden kimisi de vardır ki Allaha ve son güne iman ettik derler de mü'min değillerdir,Elmalılı Hamdi Yazır
16,2,9,"Allahı ve mü'minleri aldatmağa çalışırlar, halbuki sırf kendilerini aldatırlar da farkına varamazlar",Elmalılı Hamdi Yazır
17,2,10,"Kalblerinde bir maraz vardır da Allah marazlarını artırmıştır, ve yalancılık ettikleri için bunlara elim bir azab vardır",Elmalılı Hamdi Yazır
18,2,11,Hem bunlara yer yüzünü fesada vermeyin denildiği zaman biz ancak ıslahcılarız derler,Elmalılı Hamdi Yazır
19,2,12,Ha! Doğrusu bunlar ortalığı ifsat edenlerdir bunlar lakin şuurları yok farkında değillerdir,Elmalılı Hamdi Yazır
20,2,13,"Yine bunlara nasın iman ettiği gibi iman edin denildiği zaman ""ya biz o süfehanın iman ettikleri gibi mi iman ederiz?"" derler, ha doğrusu süfeha kendileridir ve lakin bilmezler",Elmalılı Hamdi Yazır
21,2,14,"Bir de iman edenlerle karşılaştılar mı ""amenna"" derler ve kendi şeytanları ile halvet oldular mı ""emin olun derler, biz sizinle beraberiz, biz ancak mütehziyiz""",Elmalılı Hamdi Yazır
22,2,15,Allah onlarla istihza ediyor da tuğyanları içinde bocalarlarken kendilerini sürüklüyor,Elmalılı Hamdi Yazır
23,2,16,bunlar işte öyle kimselerdir ki hidayet bedeline dalaleti satın almışlardır da ticaretleri kar etmemiştir yolunu tutmuş da değillerdir.,Elmalılı Hamdi Yazır
24,2,17,"bunların meseli şunun meseline benzer ki bir ateş yakmak istedi, vakta ki çevresindekileri aydınlattı, tam o sırada Allah nurlarını gideriverip kendilerini zulmetler içinde bıraktı, artık bunlar görmezler",Elmalılı Hamdi Yazır
25,2,18,"sağırdırlar, dilsizdirler, kördürler, artık bunlar dönmezler",Elmalılı Hamdi Yazır
26,2,19,"yahut semadan boşanan bir yağmur hali gibidir ki onda karanlıklar var, bir gürleme, bir şimşek var, yıldırımlardan ölüm korkusiyle parmaklarını kulaklarına tıkıyorlar, ve Allah kafirleri kuşatmıştır",Elmalılı Hamdi Yazır
27,2,20,"Şimşek nerede ise gözlerini kapıverecek önlerini aydınlattımı ışığında yürüyorlar, karanlık üzerlerine çöktü mü dikilip kalıyorlar, Allah dilemiş olsa idi elbet işitmelerini görmelerini de alıverirdi, şüphe yok ki Allah her şeye kadir, daima kadirdir",Elmalılı Hamdi Yazır
