sira,sure,ayet,metin,hoca
1,1,1,Rahmeti Bol ve Kesintisiz Olan Allah'ın Adıyla.,Erhan Aktaş
2,1,2,Övülmeye değer olan yalnızca Alemlerin Rabb'i Allah'tır.,Erhan Aktaş
3,1,3,O'nun Rahmeti Bol ve Kesintisizdir.,Erhan Aktaş
4,1,4,"O, Hesap Günü'nün sahibidir.",Erhan Aktaş
5,1,5,Yalnız Sana kulluk eder ve yalnız Sen'den yardım dileriz.[1],Erhan Aktaş
6,1,6,Bize doğru yolu göster;,Erhan Aktaş
7,1,7,Nimet verdiklerinin yolunu. Gazabına uğrayanların ve sapkınların yolunu değil.,Erhan Aktaş
8,2,1,Elif. Lam. Mim[1].,Erhan Aktaş
9,2,2,"Bu Kitap, mutlak gerçeğin ta kendisidir. O, muttakiler[1] için hidayettir.[2]",Erhan Aktaş
10,2,3,"Onlar; gayba[1] iman ederler, salatı ikame ederler[2] ve verdiğimiz rızıktan infak[3] ederler.",Erhan Aktaş
11,2,4,"Onlar, sana indirilene ve senden önce indirilmiş olanlara iman ederler. Ve onlar, ahirete de kesin olarak iman ederler.",Erhan Aktaş
12,2,5,"Onlar, Rabb'lerinden bir hidayet üzerindedirler. Kurtuluşa erenler onlardır.",Erhan Aktaş
13,2,6,"Şu bir gerçektir ki: Kafirleri[1] uyarsan da, uyarmasan da onlar için birdir; iman etmezler.",Erhan Aktaş
14,2,7,"Allah, onların[1] kalplerini[2] ve kulaklarını mühürlemiştir. Onların gözlerinde perde vardır. Onları büyük bir azap beklemektedir.",Erhan Aktaş
15,2,8,"Kimi insanlar, iman etmedikleri halde, Allah'a ve ahiret gününe iman ettiklerini söylerler.",Erhan Aktaş
16,2,9,"Onlar[1], Allah'ı ve iman edenleri aldatmaya çalışıyorlar. Oysa sadece kendilerini aldatıyorlar da bunun ayırdında değiller.",Erhan Aktaş
17,2,10,Onların[1] kalplerinde hastalık[2] vardır. Allah da bu hastalıklarını arttırmıştır. Bu yalancılıklarından dolayı onlara can yakıcı bir azap vardır.,Erhan Aktaş
18,2,11,"Onlara[1], ""Yeryüzünde bozgunculuk yapmayın."" denildiğinde, ""Biz ancak düzelticileriz."" derler.",Erhan Aktaş
19,2,12,"İyi bilin ki, onlar bozguncuların ta kendileridir. Fakat bunun ayırdında değiller.",Erhan Aktaş
20,2,13,"Ne zaman onlara, ""İman eden kimseler gibi iman edin."" dense, ""Biz, hiç aklı ermeyenler gibi iman eder miyiz?"" derler. İyi bilin ki asıl aklı ermeyenler onlardır; fakat bunun ayırdında değiller.",Erhan Aktaş
21,2,14,"İman edenlerle karşılaştıkları zaman: ""İnandık."" derler.[1] Şeytanları[2] ile baş başa kaldıkları zaman, ""Biz, sizinle beraberiz; onlarla sadece alay ediyoruz."" derler.",Erhan Aktaş
22,2,15,Allah da onları alay konusu yapar. Azgınlıkları içinde bocalayıp durmalarına zaman tanır.,Erhan Aktaş
23,2,16,"Onlar, doğru yola karşılık sapkınlığı satın almışlardır. Bu ticaretlerinde bir kazanç yoktur. Ve doğru yolu bulamamışlardır.",Erhan Aktaş
24,2,17,"Onların durumu karanlıkta ateş yakan kimselerin durumu gibidir. Ateş, etraflarını aydınlatır aydınlatmaz, Allah onların ışığını yok eder ve onları karanlıklar içinde görmez halde bırakır.",Erhan Aktaş
25,2,18,"Sağır, dilsiz ve kördürler. Artık doğru yola dönmezler.",Erhan Aktaş
