sira,sure,ayet,metin,hoca
1,1,1,Rahmeti Bol ve Kesintisiz Olan Allah'ın Adıyla,Erhan Aktaş (10. Baskı)
2,1,2,Övülmeye değer olan yalnızca alemlerin Rabb'i Allah'tır.,Erhan Aktaş (10. Baskı)
3,1,3,O'nun Rahmeti Bol ve Kesintisizdir,Erhan Aktaş (10. Baskı)
4,1,4,"O,  Hesap Günü'nün sahibidir.",Erhan Aktaş (10. Baskı)
5,1,5,Yalnız Sana kulluk eder ve yalnız Sen'den yardım dileriz.,Erhan Aktaş (10. Baskı)
6,1,6,Bize doğru yolu göster;,Erhan Aktaş (10. Baskı)
7,1,7,Nimet verdiklerinin yolunu. Gazabına uğrayanların ve sapkınların yolunu değil.,Erhan Aktaş (10. Baskı)
8,2,1,Elif. Lam. Mim.,Erhan Aktaş (10. Baskı)
9,2,2,"Bu Kitap,  mutlak gerçeğin ta kendisidir. O,  muttakiler[1] için hidayettir.[2]",Erhan Aktaş (10. Baskı)
10,2,3,"Onlar; gayba[1] inanırlar,  salatı ikame ederler[2] ve verdiğimiz rızıktan infak[3] ederler.",Erhan Aktaş (10. Baskı)
11,2,4,"Onlar,  sana indirilene ve senden önce indirilmiş olanlara inanırlar. Ve onlar,  ahirete de kesin olarak inanırlar.",Erhan Aktaş (10. Baskı)
12,2,5,"Onlar,  Rabb'lerinden bir hidayet üzerindedirler. Kurtuluşa erenler onlardır.",Erhan Aktaş (10. Baskı)
13,2,6,Şu bir gerçektir ki: Kafirleri[1] uyarsan da uyarmasan da onlar için birdir; inanmazlar.,Erhan Aktaş (10. Baskı)
14,2,7,"Allah,  onların[1] kalplerini[2] ve kulaklarını mühürlemiştir. Onların gözlerinde perde vardır. Onları büyük bir azap beklemektedir.",Erhan Aktaş (10. Baskı)
15,2,8,"Kimi insanlar,  inanmadıkları halde,  Allah'a ve Ahiret Günü'ne inandıklarını söylerler.",Erhan Aktaş (10. Baskı)
16,2,9,"Onlar[1],  Allah'ı ve inananları aldatmaya çalışıyorlar. Oysa sadece kendilerini aldatıyorlar da bunun ayırdında değiller.",Erhan Aktaş (10. Baskı)
17,2,10,Onların[1] kalplerinde hastalık[2] vardır. Allah da bu hastalıklarını arttırmıştır. Bu yalancılıklarından dolayı onlara can yakıcı bir azap vardır.,Erhan Aktaş (10. Baskı)
18,2,11,"Onlara[1],  ""Yeryüzünde bozgunculuk yapmayın."" denildiğinde,  ""Biz ancak düzelticileriz."" derler.",Erhan Aktaş (10. Baskı)
