sira,sure,ayet,metin,hoca
1,1,1,Rahmeti Bol ve Kesintisiz Olan Allah'ın Adıyla,Erhan Aktaş (Eski Baskı)
2,1,2,Övülmeye değer olan yalnızca alemlerin Rabb'ı Allah'tır.,Erhan Aktaş (Eski Baskı)
3,1,3,O'nun Rahmeti Bol ve Kesintisizdir.,Erhan Aktaş (Eski Baskı)
4,1,4,"O, Hesap Gününün Sahibidir.",Erhan Aktaş (Eski Baskı)
5,1,5,Yalnız Sana kulluk eder ve yalnız Sen'den yardım dileriz.,Erhan Aktaş (Eski Baskı)
6,1,6,Bize doğru yolu göster;,Erhan Aktaş (Eski Baskı)
7,1,7,Nimet verdiklerinin yolunu. Gazabına uğrayanların ve sapkınların yolunu değil.,Erhan Aktaş (Eski Baskı)
8,2,1,Elif. Lam. Mim.,Erhan Aktaş (Eski Baskı)
9,2,2,"Bu Kitap, kesin gerçeğin ta kendisidir. O, muttakiler[1] için yol göstericidir.",Erhan Aktaş (Eski Baskı)
10,2,3,"Onlar; gayba[1] inanırlar, salatı ikame ederler[2] ve verdiğimiz rızıktan infak[3] ederler.",Erhan Aktaş (Eski Baskı)
11,2,4,"Onlar, sana indirilene ve senden önce indirilmiş olanlara inanırlar. Ve onlar, ahirete de kesin olarak inanırlar.",Erhan Aktaş (Eski Baskı)
12,2,5,"Onlar, Rabb'lerinden gelen bir yol göstericinin izleyicileridir. Kurtuluşa erenler onlardır.",Erhan Aktaş (Eski Baskı)
13,2,6,Şu bir gerçektir ki: Gerçeği yalanlayan nankörleri uyarsan da uyarmasan da onlar için birdir; inanmazlar.,Erhan Aktaş (Eski Baskı)
14,2,7,"Allah, onların kalplerini[1] ve kulaklarını mühürlemiştir. Onların gözlerinde perde vardır. Onları büyük bir azap beklemektedir.",Erhan Aktaş (Eski Baskı)
15,2,8,"Kimi insanlar, inanmadıkları halde, Allah'a ve Ahiret Günü'ne inandıklarını söylerler.",Erhan Aktaş (Eski Baskı)
16,2,9,"Onlar, Allah'ı ve inananları aldatmaya çalışırlar. Oysa sadece kendilerini aldatıyorlar da farkında değiller.",Erhan Aktaş (Eski Baskı)
17,2,10,"Onların kalplerinde hastalık[1] vardır. Allah da bu hastalıklarını arttırmıştır. Bu yalancılıklarından[2] dolayı, onlara, can yakıcı bir azap vardır.",Erhan Aktaş (Eski Baskı)
18,2,11,"Onlara, ""Yeryüzünde bozgunculuk yapmayın."" denildiğinde, ""Biz ancak düzelticileriz."" derler.",Erhan Aktaş (Eski Baskı)
19,2,12,"İyi bilin ki, onlar bozguncuların ta kendileridir. Fakat bunun ayırdında değiller.",Erhan Aktaş (Eski Baskı)
20,2,13,"Ne zaman onlara, ""İnanan kimseler gibi inanın."" dense, ""Biz, hiç aklı ermeyenler gibi inanır mıyız?"" derler. İyi bilin ki, asıl aklı ermeyenler onlardır; fakat bunun bilincinde değiller.",Erhan Aktaş (Eski Baskı)
21,2,14,"İman edenlerle karşılaştıkları zaman: ""İnandık."" derler. Şeytanları[1] ile baş başa kaldıkları zaman, ""Biz, sizinle beraberiz; onlarla, sadece alay ediyoruz."" derler.",Erhan Aktaş (Eski Baskı)
22,2,15,Allah da onlarla alay eder. Azgınlıkları içinde bocalayıp durmalarına zaman tanır.,Erhan Aktaş (Eski Baskı)
23,2,16,"Onlar, hidayete[1] karşılık sapkınlığı satın almışlardır. Bu ticaretlerinde bir kazanç yoktur. Ve doğru yolu bulamamışlardır.",Erhan Aktaş (Eski Baskı)
24,2,17,"Onların durumu karanlıkta ateş yakan kimselerin durumu gibidir. Ateş, etraflarını aydınlatır aydınlatmaz, Allah onların ışığını yok eder ve onları karanlıklar içinde görmez halde bırakır.",Erhan Aktaş (Eski Baskı)
25,2,18,"Sağır, dilsiz ve kördürler. Artık, doğru yola dönmezler.",Erhan Aktaş (Eski Baskı)
26,2,19,"Ya da onların durumu; içinde karanlıklar, gök gürültüsü ve şimşekler bulunan sağanak bir yağmurda; ölüm korkusuyla, yıldırım sesinden kulaklarını parmaklarıyla tıkayan kimselerin durumuna benzer. Oysaki Allah, gerçeği yalanlayan nankörleri her yönden kuşatmıştır.",Erhan Aktaş (Eski Baskı)
