sira,sure,ayet,metin,hoca
1,1,1,Rahman ve Rahim olan Allah'ın adıyla,Gültekin Onan
2,1,2,"(2-4) Hamd alemlerin rabbi, rahman, rahim ve din gününün maliki olan Tanrı'yadır.",Gültekin Onan
3,1,3,"(2-4) Hamd alemlerin rabbi, rahman, rahim ve din gününün maliki olan Tanrı'yadır.",Gültekin Onan
4,1,4,"(2-4) Hamd alemlerin rabbi, rahman, rahim ve din gününün maliki olan Tanrı'yadır.",Gültekin Onan
5,1,5,Biz yalnızca sana ibadet eder ve yalnızca senden yardım dileriz.,Gültekin Onan
6,1,6,"(6-7) Bizi doğru yola ilet; kendilerine nimet verdiklerinin yoluna, gazaba uğrayanların ve sapmışların değil.",Gültekin Onan
7,1,7,"(6-7) Bizi doğru yola ilet; kendilerine nimet verdiklerinin yoluna, gazaba uğrayanların ve sapmışların değil.",Gültekin Onan
8,2,1,"Elif, Lam Mim,",Gültekin Onan
9,2,2,"Bu, içinde / hakkında kuşku olmayan, muttakiler için yol gösterici (hüden) bir kitaptır.",Gültekin Onan
10,2,3,"Onlar ki gayba inanırlar, namazı gözetirler, kendilerini rızıklandırdıklarımızdan infak ederler.",Gültekin Onan
11,2,4,Sana indirilene ve senden önce indirilenlere inanırlar. Ahiret konusunda da hiçbir kuşkuları yoktur.,Gültekin Onan
12,2,5,"İşte bunlar, rablerinden (olan) bir hidayet üzerindedirler ve felaha erenler / erdirilenler bunlardır.",Gültekin Onan
13,2,6,"Şüphesiz, kafirleri uyarsan da uyarmasan da onlar için birdir / aynıdır; onlar inanmazlar.",Gültekin Onan
14,2,7,"Tanrı, kalplerini ve kulaklarını mühürlemiştir; gözlerinde perde vardır ve büyük azap onlaradır.",Gültekin Onan
15,2,8,"İnsanlardan öyleleri vardır ki ""Tanrı'ya ve ahiret gününe inandık"" derler; (oysa) onlar inançlı değildir.",Gültekin Onan
16,2,9,Tanrı'yı ve inananları aldatmak isterler / aldatırlar. Halbuki kendi kendilerini (nefslerini) aldatıyorlar. Bilincinde (şuurunda) bile değiller.,Gültekin Onan
17,2,10,Kalplerinde hastalık (maraz) vardır. Tanrı da hastalıklarını arttırmıştır. Yalanlarından / yalanlamalarından dolayı onlar için acı bir azab vardır.,Gültekin Onan
18,2,11,"Kendilerine ""yeryüzünde bozgunculuk (fesad) çıkarmayın"" denildiğinde ""bizler sadece düzeltenleriz / islah edicileriz"" derler.",Gültekin Onan
19,2,12,Oysa asıl bozguncular / fesad çıkarıcılar onlardır; bilincinde (şuurunda) bile değiller.,Gültekin Onan
20,2,13,"Kendilerine ""insanların inandığı gibi inanın"" denildiğinde, ""biz beyinsizlerin (süfeha) inandığı gibi mi inanıyoruz?"" derler. Gerçek beyinsizler onlardır fakat bilmezler.",Gültekin Onan
21,2,14,"İnananlarla karşılaştıklarında ""inandık"" derler; fakat şeytanlarıyla başbaşa kaldıklarında ""kuşkusuz sizinle beraberiz, biz sadece alay etmekteyiz / alay edicileriz (istihza)"" derler.",Gültekin Onan
22,2,15,Tanrı da onlarla alay eder ve taşkınlıkları (tuğyan) içinde bocalamalarına / şaşkınca dolaşmalarına (ya'mehun) süre tanır.,Gültekin Onan
23,2,16,"İşte bunlar hidayet karşılığında sapıklığı (dalaleti) satın almışlardır. Fakat bu ticaretleri bir yarar (kar) sağlamamış / getirmemiş, hidayeti de bulamamışlardır.",Gültekin Onan
24,2,17,"Onların hali / örneği / durumu, ateş yakan kimsenin hali / örneği / durumu gibidir: Ateş çevresini aydınlatmaya başlayınca Tanrı onların ışığını (nur) giderir ve onları karanlıklar içinde görmez bir halde bırakıverir.",Gültekin Onan
