sira,sure,ayet,metin,hoca
1,1,1,"(1-2-3-4) Hamd olsun Alemlerin Rabbi, Rahman, Rahim, Din günü'nün (tek) sahibi ve mutasarrıfı Allaha.",Hasan Basri Çantay
2,1,2,"(1-2-3-4) Hamd olsun Alemlerin Rabbi, Rahman, Rahim, Din günü'nün (tek) sahibi ve mutasarrıfı Allaha.",Hasan Basri Çantay
3,1,3,"(1-2-3-4) Hamd olsun Alemlerin Rabbi, Rahman, Rahim, Din günü'nün (tek) sahibi ve mutasarrıfı Allaha.",Hasan Basri Çantay
4,1,4,"(1-2-3-4) Hamd olsun Alemlerin Rabbi, Rahman, Rahim, Din günü'nün (tek) sahibi ve mutasarrıfı Allaha.",Hasan Basri Çantay
5,1,5,"Yalınız sana ibadet (kulluk) ederiz, yalınız senden yardım isteriz.",Hasan Basri Çantay
6,1,6,"(6-7) Bizi doğru yola, kendilerine ni'met verdiklerinin yoluna ilet, gazaba uğrayanlarınkine, sapıklarınkine değil.",Hasan Basri Çantay
7,1,7,"(6-7) Bizi doğru yola, kendilerine ni'met verdiklerinin yoluna ilet, gazaba uğrayanlarınkine, sapıklarınkine değil.",Hasan Basri Çantay
8,2,1,"Elif, Lam, Mim.",Hasan Basri Çantay
9,2,2,"Bu, o kitab'dır ki kendisinde (Allah katından gönderilmiş olduğunda) hiç şübhe yokdur. (O) takvaa sahibleri için doğru yolun ta kendisidir.",Hasan Basri Çantay
10,2,3,"(O takvaa saahibleri ki) onlar gaybe inanırlar, namazı dosdoğru kılarlar, kendilerine rızk olarak verdiğimizden de (Allah yolunda) harcarlar.",Hasan Basri Çantay
11,2,4,"(O takvaa saahibleri ki Habibim) onlar sana indirilene de, senden evvel indirilenlere de inanırlar. Ahirete ise onlar şübhesiz bir bilgi ve inan beslerler.",Hasan Basri Çantay
12,2,5,İşte onlar Rablerinden (gelen) Hidayetin tam üzerindedirler. Asıl muradlarına kavuşanlar da işte onlar.,Hasan Basri Çantay
13,2,6,"Şu muhakkak ki küfr edenleri inzar etsen de onlarca bir, kendilerini inzar etmesen de inanmazlar.",Hasan Basri Çantay
14,2,7,"Allah onların kalblerine de, kulaklarına da mühür basmışdır. Gözlerinin üzerinde bir de perde var. En büyük azab onlarındır.",Hasan Basri Çantay
15,2,8,"İnsanlardan öyle kimseler vardır ki kendileri iman etmiş olmadıkları halde, ""Allaha ve ahiret gününe inandık"" derler. Halbuki onlar inanıcı (insan) lar değildir.",Hasan Basri Çantay
16,2,9,"Allahı da, iman edenleri de (guya) aldatırlar. Halbuki onlar kendilerinden başkasını aldatmazlar da yine farkına varmazlar.",Hasan Basri Çantay
17,2,10,Kalblerinde bir maraz vardır onların. Allah da marazlarını artırdı. Yalan söylemekde oldukları için de onlara acıklı bir azab vardır.,Hasan Basri Çantay
18,2,11,"Kendilerine ""Yer (yüzün) de fesad yapmayın"" denildiği zaman ""Biz ancak islah edicileriz"" derler.",Hasan Basri Çantay
19,2,12,"Gözünü aç, onlar muhakkak ki fesadcıların ta kendileridir. Fakat şuurlarını işletmezler.",Hasan Basri Çantay
20,2,13,"Onlara ""insanların (müslümanların) inandığı gibi inanın"" denilince ""Biz de o beyinsizlerin inandığı gibi mi inanacağız?"" derler. Dikkat et ki (asıl) beyinsizler hiç şüphesiz kendileridir. Fakat bilmezler.",Hasan Basri Çantay
21,2,14,"Onlar iman edenlere kavuşdukları zaman ""inandık"" derler. Şeytanlariyle yalınızca (başbaşa) kalınca ise ""Emin olun, biz sizinle beraberiz. Biz ancak istihza edicileriz"" derler.",Hasan Basri Çantay
22,2,15,"(Asıl) Allah onlarla istihza eder ve taşkınlıkları, azgınlıkları içinde serseri dolaşmalarına mühlet verir.",Hasan Basri Çantay
23,2,16,"Onlar o kimselerdir ki doğru yolu bırakıp sapkınlığı (eğri yolu) satın almışlardır. Demek, alış verişleri onlara kazanç sağlamamış, onlar doğru yolu da bulmamışlardır.",Hasan Basri Çantay
24,2,17,"Onların haali bir ateş yakanın haali gibidir ki o (ateş) çevresindekileri aydınlatınca Allah ışıklarını giderib (söndürüb) kendilerini karanlıklar içinde, görmez (ve şaşkın kimse) ler haalinde bırakıvermişdir.",Hasan Basri Çantay
25,2,18,"(Onlar) sağırlar, dilsizler, körlerdir. Artık (Hakka) dönmezler.",Hasan Basri Çantay
26,2,19,"Yahud (onların haali) gökden (bulutdan boşanan) yağmur (a tutulmuşun haali) gibidir ki onda (o yağmurda) karanlıklar, gök gürültüsü ve şimşek çakışı vardır. Ölüm korkusiyle yıldırımlardan parmaklarını kulaklarına tıkarlar. Allah kafirleri çepçevre kuşatandır.",Hasan Basri Çantay
27,2,20,"O şimşek hemen hemen gözlerini kapıp alıverecek. Onları aydınlatınca (ışığı) içinde yürürler, başlarına karanlık çökünce ise dikilib kalırlar. Allah dileseydi onların işitmelerini, gözlerini de giderirdi. Şübhe yok ki Allah her şey'e hakkıyle kaadirdir.",Hasan Basri Çantay
28,2,21,"Ey insanlar, siz de, sizden öncekileri de yaratan Rabbinize ibadet (kulluk) edin. Taki takvaa saahibi olasınız.",Hasan Basri Çantay
29,2,22,"O (Rab) ki yer yüzünü sizin (ikaamet ve istirahatiniz) için bir döşek, göğü (yüksek tavan ve kubbe gibi) bir bina yapdı. O gökden su indirib onunla dürlü, dürlü semerelerden (meyvalardan, mahsullerden) sizin için rızk çıkardı. O halde, kendiniz bilib dururken (yaratılan o şeylerle) Allaha eşler koşmayın.",Hasan Basri Çantay
30,2,23,"Eğer kulumuz (Muhammed) in üzerine parça parça (sure sure, ayet ayet) indirdiğimiz (Kur'anın Allah katından geldiğin) den şübhe ediyorsanız haydi onun benzerinden siz de (meydana) bir sure getirin. Allahdan başka sahicilerinizi (tapdığınız putları ve bilginlerinizi) de (yardıma) çağırın, eğer (iddianızda) doğru (insan) lar iseniz.",Hasan Basri Çantay
31,2,24,"Fakat bunu yapmazsanız ki hiç bir zaman yapamayacaksınız artık sakının o ateşden ki onun tutarağı (odunu, çırası, ocaktaşı) insanla o taşdır. O (ateş) kafirler için hazırlanmışdır.",Hasan Basri Çantay
32,2,25,"(Habibim) iman eden, bir de güzel güzel amel (ve hareketlerde bulunan kimselere muştula ki altlarından ırmaklar akan cennetler onların. Kendilerine ne zaman onlardan bir meyva rızk olarak yedirilse her defasında ""ha, bu, evvelce de (dünyada) rızıklandığımız (yediğimiz) şeydi"" diyecekler Ve o rızk (renkde, şekilde) birbirinin benzeri, (fakat tatda, keyfiyyetde başka başka ve çok yüksek ve müstesna kıymetlerde) olmak üzere kendilerine sunulacak. Orada çok temiz zevceler de onların. Hem orada onlar daim de kalıcıdırlar.",Hasan Basri Çantay
33,2,26,"Hakıykat bir sivri sinek olsun, daha üstündeki (büyüğü) olsun her hangi bir şey'i Allah mesel (ve misal) getirmekden çekinmez. Artık iman edenler onun Rablerinden (gelen) bir gerçek olduğunu bilirler. Kafirler ise ""Allah bu misal ile ne murad etmişdir"" derler. Allah onunla bir çoğunu şaşırtır, yine onunla bir çoğunu yola getirir. Onunla fasıklardan başkasını şaşırtmaz.",Hasan Basri Çantay
34,2,27,"O (fasıklar) ki Allanın, (Kitablarında Muhammede iman etmeleri hakkındaki ahid (ve emr) ini onu te'kid de etdikden sonra bozarlar, Allah'ın birleştirilmesini emretdiği şey'i (hısımlık rabıtalarını, cem'iyyet birliğini, peygambere imanda birleşmeyi) keserler, yer yüzünde bozgunculuk yaparlar. İşte onlar hüsrane (maddi ve manevi en büyük zarara) uğrayanların ta kendileridir.",Hasan Basri Çantay
35,2,28,"Allaha nasıl olub da küfrediyor (Onun varlığını ve birliğini inkar ediyor) sunuz? Halbuki siz ölüler iken (henüz babalarınızın sulbünde bir nutfe iken annelerinizin rahminde, sonra da dünyada sizi) O diriltdi. Sonra sizi yine O öldürecek, tekrar sizi (kabirde ve neşirde) O diriltecek ve nihayet (Haşirden sonra) yine yalınız ona döndürüleceksiniz.",Hasan Basri Çantay
36,2,29,"Yerde ne varsa hepsini sizin (faideniz) için yaratan, sonra (iradesi) göğe yönelib de onları yedi gök haalinde tesviye (ve tanzim) eden (sapasağlam yapan) Odur ve O her şey'i hakkıyle bilendir.",Hasan Basri Çantay
37,2,30,"Hani Rabbin meleklere: ""Muhakkak ben yer yüzünde (benim emirlerimi tebliğ ve infaza me'mur) bir halife (bir insan, adem) yaratacağım"" demişdi. (Melekler) de: ""Biz seni hamdinle tesbih ve seni takdis (ayıblardan, eş koşmakdan, eksikliklerden tenzih) edib dururken (yerde) orada bozgunculuk edecek, kanlar dökecek kimse mi yaratacaksın?"" demişlerdi. Allah (da) ""Sizin bilemeyeceğinizi her halde ben bilirim"" demişdi.",Hasan Basri Çantay
38,2,31,"Ademe bütün isimleri öğretmişdi. Sonra onları (onların delalet etdikleri alemleri, eşyayi) meleklere gösterib: ""Doğrucular iseniz (her şeyin iç yüzünü biliyorsanız) bunları adlarıyle bana haber verin"" demişdi.",Hasan Basri Çantay
39,2,32,"(Melekler) de: ""Seni tenzih ederiz. Senin bize öğretdiğinden başka bizim hiç bir bilgimiz yok. Çünkü (her şey'i) hakkıyle bilen, hüküm ve hikmet sahibi olan şübhesiz ki sensin Sen"" demişlerdi.",Hasan Basri Çantay
40,2,33,"(Allah) ""Ey Adem, onları adlariyle kendilerine haber ver"" deyib de o da onları isimleriyle söyleyiverince (şöyle) dedi: ""Size demedim mi ki göklerin ve yerin gaybını şübhesiz ben bilirim. Neyi açıklarsanız, neyi de gizlemişseniz ben biliyorum.""",Hasan Basri Çantay
41,2,34,"Hani meleklere: ""Ademe (yahud: Adem için Allaha) secde edin"" demişdik de (şeytanların reisi olan) iblisden başkası hemen secde etmişlerdi. O ise dayatmış, kibirlenmek istemişdi. (Zaten de) o kafirlerdendi.",Hasan Basri Çantay
42,2,35,"Ve demişdik ki: ""Ey Adem, sen eşinle beraber Cennetde yerleş, Ondan (Cennetin yiyeceklerinden), neresinden isterseniz, ikiniz de bol bol yeyin. (Fakat) şu ağaca yaklaşmayın. Yoksa ikiniz de (nefsine) zulmedenlerden olursunuz"".",Hasan Basri Çantay
43,2,36,"Bunun üzerine Şeytan onları (n ayağını) oradan kaydırıp içinde bulunduklarından (onun ni'metlerinden) onları çıkarıvermiş (mahrum edivermiş) di. Biz de: ""Kiminiz kiminize düşman olarak inin. Yer yüzünde sizin için bir vakta (ömrünüzün sonuna) kadar durak ve faidelenecek şey vardır"" demişdik.",Hasan Basri Çantay
44,2,37,"Derken Adem Rabbinden kelimeler belleyip aldı (Ona yalvardı). O da Tevbesini kabul etdi. Çünkü tevbeyi en çok kabul eden, asıl esirgeyen odur.",Hasan Basri Çantay
45,2,38,"(Evet, öyle) Dedik: Hepiniz oradan inin. Sonra size benden bir hidayet (ci rehber) gelir de kim benim hidayetimin izince giderse artık onlara hiçbir korku (ve tehlike) yokdur. Onlar mahzun da olacak değillerdir.",Hasan Basri Çantay
46,2,39,"O küfredenler, ayetlerimizi yalan sayanlar (Yok mu?), onlar ateşin (cehennemin) arkadaşlarıdır. Onlar orada bir daha çıkmamak üzere kalıcıdırlar.",Hasan Basri Çantay
47,2,40,"Ey İsrail (Ya'kub) oğulları, size (atalarınıza) ihsanetdiğim bunca ni'metlerimi hatırlayın (Peygambere iman hususundaki) tavsiyemi yerine getirin, ben de size karşı olan ahdimi yapayım. Bir de (vefayı terk hususunda) benden korkun.",Hasan Basri Çantay
48,2,41,"Nezdinizdekini (Tevratı) tasdik edici (ve doğrultucu) olarak indirdiğim (Kur'an) a iman edin, onu inkaredenlerin ilki siz olmayın, ayetlerimi az bir baha ile (bayağı bir menfaat mukaabilinde) değişmeyin. Ancak benden korkun.",Hasan Basri Çantay
49,2,42,Kendiniz bilib dururken Hakkı baatıla karıştırıb da gerçeği gizlemeyin.,Hasan Basri Çantay
50,2,43,"Dosdoğru namaz kılın, zekat verin, rüku' eden (mümin) lerle birlikde rüku' edin (cemaate devam edin).",Hasan Basri Çantay
51,2,44,"(Ey Yahudi bilginleri) siz, insanlara iyiliği (gerçeği ve peygambere iman etmeği) emredersiniz de kendinizi unutur musunuz? Halbuki Kitab (Tevrat) da okursunuz. Haala aklınızı başınıza almayacak mısınız?",Hasan Basri Çantay
52,2,45,"Hem sabır (ve sebat) ile, hem namazla (Hakdan) yardım isteyin. (Gerçi) bu, elbette büyük (ağır ve çetin bir şey) dir. Ancak (Allaha karşı) yüksek saygı gösterenlere göre öyle değil.",Hasan Basri Çantay
53,2,46,O (yüksek saygı göstere) nler ki onlar hakıykaten Rablerine kavuşucu ve hakıykaten ancak ona dönücü olduklarını bilirler (de namazlarını o vech ile kılarlar).,Hasan Basri Çantay
54,2,47,"Ey İsrail oğulları, size ihsan etdiğim bunca ni'metimi ve sizi (bir zaman) alemlerin üstüne geçirdiğimi hatırlayın.",Hasan Basri Çantay
55,2,48,"Ve öyle bir günden korkun ki (o günde) hiçbir kimse, hiçbir kimse namına bir şey ödeyemez. Ondan her hangi bir şefaat kabul olunmaz. Ondan bir fidye (bedel) alınmaz, onlara (Allahın azabından kurtulmak hususunda) yardım da edilmez.",Hasan Basri Çantay
56,2,49,Yine hatırlayın o zamanı ki (yeni doğan) oğullarınızı boğazlayıp kızlarınızı sağ bırakmak (yahud kadınlarınıza utanılacak dürlü fenalıklar yapmak) suretiyle size (atalarınıza) işkencenin en kötüsünü yüklemekde devameden Fir'avun haanedanından sizi kurtarmışdık. Bunda (bu azabda ve kurtarmada) Rabbinizden (gelen) büyük bir imtihan vardı sizin için.,Hasan Basri Çantay
57,2,50,"Hem hatırlayın o demleri ki sizin sebebinize denizi yarıb da hepinizi kurtarmış, Fir'avun haanedanını ise, kendiniz de gözlerinizle bakıb dururken, (suda) boğmuşduk.",Hasan Basri Çantay
58,2,51,"Hani Musa ile kırk gece (""Tur"" da kalmak ve ondan sonra kendisine Tevrat verilmek üzere) vaidleşmişdik. Yine siz onun arkasından (nefsinizin) zaalimler (i) olarak (""Samiri"" nin tanrı diye gösterdiği) buzağıya tutunmuş (onu tanrı edinmiş) diniz.",Hasan Basri Çantay
59,2,52,Bil'ahare sizi bundan sonra da afvetmişdik. Gerekdi ki şubedesiniz.,Hasan Basri Çantay
60,2,53,"Hani Musaya, (sapıklıkdan ayrılıb) doğru yola gelesiniz diye, (""Tur"" da) o kitabı (Tevratı) ve Furkaanı (Hak ile batılı ayırd eden hükümleri) vermişdik.",Hasan Basri Çantay
