sira,sure,ayet,metin,hoca
1,1,1,"In The Name of Allah, The All-Merciful, The Ever-Merciful.",Mahmoud Ghali
2,1,2,"Praise be to Allah, The Lord of the worlds.",Mahmoud Ghali
3,1,3,"The All-Merciful, The Ever-Merciful.",Mahmoud Ghali
4,1,4,The Possessor of the Day of Doom.,Mahmoud Ghali
5,1,5,"You only do we worship, and You only do we beseech for help.",Mahmoud Ghali
6,1,6,Guide us in the straight Path.,Mahmoud Ghali
7,1,7,"The Path of the ones whom You have favored, other than that of the ones against whom You are angered, and not (that of) the erring. (It is customary to say ""amîn"" ""amen"" at the end of this Surah).",Mahmoud Ghali
8,2,1,"Alif, Lam, Mîm. (These are the names of three letters from the Arabic alphabet, probably indicating that this inimitable Revelation, the Qur'an, is made of this Arabic alphabet. Only Allah Knows their meaning here).",Mahmoud Ghali
9,2,2,"That is the Book, there is no suspicion about it, a guidance to the pious.",Mahmoud Ghali
10,2,3,"Who believe in the Unseen, and keep up the prayer, and expend of what We have provided them,",Mahmoud Ghali
11,2,4,"And who believe in what has been sent down to you, and what has been sent down (even) before you, and they constantly have certitude in the Hereafter.",Mahmoud Ghali
12,2,5,"Those are upon guidance from their, and those are they who are the prosperers.",Mahmoud Ghali
13,2,6,"Surely, the ones who have disbelieved, it is equal to them whether you have warned them or have not warned them, they do not believe.",Mahmoud Ghali
14,2,7,Allah has set a seal on their hearts and on their hearing; and on their be-holdings (i. e. eyesights) is an envelopment. And for them is a tremendous torment.,Mahmoud Ghali
15,2,8,"And of mankind (there) are some who say, ""We have believed in Allah and in the Last Day. "" And in no way are they believers.",Mahmoud Ghali
16,2,9,"They try to deceive Allah and (the ones) who have believed, and in no way do they deceive (anyone) except themselves, and in no way are they aware.",Mahmoud Ghali
17,2,10,"In their hearts is a sickness. So Allah has increased them in sickness, and for them is a painful torment for (that) they used to lie.",Mahmoud Ghali
18,2,11,"And when it is said to them, ""Do not corrupt in the earth, "" they say, ""Surely we are only doers of righteousness. "" (i.e. reformers, peacemakers)",Mahmoud Ghali
19,2,12,"Verily, they, (only) they, are surely the corruptors, but they are not aware.",Mahmoud Ghali
20,2,13,"And when it is said to them, ""Believe just as mankind has believed, "" they say, ""Shall we believe just as the fools have believed?"" Verily, they, (only) they, are surely the fools, but they do not know.",Mahmoud Ghali
21,2,14,"And when they meet the ones who have believed they say, ""We have believed, "" and when they go apart to their shayatîn, (The all-vicious (ones), i. e. devils) they say, ""Surely we are with you; surely we are only mocking.",Mahmoud Ghali
22,2,15,Allah mocks them and grants them extension in blundering in their inordinance.,Mahmoud Ghali
