sira,sure,ayet,metin,hoca,arapca
1,1,1,"Rahmân, Rahîm[1] olan Allah'ın adıyla.[2]",Mehmet Okuyan,بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّح۪يمِ
2,1,2,"(2, 3, 4) Hamd[1] (övgü); Rahmân, Rahîm, hesap gününün sahibi, âlemlerin de Rabbi[2] olan Allah içindir.",Mehmet Okuyan,اَلْحَمْدُ لِلّٰهِ رَبِّ الْعَالَم۪ينَۙ
3,1,3,"(2, 3, 4) Hamd[1] (övgü); Rahmân, Rahîm, hesap gününün sahibi, âlemlerin de Rabbi[2] olan Allah içindir.",Mehmet Okuyan,اَلرَّحْمٰنِ الرَّح۪يمِۙ
4,1,4,"(2, 3, 4) Hamd[1] (övgü); Rahmân, Rahîm, hesap gününün sahibi, âlemlerin de Rabbi[2] olan Allah içindir.",Mehmet Okuyan,مَالِكِ يَوْمِ الدّ۪ينِۜ
5,1,5,(Rabbimiz)! Yalnız sana kulluk ederiz ve yalnız senden yardım dileriz.,Mehmet Okuyan,اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَع۪ينُۜ
6,1,6,"(6, 7) Bizi doğru yola, nimet verdiklerinin[1] yoluna ulaştır; gazaba uğratılmışların ve sapkınların yoluna değil.[2]",Mehmet Okuyan,اِهْدِنَا الصِّرَاطَ الْمُسْتَق۪يمَۙ
7,1,7,"(6, 7) Bizi doğru yola, nimet verdiklerinin[1] yoluna ulaştır; gazaba uğratılmışların ve sapkınların yoluna değil.[2]",Mehmet Okuyan,صِرَاطَ الَّذ۪ينَ اَنْعَمْتَ عَلَيْهِمْۙ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّٓالّ۪ينَ
8,2,1,Elif. Lâm. Mîm.[1],Mehmet Okuyan,الٓمٓ ۚ
9,2,2,O kitap (Kur'an); onda asla şüphe yoktur. Muttakîler[1] (duyarlı olanlar) için bir yol göstericidir.,Mehmet Okuyan,ذٰلِكَ الْكِتَابُ لَا رَيْبَۚۛ ف۪يهِۚۛ هُدًى لِلْمُتَّق۪ينَۙ
10,2,3,Onlar gayba (bilinemeyenlere) inanır; namaz kılar ve kendilerine rızık olarak verdiklerimizden infak ederler (verirler).,Mehmet Okuyan,اَلَّذ۪ينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُق۪يمُونَ الصَّلٰوةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَۙ
