sira,sure,ayet,metin,hoca
1,1,1,"In the name of God, The Most Gracious, The Dispenser of Grace:",Muhammad Asad
2,1,2,"All praise is due to God alone, the Sustainer of all the worlds,",Muhammad Asad
3,1,3,"The Most Gracious, the Dispenser of Grace,",Muhammad Asad
4,1,4,Lord of the Day of Judgment!,Muhammad Asad
5,1,5,Thee alone do we worship; and unto Thee alone do we turn for aid.,Muhammad Asad
6,1,6,Guide us the straight way.,Muhammad Asad
7,1,7,"The way of those upon whom Thou hast bestowed Thy blessings, not of those who have been condemned [by Thee], nor of those who go astray!",Muhammad Asad
8,2,1,Alif. Lam. Mim.,Muhammad Asad
9,2,2,THIS DIVINE WRIT - let there be no doubt about it is [meant to be] a guidance for all the God-conscious.,Muhammad Asad
10,2,3,"Who believe in [the existence of] that which is beyond the reach of human perception, and are constant in prayer, and spend on others out of what We provide for them as sustenance;",Muhammad Asad
11,2,4,"And who believe in that which has been bestowed from on high upon thee, [O Prophet,] as well as in that which was bestowed before thy time: for it is they who in their innermost are certain of the life to come!",Muhammad Asad
12,2,5,"It is they who follow the guidance [which comes from their Sustainer; and it is they, they who' shall attain to a happy state!",Muhammad Asad
13,2,6,"BEHOLD, as for those who are bent on denying the truth - it is all one to them whether thou warnest them or dost not warn them: they will not believe.",Muhammad Asad
14,2,7,"God; has sealed their hearts and their hearing, and over their eyes is a veil; and awesome suffering awaits them.",Muhammad Asad
15,2,8,"And there are people who say, ""We do believe in God and the Last Day,"" the while they do not [really] believe.",Muhammad Asad
16,2,9,"They would deceive God and those who have attained to faith-the while they deceive none but themselves, and perceive it not.",Muhammad Asad
17,2,10,"In their hearts is disease, and so God lets their disease increase; and grievous suffering awaits them because of their persistent lying.",Muhammad Asad
18,2,11,"And when they are told, ""Do not spread corruption on earth,"" they answer, ""We are but improving things!""",Muhammad Asad
19,2,12,"Oh, verily, it is they, they who are spreading corruption but they perceive it not?",Muhammad Asad
20,2,13,"And when they are told, ""Believe as other people believe,"" they answer, ""Shall we believe as the weak-minded believe?"" Oh, verily, it is they, they who are weak-minded -but they know it not!",Muhammad Asad
21,2,14,"And when they meet those who have attained to faith, they assert, ""We believe [as you believe]""; but when they find themselves alone with their- evil impulses, they say, ""Verily, we are with you; we were only mocking!""",Muhammad Asad
22,2,15,"God will requite them for their mockery, and will leave them for a while in their overweening arrogance, blindly stumbling to and fro:",Muhammad Asad
23,2,16,"[for] it is they who have taken error in exchange for guidance; and neither has their bargain brought them gain, nor have they found guidance [elsewhere].",Muhammad Asad
24,2,17,"Their parable is that of people who kindle a fire: but as soon as it has illumined all around them, God takes away their light and leaves them in utter darkness, wherein they cannot see:",Muhammad Asad
25,2,18,"Deaf, dumb, blind - and they cannot turn back.",Muhammad Asad
26,2,19,"Or [the parable] of a violent cloudburst in the sky, with utter darkness, thunder and lightning: they put their fingers into their ears to keep out the peals of thunder, in terror of death; but God encompasses [with His might] all who deny the truth.",Muhammad Asad
27,2,20,"The lightning well-nigh takes away their sight; whenever it gives them light, they advance therein, and whenever darkness falls around them, they stand still. And if God so willed, He could indeed take away their hearing and their sight: for, verily, God has the power to will anything.",Muhammad Asad
28,2,21,"O MANKIND! Worship your Sustainer, who has created you and those who lived before you, so that you might remain conscious of Him",Muhammad Asad
29,2,22,"who has made the earth a resting-place for you and the sky a canopy, and has sent down water from the sky and thereby brought forth fruits for your sustenance: do not, then, claim that there is any power that could rival God, when you know [that He is One].",Muhammad Asad
30,2,23,"And if you doubt any part of what We have, bestowed from on high, step by step, upon Our servant [Muhammad], then produce a surah of similar merit, and call upon any other than God to bear witness for you -if what you say is true!",Muhammad Asad
31,2,24,And if you cannot do it-and most certainly you cannot do it-then be conscious of the fire whose fuel is human beings and stones which awaits all who deny the truth!,Muhammad Asad
32,2,25,"But unto those who have attained to faith and do good works give the glad tiding that theirs shall be gardens through which running waters flow. Whenever they are granted fruits there from as their appointed sustenance, they will say, ""It is this that in days of yore was granted to us as our sustenance!""-for they shall be given something that will recall that [past]. And there shall they have spouses pure, and there shall they abide.",Muhammad Asad
33,2,26,"Behold, God does not disdain to propound a parable of a gnat, or of something [even] less than that. Now, as for those who have attained to faith, they know that it is the truth from their Sustainer - whereas those who are bent on denying the truth say, ""What could God mean by this parable?"" In this way does He cause many a one to go astray, just as He guides many a one aright: but none does He cause thereby to go astray save the iniquitous,",Muhammad Asad
