sira,sure,ayet,metin,hoca
1,1,1,"In the Name of Allah—the Most Compassionate, Most Merciful.",Mustafa Khattab
2,1,2,"All praise is for Allah—Lord of all worlds,[1]",Mustafa Khattab
3,1,3,"the Most Compassionate, Most Merciful,",Mustafa Khattab
4,1,4,Master of the Day of Judgment.,Mustafa Khattab
5,1,5,You ˹alone˺ we worship and You ˹alone˺ we ask for help.,Mustafa Khattab
6,1,6,"Guide us along the Straight Path,",Mustafa Khattab
7,1,7,"the Path of those You have blessed—not those You are displeased with, or those who are astray.[1]",Mustafa Khattab
8,2,1,Alif-Lãm-Mĩm.[1],Mustafa Khattab
9,2,2,"This is the Book! There is no doubt about it[1]—a guide for those mindful ˹of Allah˺,[2]",Mustafa Khattab
10,2,3,"who believe in the unseen,[1] establish prayer, and donate from what We have provided for them,",Mustafa Khattab
11,2,4,"and who believe in what has been revealed to you ˹O Prophet˺[1] and what was revealed before you, and have sure faith in the Hereafter.",Mustafa Khattab
12,2,5,"It is they who are ˹truly˺ guided by their Lord, and it is they who will be successful.",Mustafa Khattab
13,2,6,"As for those who persist in disbelief, it is the same whether you warn them or not—they will never believe.",Mustafa Khattab
14,2,7,"Allah has sealed their hearts and their hearing, and their sight is covered. They will suffer a tremendous punishment.",Mustafa Khattab
15,2,8,"And there are some who say, ""We believe in Allah and the Last Day,"" yet they are not ˹true˺ believers.",Mustafa Khattab
16,2,9,"They seek to deceive Allah and the believers, yet they only deceive themselves, but they fail to perceive it.",Mustafa Khattab
17,2,10,"There is sickness in their hearts, and Allah ˹only˺ lets their sickness increase. They will suffer a painful punishment for their lies.",Mustafa Khattab
18,2,11,"When they are told, ""Do not spread corruption in the land,"" they reply, “We are only peace-makers!”[1]",Mustafa Khattab
19,2,12,"Indeed, it is they who are the corruptors, but they fail to perceive it.",Mustafa Khattab
20,2,13,"And when they are told, ""Believe as others believe,"" they reply, “Will we believe as the fools believe?” Indeed, it is they who are fools, but they do not know.",Mustafa Khattab
21,2,14,"When they meet the believers they say, ""We believe."" But when alone with their evil associates they say, “We are definitely with you; we were only mocking.”",Mustafa Khattab
22,2,15,"Allah will throw their mockery back at them, leaving them to continue wandering blindly in their defiance.",Mustafa Khattab
23,2,16,"They are the ones who trade guidance for misguidance. But this trade is profitless, and they are not ˹rightly˺ guided.",Mustafa Khattab
24,2,17,"Their example is that of someone who kindles a fire, but when it lights up all around them, Allah takes away their light, leaving them in complete darkness—unable to see.",Mustafa Khattab
25,2,18,"They are ˹wilfully˺ deaf, dumb, and blind, so they will never return ˹to the Right Path˺.",Mustafa Khattab
26,2,19,"Or ˹those caught in˺ a rainstorm from the sky with darkness, thunder, and lightning. They press their fingers into their ears at the sound of every thunder-clap for fear of death. And Allah encompasses the disbelievers ˹by His might˺.",Mustafa Khattab
27,2,20,"It is as if the lightning were about to snatch away their sight. Whenever lightning strikes, they walk in its light, but when darkness covers them, they stand still. Had Allah willed, He could have taken away their hearing and sight. Surely Allah is Most Capable of everything.",Mustafa Khattab
28,2,21,"O humanity! Worship your Lord, Who created you and those before you, so that you may become mindful ˹of Him˺.",Mustafa Khattab
29,2,22,"˹He is the One˺ Who has made the earth a place of settlement for you and the sky a canopy; and sends down rain from the sky, causing fruits to grow as a provision for you. So do not knowingly set up equals to Allah ˹in worship˺.",Mustafa Khattab
30,2,23,"And if you are in doubt about what We have revealed to Our servant,[1] then produce a sûrah like it and call your helpers other than Allah, if what you say is true.",Mustafa Khattab
31,2,24,"But if you are unable to do so—and you will never be able to do so—then fear the Fire fuelled with people and stones, which is prepared for the disbelievers.",Mustafa Khattab
32,2,25,"Give good news ˹O Prophet˺ to those who believe and do good that they will have Gardens under which rivers flow. Whenever provided with fruit, they will say, ""This is what we were given before,"" for they will be served fruit that looks similar ˹but tastes different˺. They will have pure spouses,[1] and they will be there forever.",Mustafa Khattab
33,2,26,"Surely Allah does not shy away from using the parable of a mosquito or what is even smaller. As for the believers, they know that it is the truth from their Lord. And as for the disbelievers, they argue, ""What does Allah mean by such a parable?"" Through this ˹test˺, He leaves many to stray, and guides many. And He leaves none to stray except the rebellious—",Mustafa Khattab
