sira,sure,ayet,metin,hoca
1,1,1,"In the name of GOD, Most Gracious, Most Merciful.",Rashad Khalifa
2,1,2,"Praise be to GOD, Lord of the universe.",Rashad Khalifa
3,1,3,"Most Gracious, Most Merciful.",Rashad Khalifa
4,1,4,Master of the Day of Judgment.,Rashad Khalifa
5,1,5,You alone we worship; You alone we ask for help.,Rashad Khalifa
6,1,6,Guide us in the right path:,Rashad Khalifa
7,1,7,"the path of those whom You blessed; not of those who have deserved wrath, nor of the strayers.",Rashad Khalifa
8,2,1,A.L.M.,Rashad Khalifa
9,2,2,This scripture is infallible; a beacon for the righteous;,Rashad Khalifa
10,2,3,"who believe in the unseen, observe the Contact Prayers (Salat) , and from our provisions **to them, they give to charity.",Rashad Khalifa
11,2,4,"And they believe in what was revealed to you, and in what was revealed before you , and with regard to the Hereafter, they are absolutely certain.",Rashad Khalifa
12,2,5,These are guided by their Lord; these are the winners.,Rashad Khalifa
13,2,6,"As for those who disbelieve, it is the same for them; whether you warn them, or not warn them, they cannot believe.,",Rashad Khalifa
14,2,7,"GOD seals their minds and their hearing, and their eyes are veiled. They have incurred severe retribution.",Rashad Khalifa
15,2,8,"Then there are those who say, ""We believe in GOD and the Last Day,"" while they are not believers.",Rashad Khalifa
16,2,9,"In trying to deceive GOD and those who believe, they only deceive themselves without perceiving.",Rashad Khalifa
17,2,10,"In their minds there is a disease. Consequently, GOD augments their disease. They have incurred a painful retribution for their lying.",Rashad Khalifa
18,2,11,"When they are told, ""Do not commit evil,"" they say, ""But we are righteous.""",Rashad Khalifa
19,2,12,"In fact, they are evildoers, but they do not perceive.",Rashad Khalifa
20,2,13,"When they are told, ""Believe like the people who believed,"" they say, ""Shall we believe like the fools who believed?"" In fact, it is they who are fools, but they do not know.",Rashad Khalifa
21,2,14,"When they meet the believers, they say, ""We believe,"" but when alone with their devils, they say, ""We are with you; we were only mocking.""",Rashad Khalifa
22,2,15,"GOD mocks them, and leads them on in their transgressions, blundering.",Rashad Khalifa
