sira,sure,ayet,metin,hoca
1,1,1,"In the name of God, the Almighty, the Merciful.",Sam Gerrans
2,1,2,"Praise belongs to God, the Lord of All Creation,",Sam Gerrans
3,1,3,"The Almighty, the Merciful,",Sam Gerrans
4,1,4,Master of the Day of Judgment.,Sam Gerrans
5,1,5,"Thee alone do we serve, and from Thee alone do we seek help.",Sam Gerrans
6,1,6,"Guide Thou us on the straight path,",Sam Gerrans
7,1,7,"The path of those whom Thou hast favoured; not of those who incur wrath, nor of those who go astray.",Sam Gerrans
8,2,1,alif lām mīm,Sam Gerrans
9,2,2,"That is the Writ about which there is no doubt, a guidance to those of prudent fear:",Sam Gerrans
10,2,3,"Those who believe in the Unseen, and uphold the duty, and of what We have provided them they spend;",Sam Gerrans
11,2,4,"And those who believe in what was sent down to thee, and what was sent down before thee, and of the Hereafter they are certain:",Sam Gerrans
12,2,5,Those are upon guidance from their Lord; and it is they who are the successful.,Sam Gerrans
13,2,6,"Those who ignore warning, it is the same to them whether thou hast warned them or thou hast not warned them; they do not believe:",Sam Gerrans
14,2,7,"God has sealed their hearts, and over their hearing and over their sight is a covering; and they have a great punishment.",Sam Gerrans
15,2,8,"And of men are some who say: “We believe in God and the Last Day,” but they are not believers.",Sam Gerrans
16,2,9,"They would deceive God and those who heed warning, but they deceive only themselves; and they perceive not.",Sam Gerrans
17,2,10,"In their hearts is disease, so God has increased their disease; and for them is a painful punishment because they have lied.",Sam Gerrans
18,2,11,"And when it is said to them: “Work not corruption in the land,” they say: “We are but those who do right.”",Sam Gerrans
19,2,12,"In truth, it is they who are the workers of corruption; but they perceive not.",Sam Gerrans
20,2,13,"And when it is said to them: “Believe as mankind has believed,” they say: “Shall we believe as the foolish have believed?” In truth, it is they who are the foolish; but they know not.",Sam Gerrans
21,2,14,"And when they meet those who heed warning, they say: “We believe.” But when they are alone with their satans, they say: “We are with you; we were only mocking!”",Sam Gerrans
22,2,15,"God mocks them, and increases them in wandering blindly in their inordinacy.",Sam Gerrans
23,2,16,"Those are they who bought error at the price of guidance, so their transaction profited not; and they were not guided.",Sam Gerrans
24,2,17,"Their likeness is as the likeness of one who kindled a fire: — when it had illuminated what was round about him, God took away their light and left them in darkness; they do not see.",Sam Gerrans
25,2,18,"Deaf, dumb, blind; so they will not return.",Sam Gerrans
26,2,19,"Or like a thundercloud from the sky wherein is darkness, and thunder, and lightning: they put their fingers in their ears against the thunderbolts in fear of death; but God encompasses the false claimers of guidance.",Sam Gerrans
27,2,20,"The lightning nigh snatches away their sight; whenever it gives them light, they walk therein; and when it darkens over them, they stand still. And had God willed, He would have taken away their hearing and their sight; God is over all things powerful.",Sam Gerrans
28,2,21,"O mankind: serve your Lord who created you, and those before you, that you might be in prudent fear;",Sam Gerrans
29,2,22,"Who made the earth for you a couch, and the sky a structure, and sent down from the sky water, then brought forth thereby fruits as provision for you; so make not equals to God when you know.",Sam Gerrans
30,2,23,"And if you are in doubt about what We have sent down upon Our servant, then bring a sūrah the like thereof; and call your witnesses other than God, if you be truthful.",Sam Gerrans
31,2,24,"But if you do not — and you will not — then be in prudent fear of the Fire, whose fuel is men and stones, prepared for the false claimers of guidance.",Sam Gerrans
32,2,25,"And bear thou glad tidings to those who heed warning and do righteous deeds, that they have gardens beneath which rivers flow; whenever they are provided with the fruit thereof they say: “This is what we were provided with before”; and they are given thereby a likeness; and they have therein purified spouses; and they abide therein eternally.",Sam Gerrans
33,2,26,"God is not ashamed to strike a similitude, be it of a gnat or of what is above it. Then as for those who heed warning: they know that it is the truth from their Lord; and as for those who ignore warning: they say: “What means God by this similitude?” He leads astray many thereby, and He guides many thereby; and He leads astray thereby only the perfidious:",Sam Gerrans
34,2,27,"Those who break the covenant with God after its agreement, and sever what God commanded to be joined, and work corruption in the land; it is they who are the losers.",Sam Gerrans
35,2,28,"How can you deny God? When you were dead, He gave you life; then will He give you death; then will He give you life; then to Him will you be returned.",Sam Gerrans
36,2,29,He it is that created for you all that is in the earth; then He directed Himself to the sky and fashioned them seven heavens; and He knows all things.,Sam Gerrans
37,2,30,"And when thy Lord said to the angels: “I am placing in the earth a successor,” they said: “Wilt Thou place therein one who will do harm therein, and shed blood, while we give glory with Thy praise and hallow Thee?” He said: “I know what you know not.”",Sam Gerrans
38,2,31,"And He taught Adam the names, all of them; then He presented them to the angels and said: “Inform Me of the names of these, if you be truthful.”",Sam Gerrans
39,2,32,"They said: “Glory be to Thee! We have no knowledge save what Thou hast taught us; Thou art the Knowing, the Wise.”",Sam Gerrans
40,2,33,"He said: “O Adam: inform thou them of their names.” And when he had informed them of their names, He said: “Said I not to you that I know the unseen of the heavens and the earth? And I know what you reveal, and what you have concealed.”",Sam Gerrans
41,2,34,"And when We said to the angels: “Submit to Adam,” then they submitted. Not so Iblīs; he refused, and had waxed proud, and was of the false claimers of guidance.",Sam Gerrans
42,2,35,"And We said: “O Adam: dwell thou and thy wife in the garden, and eat thereof freely wheresoever you will; but approach not this tree lest you be of the wrongdoers.”",Sam Gerrans
43,2,36,"But the satan caused them to fall therefrom, and turned them out of what they were in; and We said: “Get you all down, an enemy to one another; and for you in the earth are a dwelling-place and provision for a time.”",Sam Gerrans
44,2,37,"Then received Adam words from his Lord, and He turned towards him; He is the Accepting of Repentance, the Merciful.",Sam Gerrans
45,2,38,"We said: “Get you down from it all together. And if there comes to you guidance from Me, whoso follows My guidance: no fear will be upon them, nor will they grieve.",Sam Gerrans
46,2,39,“But those who ignore warning and deny Our proofs: those are the companions of the Fire; therein they abide eternally.”,Sam Gerrans
47,2,40,"O children of Israel: remember My favour wherewith I favoured you; and fulfil the covenant with Me, and I will fulfil the covenant with you; and Me — be you in fear of Me.",Sam Gerrans
48,2,41,"And believe in what I have sent down confirming what is with you, and be not the first to deny it; and sell not My proofs at a cheap price; and Me — be you in prudent fear of Me.",Sam Gerrans
49,2,42,"And clothe not truth with vanity, nor conceal the truth when you know.",Sam Gerrans
50,2,43,"And uphold the duty, and render the purity, and be lowly with the lowly.",Sam Gerrans
51,2,44,"Enjoin you virtue upon mankind, and forget yourselves when you recite the Writ? Will you then not use reason!",Sam Gerrans
52,2,45,And seek help in patience and duty; and it is hard save for the humble:,Sam Gerrans
53,2,46,"Those who consider that they will meet their Lord, and that to Him they are returning.",Sam Gerrans
54,2,47,"O children of Israel: remember My favour wherewith I favoured you, and that I preferred you above all mankind.",Sam Gerrans
55,2,48,"And be in prudent fear of a day no soul will avail a soul anything, nor will intercession be accepted from it, nor will compensation be taken from it; nor will they be helped.",Sam Gerrans
56,2,49,"And when We delivered you from the house of Pharaoh: they were afflicting you with an evil punishment, slaughtering your sons and sparing your women; and in that was a great trial from your Lord.",Sam Gerrans
57,2,50,"And when We divided for you the sea, and delivered you, and drowned the house of Pharaoh — and you were looking on.",Sam Gerrans
58,2,51,And when We appointed for Moses forty nights; then you took up the calf while he was away; and you were wrongdoers.,Sam Gerrans
59,2,52,"Then We pardoned you after that, that you might be grateful.",Sam Gerrans
60,2,53,"And when We gave Moses the Writ and the Division, that you might be guided.",Sam Gerrans
61,2,54,"And when Moses said to his people: “O my people: you have wronged your souls by your taking up the calf. So turn to your Creator and kill yourselves; that is best for you in the sight of your Creator.” Then He turned towards you; He is the Accepting of Repentance, the Merciful.",Sam Gerrans
62,2,55,And when you said: “O Moses: we will not believe thee until we see God openly”; and the thunderbolt took you — and you were looking on.,Sam Gerrans
63,2,56,"Then We raised you up after your death, that you might be grateful.",Sam Gerrans
64,2,57,"And We caused the cloud to overshadow you; and We sent down upon you manna and quails: “Eat of the good things that We have provided you.” And they wronged Us not, but they wronged their souls.",Sam Gerrans
65,2,58,"And when We said: “Enter this city, and eat freely of it wheresoever you will. And enter the gate in submission, and say: ‘A mitigation!’ We will forgive you your offences, and will increase the doers of good.”",Sam Gerrans
66,2,59,"Then those who did wrong changed the saying to other than what was said to them, so We sent down a scourge from the sky upon those who did wrong because they were perfidious.",Sam Gerrans
67,2,60,"And when Moses sought water for his people; so We said: “Strike thou with thy staff the rock,” then there gushed therefrom twelve springs; each people knew its drinking-place: “Eat and drink of the provision of God, and commit not evil in the earth, working corruption.”",Sam Gerrans
68,2,61,"And when you said: “O Moses: we will not endure one food, so call thou to thy Lord for us that He bring forth for us of what the earth grows of its green herbs, and its cucumbers, and its garlic, and its lentils, and its onions.” He said: “Would you exchange for what is worse what is better? Get you down to Egypt, and you will have what you have asked.” And humiliation and wretchedness were pitched upon them; and they incurred wrath from God, for it is that they denied the proofs of God! And they killed the prophets without cause, for it is that they opposed and they exceeded all bounds!",Sam Gerrans
69,2,62,"(Those who heed warning, and those who hold to Judaism, and the Christians, and the Sabaeans — whoso believes in God and the Last Day and works righteousness — they have their reward with their Lord, and no fear will be upon them, nor will they grieve.)",Sam Gerrans
70,2,63,"And when We took your agreement and raised the mount above you: “Hold fast what We have given you, and remember what is therein, that you might be in prudent fear.”",Sam Gerrans
71,2,64,"Then you turned away after that; and were it not for the bounty of God upon you and His mercy, you would have been among the losers.",Sam Gerrans
72,2,65,And you had known those among you who transgressed the Sabbath; and We said to them: “Be despised apes!”,Sam Gerrans
73,2,66,"And We made it an exemplary lesson for their time, and that following it, and an admonition to those of prudent fear.",Sam Gerrans
74,2,67,"And when Moses said to his people: “God commands you that you sacrifice a heifer,” they said: “Dost thou take us in mockery?” He said: “I seek refuge in God lest I be of the ignorant.”",Sam Gerrans
75,2,68,"They said: “Call thou to thy Lord for us, that He make plain to us what she is.” He said: “He says: ‘She is a heifer neither old nor young, middling between that,’ so do what you are commanded.”",Sam Gerrans
76,2,69,"They said: “Call thou to thy Lord for us that He make plain to us what her hue is.” He said: “He says: ‘She is a yellow heifer; bright is her hue, making glad the beholders.’”",Sam Gerrans
77,2,70,"They said: “Call thou to thy Lord for us that He make plain to us what she is; heifers seem alike to us; and, if God wills, we will be guided.”",Sam Gerrans
78,2,71,"He said: “He says: ‘She is a heifer neither broken to plough the earth nor to water the tilth, perfect, no blemish on her.’” They said: “Now hast thou brought the truth.” Then they sacrificed her, but they had hardly done it.",Sam Gerrans
79,2,72,"And when you killed a soul: you disputed about it, but God was to bring forth what you concealed,",Sam Gerrans
80,2,73,"And We said: “Strike it in some of them.” Thus gives God life to the dead, and shows His proofs to you, that you might use reason.",Sam Gerrans
81,2,74,"Then your hearts became hardened after that; and they are like stones or harder. And among stones is that from which gush forth rivers, and among them are those that split and water issues forth, and among them are those that fall down from fear of God; and God is not unmindful of what you do.",Sam Gerrans
82,2,75,"Do you hope that they will believe you? And a faction among them had heard the word of God, then twisted it after they had understood it, when they knew.",Sam Gerrans
83,2,76,"And when they meet those who heed warning, they say: “We believe.” But when they are alone with one another, they say: “Do you recount to them what God has revealed to you, that they might argue against you before your Lord?” Will you then not use reason!",Sam Gerrans
84,2,77,Or know they not that God knows what they keep secret and what they make known?,Sam Gerrans
85,2,78,And among them are those unschooled: they know not the Writ save vain desires; and they are only assuming.,Sam Gerrans
86,2,79,"So woe to those who write the Writ with their hands, then say: “This is from God,” that they might sell it at a cheap price; so woe to them for what their hands have written, and woe to them for what they earn.",Sam Gerrans
87,2,80,And they say: “The Fire will not touch us save days numbered.” Say thou: “Have you taken a covenant with God — for God will not fail in His covenant — or do you ascribe to God what you know not?”,Sam Gerrans
88,2,81,"Verily, whoso earns evil, and his offences have encompassed him: those are the companions of the Fire; therein they abide eternally.",Sam Gerrans
