sira,sure,ayet,metin,hoca
1,1,1,Rahman ve rahim olan Allah'ın adıyla,Suat Yıldırım
2,1,2,"Bütün hamdler, övgüler alemlerin Rabbi Allah'adır.",Suat Yıldırım
3,1,3,"O rahmandır, rahimdir.",Suat Yıldırım
4,1,4,"Din gününün, hesap gününün tek hakimidir.",Suat Yıldırım
5,1,5,"(Haydi öyleyse deyiniz): ""Yalnız Sana ibadet eder, yalnız senden medet umarız.""",Suat Yıldırım
6,1,6,"Bizi doğru yola, Sana doğru varan yola ilet.",Suat Yıldırım
7,1,7,Nimet ve lütfuna nail ettiklerinin yoluna ilet. Gazaba uğrayanların ve sapkınlarınkine değil.,Suat Yıldırım
8,2,1,"Elif, Lam, Mim.",Suat Yıldırım
9,2,2,İşte Kitap! Şüphe yoktur onda. Rehberdir müttakilere!,Suat Yıldırım
10,2,3,O müttakiler ki görünmeyen aleme inanırlar. Namazlarını tam dikkatle ifa ederler. Kendilerine ihsan ettiğimiz nimetlerden hayır yolunda harcarlar.,Suat Yıldırım
11,2,4,"Hem sana indirilen kitabı, hem de senden önce indirilen kitapları tasdik ederler. Ahirete de kesin olarak onlar inanırlar.",Suat Yıldırım
12,2,5,İşte bunlardır Rableri tarafından doğru yola ulaştırılanlar. Ve işte bunlardır felah bulanlar.,Suat Yıldırım
13,2,6,"İnkara saplananları ise ister uyar ister uyarma onlar için birdir, imana gelmezler.",Suat Yıldırım
14,2,7,Allah onların kalplerini ve kulaklarını mühürlemiştir. Gözlerine de bir perde inmiştir. Bunların hakkı büyük bir azaptır.,Suat Yıldırım
15,2,8,"Öyle insanlar da vardır ki ""Allah'a ve ahiret gününe inandık."" derler; Oysa iman etmemişlerdir.",Suat Yıldırım
16,2,9,Akılları sıra Allah'ı ve iman edenleri aldatmayı kurarlar. Kendilerinden başkasını aldatamazlar da farkında değiller.,Suat Yıldırım
17,2,10,Kalplerinde bir hastalık vardır. Allah da onların hastalıklarını daha da ilerletti. Bu yalancılık (ve samimiyetsizlikleri) sebebiyle bunlara gayet acı bir ceza vardır.,Suat Yıldırım
18,2,11,"Ne zaman onlara: ""Yeryüzüne fesat saçmayın!"" denilse ""Biz sadece barışçıyız, ortalığı düzeltmekten başka işimiz yok!"" derler.",Suat Yıldırım
19,2,12,"Gözünüzü açın, bunlar bozguncuların ta kendileridir, lakin şuurları yok, farkında değiller.",Suat Yıldırım
20,2,13,"Ne zaman onlara: ""Şu güzel insanların iman ettiği gibi siz de iman edin."" denilse ""Yani o beyinsizlerin inandıkları gibi mi inanalım?"" derler. Asıl beyinsizler kendileridir de farkında değiller.",Suat Yıldırım
21,2,14,"Bunlar iman edenlerle karşılaştıkları vakit ""Biz de müminiz"" derler. Fakat şeytanlarıyla başbaşa kaldıklarında da: ""Emin olun, biz sizinle beraberiz, biz onlarla alay ediyoruz."" derler.",Suat Yıldırım
22,2,15,Allah da kendileriyle alay eder ve azgınlıklarında onlara mühlet verir; böylece onlar bir müddet başıboş dolaşırlar.,Suat Yıldırım
23,2,16,"İşte onlar hidayeti verip, dalalet satın aldılar. Ama bu, karlı bir ticaret olmadı. Çünkü kar yolunu tutmadılar.",Suat Yıldırım
24,2,17,"Bunların durumu, aydınlanmak için ateş yakan bir kimsenin durumuna benzer. Ateş çevresini aydınlatır aydınlatmaz, Allah onların gözlerinin nurunu giderir ve karanlıklar içinde bırakır, onlar da göremez olurlar.",Suat Yıldırım
25,2,18,"Sağır, dilsiz ve kördürler onlar. Onun için hakka dönmezler.",Suat Yıldırım
