sira,sure,ayet,metin,hoca
1,1,1,"İyiliği sonsuz, ikramı bol Allah'ın adıyla...[1]",Süleymaniye Vakfı
2,1,2,Her şeyi mükemmel yapmak Allah'a özgüdür[1]. O bütün varlıkların Rabbi[2]/Sahibidir.,Süleymaniye Vakfı
3,1,3,"İyiliği sonsuz, ikramı bol olandır.",Süleymaniye Vakfı
4,1,4,Yapılan her şeyin karşılığını bulacağı[1] günün tek yetki sahibidir[2].,Süleymaniye Vakfı
5,1,5,(Allah'ım!) Kulluğu[1] doğrudan sana yaparız. Yardımı da doğrudan senden isteriz[2].,Süleymaniye Vakfı
6,1,6,Bizi doğru yoluna[1] kabul et;,Süleymaniye Vakfı
7,1,7,Nimet verdiğin kimselerin[1] yoluna; öfkeni hak etmemiş[2] ve sapıtmamış[3] olanların yoluna!(Amin)[4],Süleymaniye Vakfı
8,2,1,Elif-Lam-Mim[1]!,Süleymaniye Vakfı
9,2,2,İşte (beklenen) o Kitap![1] Onda hiçbir şüphe yoktur.[2] Müttakiler[3] /yanlışlardan sakınanlar için bir rehberdir.[4],Süleymaniye Vakfı
10,2,3,"Allah'a içten[1] inanan,[2] namazı düzgün ve sürekli kılan,[3] kendilerine rızık olarak verdiklerimizden infak eden /hayra harcayan,[4]",Süleymaniye Vakfı
11,2,4,"sana indirilene de senden önce indirilenlere de inanıp güvenen[1] ve ahirete inançları kesin olanlar var ya,",Süleymaniye Vakfı
12,2,5,"işte onlar Rablerinden /Sahiplerinden[1] gelen rehbere uymuş olanlardır. Onlar, umduklarına kavuşacak olanlardır.",Süleymaniye Vakfı
13,2,6,Kafirlik edenleri /ayetleri görmezlikte direnenleri[1] uyarsan da uyarmasan da onlar için fark etmez; inanıp güvenmezler.[2],Süleymaniye Vakfı
14,2,7,"(Sanki) Allah kalplerini ve kulaklarını mühürlemiş, gözlerinin üzerine de perde inmiştir![1] Onlar için büyük bir azap vardır.",Süleymaniye Vakfı
15,2,8,"İnsanlardan öylesi de vardır ki ""Allah'a ve ahiret gününe inandık."" derler. Halbuki onlar inanıp güvenmiş değildirler.[1]",Süleymaniye Vakfı
