sira,sure,ayet,metin,hoca
1,1,1,"İyiliği sonsuz, ikramı bol Allah’ın adıyla,",Süleymaniye Vakfı (Eski Baskı)
2,1,2,"Her şeyi güzel yapan yalnız Allah'tır.[1] O, bütün varlıkların Sahibidir.[2]",Süleymaniye Vakfı (Eski Baskı)
3,1,3,"İyiliği sonsuz, ikramı boldur.",Süleymaniye Vakfı (Eski Baskı)
4,1,4,Hesap verme[1] gününde yetki O'nundur.,Süleymaniye Vakfı (Eski Baskı)
5,1,5,"(Allahım) Kulluğu yalnız Sana yapar, yardımı yalnız Senden isteriz.",Süleymaniye Vakfı (Eski Baskı)
6,1,6,Bizi doğru yoluna kabul et;,Süleymaniye Vakfı (Eski Baskı)
7,1,7,Mutluluk verdiğin kimselerin yoluna. Gazaba uğramamış ve sapıtmamış olanların yoluna. (Amin)[1],Süleymaniye Vakfı (Eski Baskı)
8,2,1,ELİF! LÂM! MÎM![1],Süleymaniye Vakfı (Eski Baskı)
9,2,2,İşte o Kitap[1] budur; içinde şüpheye yer yoktur. Müttakiler için rehberdir.,Süleymaniye Vakfı (Eski Baskı)
10,2,3,"Allah'a içten[1] inanan,[2] namazı düzgün ve sürekli kılan[3] ve verdiğimiz rızıkları yerli yerince harcayanlar,",Süleymaniye Vakfı (Eski Baskı)
11,2,4,"Sana indirilene de senden önce indirilenlere[1] de inanıp güvenenler ve ahiret konusunda kesin bir kanaate varanlar,",Süleymaniye Vakfı (Eski Baskı)
12,2,5,Sahiplerinin (Rablerinin)[1] doğru yolunda olanlar onlardır. Umduklarını bulacak olanlar da onlardır.,Süleymaniye Vakfı (Eski Baskı)
13,2,6,Kafirleri (ayetleri görmezlikten gelenleri)[1] uyarsan da uyarmasan da fark etmez; onlar inanıp güvenmezler.,Süleymaniye Vakfı (Eski Baskı)
14,2,7,"Sanki kalplerini ve kulaklarını Allah mühürlemiş, gözleri de perdelidir[1]. Onların hak ettiği büyük bir azaptır.",Süleymaniye Vakfı (Eski Baskı)
15,2,8,"Kimi insanlar da ‘Allah'a ve ahiret gününe inanırız."" derler ama inanıp güvenmezler.",Süleymaniye Vakfı (Eski Baskı)
16,2,9,"Allah'a ve müminlere karşı oyun kurarlar,[1] fakat farkında olmadan oyunu kendilerine karşı kurarlar.",Süleymaniye Vakfı (Eski Baskı)
17,2,10,Bunların kalplerinde hastalık vardır; Allah bir hastalık daha vermiştir. Yalan söylemelerine karşılık hak ettikleri acıklı bir azaptır.[1],Süleymaniye Vakfı (Eski Baskı)
18,2,11,"11. Onlara: ""Tabii düzeni bozmayın!""[1] denince, ""Biz sadece düzeni sağlayan kimseleriz."" derler.",Süleymaniye Vakfı (Eski Baskı)
19,2,12,"Dikkat edin, düzeni bozanlar onlardır ama farkında olmazlar.",Süleymaniye Vakfı (Eski Baskı)
20,2,13,"Onlara: ‘Allah'a, diğer insanların güvendiği gibi güvenin."" denince: ""O akılsızların güvendiği gibi mi güveneceğiz?"" derler. Dikkat edin, asıl akılsızlar onlardır ama bilmezler.",Süleymaniye Vakfı (Eski Baskı)
21,2,14,"Allah'a inanıp güvenenlerle yüz yüze gelince, ""Biz O'na inanıp güveniriz."" derler. Şeytanlarıyla[1] baş başa kalınca, ""inanın biz sizin yanınızdayız, onlara sadece göz yumuyoruz!"" derler.",Süleymaniye Vakfı (Eski Baskı)
22,2,15,Taşkınlıkları içinde bocalayıp dururlarken onlara fırsat vererek göz yuman Allah'tır.[1],Süleymaniye Vakfı (Eski Baskı)
23,2,16,"Onlar, doğruyu(hidayeti) verip yanlışı(dalaleti) alanlardır. Doğru yolda olmadan,[1] yaptıkları ticaret kazanç getirmez.",Süleymaniye Vakfı (Eski Baskı)
24,2,17,"Tıpkı bir meşale yakmak isteyen kişiye benzerler. Meşale çevresini aydınlatınca sanki Allah, gözlerini kör etmiş ve onlan karanlıklar içinde bırakmış da bir şey göremez hale gelmişlerdir.[1]",Süleymaniye Vakfı (Eski Baskı)
25,2,18,"Sağır, dilsiz ve kör kesilirler; artık geri dönmezler[1].",Süleymaniye Vakfı (Eski Baskı)
26,2,19,"Karanlıkların her yanı kapladığı, göğün gürlediği ve şimşeklerin çaktığı bir yerde, bardaktan boşanırcasına yağmura tutulmuş bir kimseye de benzerler; şiddetli gürültüden ölecekleri korkusuyla parmaklarını kulaklarına tıkarlar. O kafirleri[1] çevreleyen her şeyi bilen[2] Allah'tır",Süleymaniye Vakfı (Eski Baskı)
27,2,20,"O şimşek (Kur'an nuru), gözlerini söküp çıkaracak gibi olur. Ne zaman önlerini aydınlatsa yürürler, gözlerini kamaştırınca da kalakalırlar[1]. Allah cezalandırmayı tercih etseydi[2] onları tümüyle kör ve sağır ederdi[3]. Ama her şeye bir ölçü koyan Allah'tır[4].",Süleymaniye Vakfı (Eski Baskı)
28,2,21,"Ey insanlar, sizi ve sizden öncekileri yaratan Sahibinize (Rabbinize) kul olun ki kendinizi koruyasınız.",Süleymaniye Vakfı (Eski Baskı)
29,2,22,"Yeryüzünü sizin için dayalı döşeli hale getiren, göğü de bir bina gibi yapılandıran O'dur. Gökten su indirir de onunla oluşan ürünlerden size yiyecek çıkarır. Öyleyse bile bile, Allah'a benzer nitelikte varlıklar uydurmayın[1]",Süleymaniye Vakfı (Eski Baskı)
30,2,23,Kulumuza (Muhammed'e) parça parça indirdiğimiz şeyden şüpheniz varsa Allah ile aranıza koyduğunuz[1] ulu kişilerinize[2] yalvarın da ondakine denk bir sure getirin. İddianızda haklı iseniz yaparsınız!,Süleymaniye Vakfı (Eski Baskı)
31,2,24,Bunu yapmazsanız ki asla yapamayacaksınız; o zaman tutuşturucusu insanlar ve taşlar olan o ateşe karşı kendinizi koruyun. Orası kafirler[1] için hazırlanmıştır.,Süleymaniye Vakfı (Eski Baskı)
32,2,25,"İnanan ve iyi işleri yapanlara da müjde ver: İçinden ırmaklar akan bahçeler onlar içindir. Kendilerine hangi üründen sunulsa: ""Bu bize daha önce de sunulmuştu."" derler; ama onlara onun bir benzeri verilir. Orada kusursuz hale getirilmiş[1] eşleri de olur ve ölümsüz olarak kalırlar.",Süleymaniye Vakfı (Eski Baskı)
33,2,26,"Allah hiçbir şeyi örnek vermekten çekinmez, bir sivrisinek de daha üstü de olabilir. Allah'a güvenenler bilirler ki o, Sahipleri (Rableri) tarafından verilmiş doğru örnektir. Kafirler[1] ise şöyle derler: ""Ne yani, Allah böyle bir örnekle neyi amaçlamış olabilir!"" Bu yolla Allah, birçoğunun sapıttığına, birçoğunun da yola geldiğine karar verir. Sapıttığına karar verdikleri sadece (fasıklar) yoldan çıkmış olanlardır.",Süleymaniye Vakfı (Eski Baskı)
34,2,27,"Fasıklar, Allah'a verdikleri sözün kesinleşmesinden sonra Allah'ın birleştirilmesini emrettiğini ayırarak[1] ve tabii düzeni bozarak sözlerinden cayanlardır.[2] Zarar edenler işte onlardır.",Süleymaniye Vakfı (Eski Baskı)
35,2,28,"Allah'a karşı nasıl iyilik bilmez olursunuz! Cansız haldeydiniz, size canı O verdi! Sonra sizi cansız hale getirecek ve yeniden can verecektir.[1] Sonra O'nun huzuruna çıkarılacaksınız.",Süleymaniye Vakfı (Eski Baskı)
36,2,29,Yerin içinde olan her şeyi sizin için yaratan O'dur. Sonra göğe yönelmiş ve onları yedi gök olarak düzenlemiştir.[1] Her şeyi bilen O'dur.,Süleymaniye Vakfı (Eski Baskı)
37,2,30,"Sahibin (Rabbin) bir gün meleklere, ""Yeryüzünde bir muhalif varlık[1] yaratıyorum."" dedi. Melekler, ""Orada tabii düzeni bozacak ve kan dökecek bir varlık mı oluşturuyorsun? Ama sen yaptığını güzel yaparsın, sana içten boyun eğmemiz bundandır. Senden dolayı onu değerli sayarız.""[2] dediler. Allah: ""Ben sizin bilmediklerinizi bilirim!"" dedi.",Süleymaniye Vakfı (Eski Baskı)
38,2,31,"Âdem'e her varlığın ismini (neye yaradığını) öğretti,[1] sonra onları meleklere gösterdi: ""İddianızda haklıysanız bana şunların isimlerini söyleyin!"" dedi.",Süleymaniye Vakfı (Eski Baskı)
39,2,32,"Melekler, ""Biz sana içten boyun eğeriz, bizde senin öğrettiğin dışında bilgi olmaz. Her şeyi bilen ve kararları doğru olan Sensin."" dediler.",Süleymaniye Vakfı (Eski Baskı)
40,2,33,"Bunun üzerine Allah, ""Âdem! Meleklere şunların isimlerini (neye yaradıklarını) söyle!"" dedi. Âdem onlara o isimleri söyleyince, ""Size dememiş miydim, ben göklerin ve yerin gaybını[1] (gizlisini, saklısını) bilirim. Neyi açığa vurduğunuzu, içinizde neyi sakladığınızı[2] da bilirim."" dedi.",Süleymaniye Vakfı (Eski Baskı)
41,2,34,"Meleklere ""Âdem'e secde edin!"" dediğimizde hemen secdeye kapandılar ama İblis öyle yapmadı, büyüklenerek direndi ve kafirlerden[1]  oldu.",Süleymaniye Vakfı (Eski Baskı)
42,2,35,"Dedik ki: ""Âdem! Sen eşinle birlikte şu bahçeye[1] yerleş; beğendiğiniz yerden çekinmeden[2] yiyin ama şu ağaca yaklaşmayın, yoksa yanlış yapmış[3] olursunuz"".",Süleymaniye Vakfı (Eski Baskı)
43,2,36,"Sonra Şeytan, o ağaç yüzünden ayaklarını kaydırdı da onları bulundukları yerden çıkardı. Onlara şöyle dedik: ""İnin oradan! Biriniz diğerinin hakkına göz dikecek.[1] Sizin için bu topraklarda yerleşecek yer ve bir süreye kadar geçineceğiniz şeyler bulunacaktır"".",Süleymaniye Vakfı (Eski Baskı)
44,2,37,"Âdem Sahibinden (Rabbinden) uyarılar aldı[1] (ve tevbe etti). Sahibi (Rabbi) de tevbesini kabul etti. Dönüş yapanı (tevbe edeni) kabul eden, ikramı bol olan O'dur.",Süleymaniye Vakfı (Eski Baskı)
