sira,sure,ayet,metin,hoca
1,1,1,"With the name of Allah, the All-Merciful, the Very-Merciful.",Taqi Usmani
2,1,2,"Praise belongs to Allah, the Lord of all the worlds.",Taqi Usmani
3,1,3,"the All-Merciful, the Very Merciful.",Taqi Usmani
4,1,4,the Master of the Day of Requital.,Taqi Usmani
5,1,5,"You alone do we worship, and from You alone do we seek help.",Taqi Usmani
6,1,6,Take us on the straight path.,Taqi Usmani
7,1,7,"the path of those on whom You have bestowed Your Grace, not of those who have incurred Your wrath, nor of those who have gone astray.",Taqi Usmani
8,2,1,Alif. Lām. Mīm.,Taqi Usmani
9,2,2,"This Book has no doubt in it - a guidance for the God-fearing,",Taqi Usmani
10,2,3,"who believe in the Unseen, and are steadfast in Salāh (prayer), and spend out of what We have provided them;",Taqi Usmani
11,2,4,and who believe in what has been revealed to you and what has been revealed before you; and they have faith in the Hereafter.,Taqi Usmani
12,2,5,It is these who are guided by their Lord; and it is just these who are successful.,Taqi Usmani
13,2,6,"Surely for those who have disbelieved, it is all the same whether you warn them or you warn them not: they do not believe.",Taqi Usmani
14,2,7,"Allah has set a seal on their hearts and on their hearing; and on their eyes there is a covering, and for them awaits a mighty punishment.",Taqi Usmani
15,2,8,"And among men there are some who say, ""We believe in Allah and in the Last Day"", yet they are not believers.",Taqi Usmani
16,2,9,"They try to deceive Allah and those who believe, while they are not deceiving anyone except themselves, although they are unaware of it.",Taqi Usmani
17,2,10,"In their hearts there is a malady, so Allah has made them grow in their malady; and for them there is a grievous punishment, because they have been lying.",Taqi Usmani
18,2,11,"When it is said to them, ""Do not spread disorder on the earth"", they say, “We are but reformers.”",Taqi Usmani
19,2,12,"Beware, it is, in fact, they who spread disorder, but they do not appreciate.",Taqi Usmani
20,2,13,"And when it is said to them, ""Believe as people have believed,"" they say, “Shall we believe as the fools have believed?” Beware, it is, in fact, they who are the fools, but they do not know.",Taqi Usmani
21,2,14,"When they meet those who believe, they say, ""We have entered Faith;"" but when they are alone with their satans, they say, “Indeed, we are with you; we were only mocking.”",Taqi Usmani
22,2,15,"It is Allah who mocks at them, and lets them go on wandering blindly in their rebellion.",Taqi Usmani
23,2,16,"These are the people who have bought error at the price of guidance; so their trade has brought no gain, nor have they reached the right Path.",Taqi Usmani
24,2,17,"Their situation is like that of a man who kindles a fire, and when it illuminates everything around him, Allah takes away their lights and leaves them in layers of darkness, so that they see nothing.",Taqi Usmani
25,2,18,"Deaf, dumb and blind, they shall not return.",Taqi Usmani
26,2,19,"Or (it is) like a rainstorm from the sky, bringing darkness, thunder and lightning; they thrust their fingers in their ears against the thunderclaps for fear of death, -and Allah encompasses the disbelievers.",Taqi Usmani
27,2,20,"and lightning (all but) snatches away their eyesight; every time a flash gives them light, they walk by it; and when darkness falls upon them, they stand still. And if Allah willed, He would certainly take away their hearing and their eyes: surely Allah is powerful to do anything.",Taqi Usmani
28,2,21,"O people, worship your Lord who created you and those before you, so that you may become God-fearing.",Taqi Usmani
29,2,22,"He is the One who made the earth a bed for you, and the sky a roof, and sent down water from the sky, then brought forth with it fruits, as a provision for you. So, do not set up parallels to Allah when you know.",Taqi Usmani
30,2,23,"If you are in doubt about what We have revealed to Our servant, then bring a Sūrah similar to this, and do call your supporters other than Allah, if you are true.",Taqi Usmani
31,2,24,"But if you do not - and you will never be able to - then guard yourselves against the Fire, the fuel of which will be men and stones. It has been prepared for disbelievers.",Taqi Usmani
32,2,25,"And give good news to those who believe and do righteous deeds that for them there are gardens beneath which rivers flow. Every time they are given a fruit from there to eat, they will say, ""This is what we have been given before""; and they will be given (fruits) resembling one another. And for them there shall be wives purified; and there they will live forever.",Taqi Usmani
33,2,26,"Indeed, Allah does not feel shy in citing any parable, be it that of a gnat or of something above it (in meanness). Now, as for those who believe, they know it is the truth from their Lord; while those who disbelieve say, ""What could Allah have meant by this parable?"" By this He lets many go astray, and by this He makes many find guidance. But He does not let anyone go astray thereby except those who are sinful",Taqi Usmani
34,2,27,"- those who break the Covenant of Allah after it has been made binding, and cut off the relations Allah has commanded to be joined, and spread disorder on the earth - it is these who are the losers.",Taqi Usmani
35,2,28,"""How is it that you deny Allah, while you were lifeless and He gave you life; then He will make you die, and then He will make you live again, and then to Him you will be returned?",Taqi Usmani
36,2,29,It is He who created for you all that the earth contains; then He turned to the heavens and made them seven skies - and He is the knower of all things.,Taqi Usmani
37,2,30,"(Remember) when your Lord said to the angels, ""I am going to create a deputy on the earth!"" They said, “Will You create there one who will spread disorder on the earth and cause bloodshed, while we proclaim Your purity, along with your praise, and sanctify Your name?” He said, “Certainly, I know what you know not.”",Taqi Usmani
38,2,31,"And He taught ’Ādam the names, all of them; then presented them before the angels, and said, ""Tell me their names, if you are right.""",Taqi Usmani
39,2,32,"They said, ""To You belongs all purity! We have no knowledge except what You have given us. Surely, You alone are the All-knowing, All-wise.""",Taqi Usmani
40,2,33,"He said, ""O ’Ādam, tell them the names of all these."" When he told them their names, Allah said, “Did I not tell you that I know the secrets of the skies and of the earth, and that I know what you disclose and what you conceal.",Taqi Usmani
41,2,34,"And when We said to the angels: ""Prostrate yourselves before ’Ādam!"" So, they prostrated themselves, all but Iblīs (Satan). He refused, and became one of the infidels.",Taqi Usmani
42,2,35,"And We said, ""O ’Ādam, dwell, you and your wife, in Paradise; and eat at pleasure wherever you like, but do not go near this tree, otherwise you will be (counted) among the transgressors.""",Taqi Usmani
43,2,36,"Then, Satan caused them to slip from it, and brought them out of where they had been. And We said, ""Go down, all of you, some of you the enemies of others; and on the earth there will be for you a dwelling place and enjoyment for a time.""",Taqi Usmani
44,2,37,"Then ’Ādam learned certain words (to pray with) from his Lord; so, Allah accepted his repentance. No doubt, He is the Most-Relenting, the Very-Merciful.",Taqi Usmani
45,2,38,"We said, ""Go down from here, all of you. Then, should some guidance come to you from Me, those who follow My guidance shall have no fear, nor shall they grieve.",Taqi Usmani
46,2,39,"As for those who disbelieve, and deny Our signs, they are the people of the Fire. They shall dwell in it forever.""",Taqi Usmani
47,2,40,"O Children of Isrā’īl (the Israelites), remember My blessing that I conferred upon you, and fulfill the covenant with Me, and I shall fulfill your covenant, and have awe of Me alone.",Taqi Usmani
48,2,41,"And have faith in what I have revealed, confirming what is already with you, and do not be the first to deny it, nor take a paltry price for My verses. Fear Me alone.",Taqi Usmani
49,2,42,"and do not confound truth with falsehood, and do not hide the truth when you know (it).",Taqi Usmani
50,2,43,"And be steadfast in Salāh (prayer), and pay Zakāh, and bow down with those who bow down.",Taqi Usmani
51,2,44,"Do you enjoin righteousness upon others while you ignore your own selves, although you keep reciting the Book? Have you then no sense?",Taqi Usmani
52,2,45,"Seek help through patience and prayer. It is indeed exacting, but not for those who are humble in their hearts,",Taqi Usmani
53,2,46,"who bear in mind that they are to meet their Lord, and that to Him they are to return.",Taqi Usmani
54,2,47,"O Children of Isrā’īl (Israel), remember My blessing that I conferred upon you, and that I gave you excellence over the worlds;",Taqi Usmani
55,2,48,"and guard yourselves against a day when no one shall stand for anyone in anything, nor shall intercession be accepted on anyone’s behalf, nor shall ransom be taken from him, and neither shall any be given support.",Taqi Usmani
56,2,49,"(Remember) when We delivered you from the people of Pharaoh! They had been inflicting on you grievous torment, slaughtering your sons and leaving your women alive. In all that, there was a great trial from your Lord.",Taqi Usmani
57,2,50,"And (recall) when We parted the sea for you; then We saved you, and drowned the people of Pharaoh while you were looking on!",Taqi Usmani
58,2,51,"And when We appointed forty nights for Mūsā, then you took the calf (as God) thereafter, and you were unjust.",Taqi Usmani
59,2,52,"Yet We pardoned you, even after that, so that you may show gratitude.",Taqi Usmani
60,2,53,"Then We gave Mūsā the Book and the Criterion (of right and wrong), so that you may find the right path.",Taqi Usmani
61,2,54,"When Mūsā said to his people: ""My people, you have wronged yourselves by your taking the calf (as God). So, turn in repentance to your Creator, and slay yourselves. That will be better for you in the sight of your Creator"". Then, He accepted your repentance. Indeed He is the Most-Relenting, the Very-Merciful.",Taqi Usmani
62,2,55,"When you said, ""Mūsā, we will never believe you till we see Allah openly!"" So, the thunderbolt took you while you were looking on.",Taqi Usmani
63,2,56,"Then, We raised you up after your death, so that you might show gratitude.",Taqi Usmani
64,2,57,"And We made the cloud give you shade, and sent down to you Mann and Salwā: ""Eat of the good things We have provided to you"". And they (by their ingratitude) did Us no harm, but were harming only themselves.",Taqi Usmani
65,2,58,"When We said, ""Enter this town, and eat to your heart’s content wherever you wish in it; and enter the gate prostrating yourselves and say: HiTTah (we seek forgiveness), so that We forgive your errors. And We shall give much more to those who do good.""",Taqi Usmani
66,2,59,"But those who were unjust substituted another word for the one that was prescribed for them. So, We sent down a scourge from heaven upon those who were unjust, because they had acted sinfully.",Taqi Usmani
67,2,60,"When Mūsā sought water for his people, We said, ""Strike the rock with your staff,"" And twelve springs gushed forth from it. Each group of people came to know their drinking place. “Eat and drink of what Allah has provided, and do not go about the earth spreading disorder.”",Taqi Usmani
68,2,61,"And when you said, ""Mūsā , we will no longer confine ourselves to a single food: So, pray for us to your Lord that He may bring forth for us of what the earth grows - of its vegetable, its cucumbers, its wheat, its lentils and its onions."" He said, “Do you want to take what is inferior in exchange for what is better? Go down to a town, and you will have what you ask for.” Then they were stamped with disgrace and misery, and they returned with wrath from Allah. That was because they used to deny the signs of Allah, and would slay the prophets unjustly. That was because they disobeyed and transgressed all limits.",Taqi Usmani
69,2,62,"Surely, those who believed in Allah, and those who are Jews, and Christians, and Sabians, -whosoever believes in Allah and in the Last Day, and does good deeds - all such people will have their reward with their Lord, and there will be no reason for them to fear, nor shall they grieve.",Taqi Usmani
70,2,63,"And when We took the pledge from you, and raised high above you the (Mount of) Tūr: ""Hold fast to what We have given to you, and remember what is in it, so that you may become God-fearing.""",Taqi Usmani
71,2,64,"Then even after that, you turned away. So, had it not been for the grace of Allah upon you, and His mercy, you would have been among the losers.",Taqi Usmani
