sira,sure,ayet,metin,hoca
1,1,1,"Rahman,  Rahim Allah'ın ismiyle[1]",Edip Yüksel
2,1,2,"Övgü,  evrenlerin Efendisi ALLAH'adır.",Edip Yüksel
3,1,3,"Rahman,  Rahim (Merhametli).",Edip Yüksel
4,1,4,Yargı Gününün sahibi.[1],Edip Yüksel
5,1,5,"Ancak sana hizmet eder,  ancak senden yardım dileriz.",Edip Yüksel
6,1,6,Bizi doğru yola ilet.,Edip Yüksel
7,1,7,Gazaba uğrayanların ve sapmışların değil; kendilerine iyilikte bulunduğun kimselerin yoluna...,Edip Yüksel
8,2,1,A1 L30 M40[1],Edip Yüksel
9,2,2,"Bu,  erdemliler için yol gösterici,  kuşku içermeyen bir kitaptır.",Edip Yüksel
10,2,3,"Onlar ki duyularıyla algılayamadıkları gerçekleri de onaylarlar,  salatı (dayanışmayı) gözetirler,  kendilerine verdiğimiz rızıktan muhtaçlara verirler.[1]",Edip Yüksel
11,2,4,Sana indirileni ve senden önce indirileni onaylarlar. Ahiret konusunda da hiçbir kuşkuları yoktur.[1],Edip Yüksel
12,2,5,"İşte,  Efendi'leri tarafından yol gösterilenler ve mutluluğa erenler bunlardır.",Edip Yüksel
13,2,6,"İnkar edenlere gelince,  onları uyarsan da uyarmasan da onlar için birdir; onlar onaylamazlar.[1]",Edip Yüksel
14,2,7,ALLAH kalplerini ve kulaklarını mühürler. Gözlerinde perde vardır ve büyük azap onlar içindir.,Edip Yüksel
15,2,8,"Halktan öyle kimseler var ki aslında onaylamadıkları halde ""ALLAH'a ve ahiret gününü onayladık"" derler.",Edip Yüksel
16,2,9,ALLAH'ı ve müminleri aldatmak isterler. Halbuki kendi kendilerini aldatıyorlar. Farkında bile değiller.,Edip Yüksel
17,2,10,Kalplerinde hastalık var. ALLAH da hastalıklarını arttırır. Yalanları yüzünden acı bir azabı hak ederler.,Edip Yüksel
18,2,11,"Kendilerine,  ""Yeryüzünde bozgunculuk yapmayın"" denildiğinde ""Bizler sadece düzeltenleriz"" derler.",Edip Yüksel
19,2,12,Oysa onlardır asıl bozguncu; farkında bile değiller.,Edip Yüksel
20,2,13,"Kendilerine,  ""Şu halkın gerçeği onayladığı gibi onaylayın"" denildiğinde,  ""Beyinsizlerin onayladığı gibi mi onaylayacağız"" derler. Gerçek beyinsizler onlardır; fakat bilmezler.",Edip Yüksel
21,2,14,"Gerçeği onaylayanlarla karşılaştıkları vakit,  ""Gerçeği onaylıyoruz"" derler; fakat sapkınlarıyla baş başa kaldıklarında,  ""Sizinle beraberiz. Biz sadece hafife almaktayız"" derler.",Edip Yüksel
22,2,15,"ALLAH da,  taşkınlıkları içinde bocalar durumda bırakarak asıl onları hafife alır.",Edip Yüksel
23,2,16,"Onlar hidayet karşılığında sapıklığı satın aldı. Ticaretleri ne kar bırakır,  ne de onları gerçeğe ulaştırır.",Edip Yüksel
24,2,17,"Durumları,  ateş yakan kimselerin şu durumuna benzer: Ateş çevrelerini aydınlatmaya başlayınca ALLAH onların ışığını giderir ve onları karanlıklar içinde görmez bir halde bırakır.",Edip Yüksel
25,2,18,"Sağır,  dilsiz ve kördürler; yönlerini değiştiremezler.",Edip Yüksel
26,2,19,"Ya da,  karanlık,  gök gürültüsü ve şimşekler arasında gökten boşanan bir yağmur altında yıldırımlardan ölmek korkusuyla parmaklarını kulaklarına tıkayan kimseye benzerler. ALLAH inkarcıları böyle kuşatır.",Edip Yüksel
27,2,20,Şimşek neredeyse gözlerini kapıverecek! Önlerini aydınlattıkça ışığında yürürler. Üzerlerine karanlık basınca da dikilir kalırlar. ALLAH dileseydi işitme ve görmelerini giderirdi. ALLAH her şeye gücü yetendir.,Edip Yüksel
28,2,21,İnsanlar! Sizi ve sizden öncekileri yaratan Efendinize hizmet edin ki korunasınız.,Edip Yüksel
29,2,22,"O,  yeryüzünü sizin için oturulabilir hale soktu ve göğü de bir yapı kıldı. Gökten su indirdi ve onunla rızık olarak size çeşitli ürünler çıkardı. Bile bile ALLAH'a eşler koşmayın.",Edip Yüksel
30,2,23,"Kulumuza indirdiğimizden kuşku içinde iseniz,  buna benzer bir sure getirin. ALLAH'tan başka tüm tanıklarınızı da yardıma çağırın,  doğru sözlü iseniz.[1]",Edip Yüksel
31,2,24,Bunu yapamazsanız -ki asla yapamayacaksınız- o takdirde inkarcılar için hazırlanan ve yakıtı insanlar ile taşlar olan ateşten sakının.,Edip Yüksel
32,2,25,"Gerçeği onaylayıp erdemli davrananları,  içlerinde ırmaklar akan bahçelerle müjdele. Kendilerine oradaki ürünlerden rızıklar sunulduğunda ""Bu,  daha önce bize sunulan nimetlerdir"" derler. Böylece,  kendilerine mecazi tanımlar (benzetmeler) verilir. Onlar için orada tertemiz eşler vardır ve onlar orada ebedi kalıcıdırlar.[1]",Edip Yüksel
33,2,26,"ALLAH bir sivrisineği hatta onun üzerindekini örnek vermekten çekinmez. Gerçeği onaylayanlar,  bunun Efendi'lerinden gelen bir gerçek olduğunu bilir. İnkarcılar ise ""ALLAH bu benzetme ile neyi amaçladı"" derler. O,  bununla birçok kişiyi saptırır ve birçok kişiyi de doğruya iletir. O,  bununla sadece fasıkları saptırır.",Edip Yüksel
34,2,27,"Onlar ki ALLAH ile yaptıkları anlaşmaya bağlılık sözü verdikten sonra onu bozarlar,  ALLAH'ın birleştirilmesini emrettiği şeyi keserler ve yeryüzünde bozgunculuk yaparlar. İşte onlar kaybedenlerdir.",Edip Yüksel
35,2,28,ALLAH'ı nasıl inkar edersiniz? Siz ölüler idiniz o sizi diriltti. Sonra sizi öldürür ve tekrar diriltir ve sonunda ona döndürülürsünüz.[1],Edip Yüksel
36,2,29,"Yeryüzünde her şeyi sizin için yaratan O'dur. Nitekim göğe yönelip onu yedi gök olarak düzenledi. O,  her şeyi Bilir.",Edip Yüksel
37,2,30,"Efendin,  meleklere şöyle demişti: ""Yeryüzüne bir halife yerleştireceğim."" melekler de: ""Orada bozgunculuk yapacak,  kan akıtacak birisini mi yerleştireceksin? Halbuki biz seni överek yüceltiyor ve mutlak otoriteni onaylıyoruz"" dediler. ""Bilmediğinizi Ben bilirim"" dedi.[1]",Edip Yüksel
38,2,31,"Adem'e tüm isimleri (nitelemeleri) öğretti,  sonra onları meleklere sunup,  ""Doğru iseniz,  şunların isimlerini (özelliklerini,  niteliklerini) siz bana bildirin"" dedi.[1]",Edip Yüksel
39,2,32,"Dediler: ""Sen Yücesin,  senin bize öğrettiğinden başka bir bilgimiz yok. Sen Bilensin,  Bilgesin.""",Edip Yüksel
40,2,33,"Dedi: ""Adem! Onların isimlerini şunlara haber ver."" İsimlerini onlara haber verince,  ""Size,  yerin ve göklerin sırlarını biliyorum,  açıkladığınızı da gizlediğinizi de biliyorum dememiş miydim"" dedi.",Edip Yüksel
41,2,34,"Meleklere,  ""Adem'e secde edin"" dedik. İblis hariç hepsi secde ettiler,  o ise diretti,  büyüklük tasladı ve nankörlük etti.",Edip Yüksel
42,2,35,"""Adem! Eşinle birlikte bahçede kal. Dilediğiniz yerde ondan bolca yiyin; ancak şu ağaca yaklaşmayın,  yoksa zalimlerden olursunuz!"" dedik.",Edip Yüksel
43,2,36,"Sapkın,  onları oradan kaydırıp bulundukları yerden çıkarttı. Nihayet,  ""Birbirinize düşman olarak aşağı inin. Yeryüzünde belli bir süre kalıp yaşayacaksınız"" dedik.[1]",Edip Yüksel
44,2,37,"Adem,  Efendinden kelimeler aldı. Bunun üzerine onun tövbesini kabul etti. O,  yönelişlere karşılık verendir,  Rahim'dir.",Edip Yüksel
45,2,38,"""Oradan topluca ininiz"" dedik,  ""Benden size bir yol gösterici geldiği zaman,  o yol göstericiye uyanlar için artık bir korku yok ve onlar üzülmeyecekler.""",Edip Yüksel
46,2,39,"""Ayetlerimizi yalanlayıp inkar edenler ise ateşe mahkûmdur; orada sürekli kalacaklar.""",Edip Yüksel
47,2,40,"İsrail oğullar! Size verdiğim nimetimi hatırlayın,  bana verdiğiniz sözü tutun ki ben de size verdiğim sözü tutayım; yalnız benden korkun!",Edip Yüksel
48,2,41,Yanınızdakini doğrulayıcı olarak indirdiğimi onaylayın. Ona karşı çıkanların ilki olmayın. Ayetlerimi değeri düşük şeylerle değişmeyin; sadece benden çekinin.[1],Edip Yüksel
49,2,42,"Bile bile gerçeği yanlış ile karıştırmayın,  gerçeği gizlemeyin.",Edip Yüksel
50,2,43,"Salatı gözetin,  zekatı verin ve eğilenlerle birlikte eğilin.",Edip Yüksel
51,2,44,Halkı iyilik yapmaya çağırıp dururken kendinizi unutuyor musunuz? Üstelik Kitabı da okuyorsunuz? Aklınızı kullanmaz mısınız?,Edip Yüksel
52,2,45,"Güçlüklere karşı direnerek ve salat (dayanışma) yoluyla yardım isteyiniz. Elbette bu,  halka ağır gelir; ancak saygılı olanlar hariç.",Edip Yüksel
53,2,46,"Nitekim onlar,  Efendi'lerine kavuşacaklarına ve O'na döneceklerine inanırlar.[1]",Edip Yüksel
54,2,47,İsrail oğullar! Size verdiğim nimetlerimi ve sizi tüm halklara üstün tutmamı hatırlayın.,Edip Yüksel
55,2,48,"Öyle bir günden sakının ki,  kimse kimsenin yerine bir şey ödeyemez,  aracılık (şefaat) kabul edilmez,  kimseden bir fidye alınmaz ve yardım da edilmez.[1]",Edip Yüksel
56,2,49,"İşkencenin en kötüsünü size uygulayan,  kadınlarınızı utandırıp oğullarınızı öldüren Firavunun adamlarından sizi kurtarmıştık. Bu ikisi,  Efendinizden büyük bir sınav idi.[1]",Edip Yüksel
57,2,50,"Denizi yararak sizi kurtarmış,  Firavunun adamlarını da gözlerinizin önünde boğmuştuk.",Edip Yüksel
