Sıra,Sure,Ayet,Metin,Hoca
1,1,1,Rahman ve Rahim olan Allah’ın adıyla:,Diyanet 1961
2,1,2,"Hamd, Alemlerin Rabbi Allah’a mahsustur.",Diyanet 1961
3,1,3,"O Rahman ve Rahim’dir,",Diyanet 1961
4,1,4,Din Gününün sahibidir.,Diyanet 1961
5,1,5,Ancak Sana kulluk eder ve yalnız Senden yardım dileriz.,Diyanet 1961
6,1,6,Bizi doğru yola eriştir.,Diyanet 1961
7,1,7,"Nimete erdirdiğin kimselerin yoluna; gazaba uğrayanların, ya da sapıtanların yoluna değil.",Diyanet 1961
8,2,1,"Elif, Lam, Mim.",Diyanet 1961
9,2,2,"Bu, doğruluğu şüphe götürmeyen ve Allah'a karşı gelmekten sakınanlara yol gösteren",Diyanet 1961
10,2,3,"Onlar, gaybe inanırlar, namazı kılarlar, kendilerine verdiğimiz rızıktan yerli yerince",Diyanet 1961
11,2,4,"Onlar, sana indirilen Kitap’a da, senden önce indirilenlere de inanırlar; ahirete de yalnız",Diyanet 1961
12,2,5,İşte Rab’lerinin yolunda olanlar ve saadete erişenler bunlardır.,Diyanet 1961
13,2,6,"Şüphe yok ki, inkar edenleri, başlarına gelecekle uyarsan da uyarmasan da birdir,",Diyanet 1961
14,2,7,"Allah onların kalblerini ve kulaklarını mühürlemiştir, gözlerinde de perde vardır ve büyük",Diyanet 1961
15,2,8,"İnsanlardan, inanmadıkları halde, 'Allah’a ve ahiret gününe inandık' diyenler vardır.",Diyanet 1961
16,2,9,"Bunlar Allah'ı ve inananları aldatmaya çalışırlar, oysa sadece kendilerini aldatırlar da",Diyanet 1961
17,2,10,"Kalblerinde hastalık vardır, Allah hastalıklarını artırmıştır. Yalan söyleye geldikleri için",Diyanet 1961
18,2,11,"Kendilerine: 'Yeryüzünde bozgunculuk yapmayın’ dendiği zaman, 'Bizler sadece ıslah",Diyanet 1961
19,2,12,"İyi bilin ki, asıl bozguncular kendileridir, lâkin farkında değillerdir.",Diyanet 1961
20,2,13,"Onlara 'Müslümanların inandığı gibi siz de inanın’ denilince de, 'Beyinsizlerin inandığı gibi",Diyanet 1961
21,2,14,"İnananlara rastladıkları zaman, 'İnandık' derler, elebaşılarıyla baş başa kaldıklarında, 'Biz",Diyanet 1961
22,2,15,Onlarla Allah alay eder ve taşkınlıkları içinde bocalar durumda bırakır.,Diyanet 1961
23,2,16,"Onlar, doğruluk yerine sapıklığı aldılar da alışverişleri kar getinnedi; doğru yolu",Diyanet 1961
24,2,17,"Onlar, çevresini aydınlatmak için ateş yakan kimseye benzerler ki, Allah ışıklarını yok",Diyanet 1961
25,2,18,"Sağırdırlar, dilsizdirler, kördürler, bu yüzden doğru yola dönmezler.",Diyanet 1961
26,2,19,"Bir kısmı da, karanlıklarda, gök gürlemeleri ve şimşek arasında gökten boşanan sağanağa",Diyanet 1961
27,2,20,Şimşeğin çakması neredeyse gözlerini alır; onları aydınlattıkça ışığında yürürler ve,Diyanet 1961
28,2,21,"Ey insanlar! Sizi ve sizden öncekileri yaratan Rabbinize kulluk ediniz ki, O’na karşı",Diyanet 1961
29,2,22,"O, yeryüzünü size bir döşek ve göğü de bir bina kıldı. Gökten su indirip onunla size rızık",Diyanet 1961
30,2,23,"Kulumuza indirdiğimiz Kuran’dan şüphe ediyorsanız, siz de onun benzeri bir sure meydana",Diyanet 1961
31,2,24,"Yapamazsanız ki yapamayacaksınız o takdirde, inkar edenler için hazırlanan ve yakıtı",Diyanet 1961
32,2,25,"İnananlar ve yararlı işler yapanlara, kendilerine altlarından ırmaklar akan cennetler olduğunu",Diyanet 1961
33,2,26,(26-27) Allah sivrisineği ve onun üstününü misal olarak vermekten çekinmez. İnananlar,Diyanet 1961
