Sıra,Sure,Ayet,Metin,Hoca
1,1,1,Bismillahirrahmanirrahiym,Abay Yazılışı
2,1,2,elḥamdu lillâhi rabbi-l`âlemîn.,Abay Yazılışı
3,1,3,erraḥmâni-rraḥîm.,Abay Yazılışı
4,1,4,mâliki yevmi-ddîn.,Abay Yazılışı
5,1,5,iyyâke na`budu veiyyâke neste`în.,Abay Yazılışı
6,1,6,ihdine-ṣṣirâṭa-lmusteḳîm.,Abay Yazılışı
7,1,7,ṣirâṭa-lleẕîne en`amte `aleyhim gayri-lmagḍûbi `aleyhim vele-ḍḍâllîn.,Abay Yazılışı
8,2,1,elif-lâm-mîm.,Abay Yazılışı
9,2,2,ẕâlike-lkitâbu lâ raybe fîh. hudel lilmutteḳîn.,Abay Yazılışı
10,2,3,elleẕîne yu'minûne bilgaybi veyuḳîmûne-ṣṣalâte vemimmâ razaḳnâhum yunfiḳûn.,Abay Yazılışı
11,2,4,velleẕîne yu'minûne bimâ unzile ileyke vemâ unzile min ḳablik. vebil'âḫirati hum yûḳinûn.,Abay Yazılışı
12,2,5,ulâike `alâ hudem mir rabbihim veulâike humu-lmufliḥûn.,Abay Yazılışı
13,2,6,inne-lleẕîne keferû sevâun `aleyhim eenẕertehum em lem tunẕirhum lâ yu'minûn.,Abay Yazılışı
14,2,7,ḫateme-llâhu `alâ ḳulûbihim ve`alâ sem`ihim. ve`alâ ebṣârihim gişâveh. velehum `aẕâbun `ażîm.,Abay Yazılışı
15,2,8,vemine-nnâsi mey yeḳûlu âmennâ billâhi vebilyevmi-l'âḫiri vemâ hum bimu'minîn.,Abay Yazılışı
16,2,9,yuḫâdi`ûne-llâhe velleẕîne âmenû. vemâ yaḫde`ûne illâ enfusehum vemâ yeş`urûn.,Abay Yazılışı
17,2,10,fî ḳulûbihim meraḍun fezâdehumu-llâhu meraḍâ. velehum `aẕâbun elîmum bimâ kânû yekẕibûn.,Abay Yazılışı
18,2,11,veiẕâ ḳîle lehum lâ tufsidû fi-l'arḍi ḳâlû innemâ naḥnu muṣliḥûn.,Abay Yazılışı
19,2,12,elâ innehum humu-lmufsidûne velâkil lâ yeş`urûn.,Abay Yazılışı
20,2,13,veiẕâ ḳîle lehum âminû kemâ âmene-nnâsu ḳâlû enu'minu kemâ âmene-ssufehâ'. elâ innehum humu-ssufehâu velâkil lâ ya`lemûn.,Abay Yazılışı
21,2,14,veiẕâ leḳu-lleẕîne âmenû ḳâlû âmennâ. veiẕâ ḫalev ilâ şeyâṭînihim ḳâlû innâ me`akum innemâ naḥnu mustehziûn.,Abay Yazılışı
22,2,15,allâhu yestehziu bihim veyemudduhum fî ṭugyânihim ya`mehûn.,Abay Yazılışı
23,2,16,ulâike-lleẕîne-şteravu-ḍḍalâlete bilhudâ. femâ rabiḥat ticâratuhum vemâ kânû muhtedîn.,Abay Yazılışı
24,2,17,meŝeluhum kemeŝeli-lleẕi-stevḳade nârâ. felemmâ eḍâet mâ ḥavlehû ẕehebe-llâhu binûrihim veterakehum fî żulumâtil lâ yubṣirûn.,Abay Yazılışı
25,2,18,ṣummum bukmun `umyun fehum lâ yerci`ûn.,Abay Yazılışı
26,2,19,ev keṣayyibim mine-ssemâi fîhi żulumâtuv vera`duv veberḳ. yec`alûne eṣâbi`ahum fî âẕânihim mine-ṣṣavâ`iḳi ḥaẕera-lmevt. vellâhu muḥîṭum bilkâfirîn.,Abay Yazılışı
27,2,20,yekâdu-lberḳu yaḫṭafu ebṣârahum. kullemâ eḍâe lehum meşev fîhi veiẕâ ażleme `aleyhim ḳâmû. velev şâe-llâhu leẕehebe bisem`ihim veebṣârihim. inne-llâhe `alâ kulli şey'in ḳadîr.,Abay Yazılışı
28,2,21,yâ eyyuhe-nnâsu-`budû rabbekumu-lleẕî ḫaleḳakum velleẕîne min ḳablikum le`allekum tetteḳûn.,Abay Yazılışı
29,2,22,elleẕî ce`ale lekumu-l'arḍa firâşev vessemâe binaâ. veenzele mine-ssemâi mâen feaḫrace bihî mine-ŝŝemerâti rizḳal lekum. felâ tec`alû lillâhi endâdev veentum ta`lemûn.,Abay Yazılışı
30,2,23,vein kuntum fî raybim mimmâ nezzelnâ `alâ `abdinâ fe'tû bisûratim mim miŝlih. ved`û şuhedâekum min dûni-llâhi in kuntum ṣâdiḳîn.,Abay Yazılışı
