sıra,sure,ayet,metin,hoca
1,1,1,Rahman ve Rahim Allah'ın adıyla... ,Mustafa Öztürk
2,1,2,"Hamd, alemlerin Rabbi Allah'adır. ",Mustafa Öztürk
3,1,3," Rahman'dır, Rahim'dir O. ",Mustafa Öztürk
4,1,4,"Din gününün Malik'i, sultanıdır O... ",Mustafa Öztürk
5,1,5,Yalnız sana ibadet ederiz ve yalnız senden yardım dileriz. ,Mustafa Öztürk
6,1,6, Dosdoğru yola ilet bizi... ,Mustafa Öztürk
7,1,7,"Kendilerine nimet verdiklerinin, üzerlerine gazap dökülmemişlerin, karanlık ve şaşkınlığa saplanmamışların yoluna... ",Mustafa Öztürk
8,2,1,"Elif,Lam,Mim. ",Mustafa Öztürk
9,2,2,"İşte sana o Kitap! Kuşku,çelişme,tutarsızlık yok onda.Bir kılavuzdur o,korunup sakınanlar için. ",Mustafa Öztürk
10,2,3,"Ki onlar,gayba inananlar,namazı kılanlardır.Ve kendilerine rızık olarak verdiklerimizden başkalarına pay çıkaranlardır. ",Mustafa Öztürk
11,2,4,Hem sana vahyedilene hem de senden önce vahyedilene inananlardır onlar. ,Mustafa Öztürk
12,2,5,"Işte bunlardır Rablerinden bir hidayet üzere olanlar,işte bunlardır gerçek anlamda kurtuluşu bulanlar. ",Mustafa Öztürk
13,2,6,"Şu bir gerçek ki, o küfre batmış olanları sen korkutsan da korkutmasan da onlar için aynıdır; iman etmezler. ",Mustafa Öztürk
14,2,7,"Allah onların kalpleri, kulakları üzerine mühür basmıştır.Onların kafa gözleri üstünde de bir perde vardır.Onlar için korkunç bir azap öngörülmü&#x15F",Mustafa Öztürk
15,2,8,"Insanlar içinden bazıları vardır, &quot;Allah'a ve ahiret gününe inandık&quot; derler ama onlar inanmış değillerdir. ",Mustafa Öztürk
16,2,9,"Allah'ı ve inanmış olanları aldatma yoluna giderler.Gerçekte ise onlar öz benliklerinden başkasını aldatmıyorlar.Ne var ki, bunun farkında olamıyorlar. ",Mustafa Öztürk
17,2,10,"Kalplerinde bir hastalık vardır da Allah onları hastalık yönünden daha ileri götürmüştür.Ve onlar için, yalancılık etmiş olmaları yüzünden acıkl&#x13",Mustafa Öztürk
18,2,11,"Onlara, &quot;yeryüzünde bozgun çıkarmayın&quot; dendiğinde, &quot;tam tersine, bizler barış ve esenlik getirenleriz&quot; demişlerdir. ",Mustafa Öztürk
19,2,12,"Dikkat edin,gerçekte onlar, bozgun getirenlerin ta kendileridir de bunun bilincinde olmuyorlar. ",Mustafa Öztürk
20,2,13,"Onlara, &quot;insanların inandığı gibi siz de inanın&quot; dendiğinde, &quot;yani biz de kafası çalışmayan zavallılar gibi inanalım mı&quot; derler.Haberiniz olsun ki, kafas&#x1",Mustafa Öztürk
21,2,14,"Bunlar iman etmiş olanlarla yüzyüze geldiklerinde, &quot;iman ettik&quot; derler.Kendi şeytanlarıyla başbaşa kaldıklarında ise söyledikleri şudur: &quot;Hiç kuşkunuz olmasın ",Mustafa Öztürk
22,2,15,"Allah onlarla alay ediyor ve onları, kendi azgınlıkları içinde bocalar bir halde sürüklüyor. ",Mustafa Öztürk
23,2,16,Işte bunlar doğruluk ve aydınlığı verip karanlık ve sapıklığı satın aldılar da ticaretleri hiçbir kazanç sağlamadı.Bir yol-yordama girebilmi&#x15F,Mustafa Öztürk
