sira,sure,ayet,metin,hoca
1,1,1,"Rahman, Rahim olan Allah'ın adıyla",İbni Kesir
2,1,2,Hamd; alemlerin Rabbı Allah'a mahsustur.,İbni Kesir
3,1,3,"Rahman'dır, Rahimdir.",İbni Kesir
4,1,4,Din gününün malikidir.,İbni Kesir
5,1,5,Yalnız Sana ibadet ederiz ve yalnız Senden yardım dileriz.,İbni Kesir
6,1,6,Bizi dosdoğru yola ilet.,İbni Kesir
7,1,7,"Nimete erdirdiklerinin yoluna, gazaba uğrayanların ve dalalete düşenlerinkine değil.",İbni Kesir
8,2,1,"Elif, Lam, Mim",İbni Kesir
9,2,2,"İşte bu kitab, onda hiç bir şüphe yoktur, müttekiler için hidayettir.",İbni Kesir
10,2,3,Onlar ki gayba inanırlar. Namazı kılarlar ve kendilerine rızık olarak verdiğimiz şeylerden de infak ederler.,İbni Kesir
11,2,4,"Onlar ki sana indirilene de, senden önce indirilmiş olanlara da inanırlar. Ve onlar ahireti de yakınen tanırlar.",İbni Kesir
12,2,5,"İşte onlar, rablarından bir hidayet üzeredirler ve işte onlar, felaha erenlerdir.",İbni Kesir
13,2,6,"Şüphesiz ki o küfretmiş olanları uyarsan da uyarmasan da birdir, inanmazlar.",İbni Kesir
14,2,7,Allah onların kalblerini ve kulaklarını mühürlemiştir. Gözlerinin üzerinde bir perde vardır ve onlar için büyük bir azab vardır.,İbni Kesir
15,2,8,"İnsanlardan öyleleri vardır ki inanmadıkları halde Allah'a ve ahiret gününe inandık, derler.",İbni Kesir
16,2,9,"Allah'ı da, iman edenleri de aldatmaya çalışırlar. Oysa kendilerinden başkasını aldatamazlar da, bunun farkında değiller.",İbni Kesir
17,2,10,Kalblerinde hastalık vardır. Allah da hastalıklarını artırdı. Yalan söylemekte olduklarından dolayı onlara elem verici bir azab vardır.,İbni Kesir
18,2,11,"Kendilerine: yeryüzünde bozgun çıkarmayın, denildiğinde, biz ancak ıslah edicileriz, derler.",İbni Kesir
19,2,12,"Bilesin ki onlar, fesadçıların ta kendileridir de bunun farında değiller.",İbni Kesir
20,2,13,"Onlara; insanların inandıkları gibi siz de inanın, denilince; o beyinsizlerin inandığı gibi mi biz de inanacağız? derler. Bilesin ki asıl beyinsizler onlardır da bunu bilmezler.",İbni Kesir
21,2,14,"Mü'minlere rastlayınca; inandık, derler. Şeytanları ile başbaşa kalınca da; biz sizinle beraberiz, onlarla sadece istihza etmekteyiz, derler.",İbni Kesir
22,2,15,Allah da onlarla istihza eder ve azgınlıklarında şaşkın bir halde dolaştırır.,İbni Kesir
23,2,16,Onlar; hidayet karşılığı sapıklığı satın almış kimselerdir. Ticaretleri kendilerine kar sağlamamıştır. Ve onlar hidayete ermişlerden değildirler.,İbni Kesir
24,2,17,"Onların misali; ateş yakan kimsenin misali gibidir ki, ateş çevresindekileri aydınlatınca, Allah onların ışığını giderdi. Karanlıkların içerisinde görmez halde bırakıverdi.",İbni Kesir
25,2,18,"Sağırdırlar, dilsizdirler, kördürler. Onlar artık dönmezler.",İbni Kesir
26,2,19,"Yahut gökten inen sağnağa tutulmuş gibilerdir ki; onda karanlıklar, gök gürültüsü ve şimşek vardır. Yıldırımlardan ölmek korkusuyla parmaklarını kulaklarına tıkarlar. Allah kafirleri çepeçevre kuşatıcıdır.",İbni Kesir
27,2,20,"Az kalsın şimşek gözlerini alıverecek. Onları aydınlattıkça ışığında yürürler. Üzerlerine karanlık basınca dikilip kalıverirler. Şayet Allah, dileseydi onların işitmelerini de, görmelerini de giderirdi. Muhakkak ki Allah, her şeye Kadir'dir.",İbni Kesir
28,2,21,"Ey insanlar; sizi de, sizden öncekileri de yaratan Rabbınıza ibadet edin, ta ki, takva sahibi olasınız.",İbni Kesir
29,2,22,"O ki; yeryüzünü sizin için bir döşek, göğü de bir bina yaptı. Gökten su indirip onunla türlü türlü meyvelerden sizin için rızık çıkardı. O halde bile bile Allah'a eşler koşmayınız.",İbni Kesir
