sira,sure,ayet,metin,hoca
1,1,1,Bismillahirrahmanirrahim.,Şaban Piriş
2,1,2,"(2-4) Hamd, Alemlerin Rabbi, Rahman, Rahim, din gününün hakimi Allah'a mahsustur.",Şaban Piriş
3,1,3,"(2-4) Hamd, Alemlerin Rabbi, Rahman, Rahim, din gününün hakimi Allah'a mahsustur.",Şaban Piriş
4,1,4,"(2-4) Hamd, Alemlerin Rabbi, Rahman, Rahim, din gününün hakimi Allah'a mahsustur.",Şaban Piriş
5,1,5,Yalnız sana kulluk ederiz ve yalnız senden yardım dileriz.,Şaban Piriş
6,1,6,"(6-7) Bizi doğru yola, nimet verdiğin kimselerin yoluna ilet. Gazaba uğrayanların ve sapanların değil..",Şaban Piriş
7,1,7,"(6-7) Bizi doğru yola, nimet verdiğin kimselerin yoluna ilet. Gazaba uğrayanların ve sapanların değil..",Şaban Piriş
8,2,1,"Elif, lam, Mim.",Şaban Piriş
9,2,2,"(2-3) Hiç kuşkusuz bu kitap, kendilerini günahlardan korumaya çalışan, görmediği halde inanan, namazı kılan ve kendilerine verdiğimiz rızıktan (Allah yolunda) harcayanlar için yol göstericidir.",Şaban Piriş
10,2,3,"(2-3) Hiç kuşkusuz bu kitap, kendilerini günahlardan korumaya çalışan, görmediği halde inanan, namazı kılan ve kendilerine verdiğimiz rızıktan (Allah yolunda) harcayanlar için yol göstericidir.",Şaban Piriş
11,2,4,"Onlar, sana indirilene, senden önce indirilenlere ve ahirete de kesin olarak inanırlar.",Şaban Piriş
12,2,5,"İşte, Rab'lerinin yolunda olanlar ve kurtuluşa erecek olanlar onlardır.",Şaban Piriş
13,2,6,"Kafirlere gelince, onları uyarsan da uyarmasan da birdir, inanmazlar.",Şaban Piriş
14,2,7,"Allah, onların kalplerini ve kulaklarını mühürlemiştir. Gözlerinde de perde vardır ve onlar için büyük bir azap vardır.",Şaban Piriş
15,2,8,"İnsanlardan bir kısmı da inanmadığı halde: -Allah'a ve ahiret gününe inandık, diyen kimselerdir.",Şaban Piriş
16,2,9,"Allah'ı ve inananları aldatmaya uğraşırlar, ama kendilerinden başkasını aldatamazlar da farkında olmazlar.",Şaban Piriş
17,2,10,"Onların kalplerinde hastalık vardır. Allah da onların hastalığını artırmıştır. Onlara, yalan söylemelerinden dolayı acı veren bir azap vardır.",Şaban Piriş
18,2,11,"Onlara: -Yeryüzünde bozgunculuk yapmayın, dendiği zaman: -Bizler sadece ıslah edicileriz, derler.",Şaban Piriş
19,2,12,"İyi bilin ki asıl bozguncular kendileridir, fakat farkında değillerdir.",Şaban Piriş
20,2,13,"Onlara: -Siz de insanların inandığı gibi inanın! denilince: -Beyinsizlerin inandığı gibi mi inanalım? derler. Dikkat edin! Asıl beyinsizler kendileridir, fakat bilmezler.",Şaban Piriş
21,2,14,"İnananlara rastladıkları zaman: -İnandık, derler. şeytanları ile başbaşa kalınca da: -Biz, sizin yanınızdayız. Onlarla sadece alay ediyoruz, derler.",Şaban Piriş
